,rxn,lb,ub
0,2DGLCNRx,-100.0,100.0
1,2DGLCNRy,-100.0,100.0
2,2DGULRx,-100.0,100.0
3,2DGULRy,-100.0,100.0
4,A5PISO,0.011282777118924411,0.013948168186352014
5,AACPS1,-100.0,100.0
6,AACPS2,-10.0,9.996361304379146
7,AACPS3,-100.0,100.0
8,AACPS4,-14.0,13.994905826130807
9,AACPS5,-100.0,99.96361304379147
10,ABTA,-100.0,100.0
11,ABUTD,-100.0,99.98871722288108
12,ACALDi,-100.0,100.0
13,ACCOACr,-100.0,100.0
14,ACCOAL,-100.0,100.0
15,ACGK,-100.0,100.0
16,ACGS,-100.0,100.0
17,ACHBS,0.07414396392436043,0.09165939093888467
18,ACKr,-100.0,100.0
19,ACLS,0.22298501648946206,0.2756619651570417
20,ACOATA,-100.0,100.0
21,ACODA,-100.0,100.0
22,ACONT,-100.0,100.0
23,ACOTA,-100.0,100.0
24,ACS,-100.0,100.0
25,ADA,-100.0,100.0
26,ADCL,0.013431877522529057,0.016604962126609557
27,ADCS,0.013431877522529057,0.01660496212660953
28,ADD,-100.0,100.0
29,ADK1,-100.0,100.0
30,ADK3,-100.0,100.0
31,ADMDCr,0.0018804628531540687,0.002324694697719565
32,ADNK1,-100.0,100.0
33,ADPT,-100.0,100.0
34,ADSK,0.06260839887045222,0.07739871736531256
35,ADSL1r,-100.0,100.0
36,ADSL2r,0.13219895631468148,0.1634290261431559
37,ADSS,-100.0,100.0
38,AGMHE,0.006769666271354646,0.008368900911811208
39,AGPR,-100.0,100.0
40,AICART,0.15637633585523492,0.19331795797131904
41,AIRC2,0.1321989563146826,0.1634290261431323
42,AIRC3,-0.1634290261434106,-0.13219895631538428
43,ALAALAr,0.007414396392436042,0.009165939093888466
44,ALAR,-100.0,100.0
45,ALATAD2,-100.0,100.0
46,ALATAL,-100.0,100.0
47,ALATAL2,-100.0,100.0
48,ALDD2x,-100.0,100.0
49,AMALT1,-100.0,100.0
50,AMALT2,-100.0,100.0
51,AMALT3,-100.0,100.0
52,AMALT4,-100.0,100.0
53,AMPN,-100.0,100.0
54,ANPRT,0.014506427724331387,0.01793335909674454
55,ANS,0.014506427724331387,0.01793335909674454
56,APRAUR,2.6863755238082376e-06,3.3209924481525377e-06
57,ARGSL,-99.92451284832339,100.0
58,ARGSS,-99.92451284832339,100.0
59,ASAD,-100.0,99.86578867979489
60,ASNN,-100.0,100.0
61,ASNS1,-100.0,100.0
62,ASNS2,-100.0,100.0
63,ASP1DC,1.5849615394358807e-05,1.9593855220989553e-05
64,ASPCT,0.12476041822576178,0.2460105448010379
65,ASPK,-99.86578867979489,100.0
66,ASPO3,-100.0,100.0
67,ASPO4,-100.0,100.0
68,ASPO5,-100.0,100.0
69,ASPO6,-100.0,100.0
70,ASPT,-100.0,100.0
71,ASPTA,-100.0,100.0
72,AST,-100.0,99.92451284832339
73,ATPHYD,3.15,100.0
74,ATPPRT,0.02417737954055231,0.02988893182789809
75,BETALDHx,-100.0,100.0
76,BETALDHy,-100.0,100.0
77,BPNT,0.06260839887044034,0.0773987173652157
78,BSORx,-100.0,100.0
79,BSORy,-100.0,100.0
80,C120SN,0.011282777118924411,0.013948168186352014
81,C140SN,-99.99628796632787,100.0
82,C141SN,0.0036386956208556143,0.0044982842400997924
83,C160SN,-99.97380139152986,100.0
84,C161SN,0.005094173869196084,0.006297597936139709
85,C181SN,0.036386956208531274,0.044982842400997924
86,CAT,-92.50169748991026,100.0
87,CBMK,-100.0,100.0
88,CBPS,-100.0,100.0
89,CDAPPAEC,-100.0,100.0
90,CHORM,0.08247172798832844,0.10195446745738257
91,CHORS,0.11041003323518889,0.13649278868074605
92,CITL,-100.0,100.0
93,CLPNSEC,0.0017327122004062486,0.0021420401143326306
94,CMPN,-100.0,100.0
95,CS,-100.0,100.0
96,CSND,-100.0,100.0
97,CTPS2,-100.0,100.0
98,CYSS,-99.93739160112955,100.0
99,CYSTL,0.03922108236578486,0.04848648940969986
100,cytd,-100.0,100.0
101,CYTDK2,-100.0,100.0
102,CYTK1,-100.0,100.0
103,CYTK2,-100.0,100.0
104,DAAD,-100.0,100.0
105,DADA,-100.0,100.0
106,DADK,-100.0,100.0
107,DAGKEC,-99.99548688915243,100.0
108,DAPDC,0.08757584144688949,0.1082643530654942
109,DAPE,0.09499023783932553,0.11743029215938267
110,DASYNEC,-100.0,100.0
111,DB4PS,5.372751019194766e-06,6.641984782618238e-06
112,DCTPD,-100.0,100.0
113,DCYTD,-100.0,100.0
114,DDPA,0.11041003323518538,0.13649278868072656
115,DGK1,-100.0,100.0
116,DHAD1,0.22298501648945984,0.2756619651569707
117,DHAD2,0.07414396392436043,0.09165939093888467
118,DHAPT,-100.0,100.0
119,DHDPRy,0.09499023783932553,0.11743029215938267
120,DHDPS,0.09499023783932553,0.11743029215938267
121,DHFR,0.020067225018658,0.024807813417150798
122,DHFS,0.01343187752252907,0.016604962126605685
123,DHNPA2,0.01343187752252907,0.016604962126605685
124,DHORD2,-99.87523958177427,100.0
125,DHORD5,-99.87523958177425,100.0
126,DHORTS,-0.24601054480103812,-0.12476041822575516
127,DHPPDA2,2.6863754101214e-06,3.320992391309119e-06
128,DHPS2,0.013431877522529057,0.016604962126605685
129,DHQD,0.11041003323518536,0.13649278868072656
130,DHQS,0.11041003323518536,0.13649278868072656
131,DKGLCNR1,-100.0,100.0
132,DKGLCNR2x,-100.0,100.0
133,DKGLCNR2y,-100.0,100.0
134,DKMPPD,-22.666049011544125,28.39696596293385
135,DKMPPD2,-28.395088802424624,22.668373706243173
136,DMPPS,-100.0,100.0
137,DMSOR1,-100.0,100.0
138,DMSOR2,-100.0,100.0
139,DNMPPA,0.013431877522529057,0.016604962126603895
140,DNTPPA,0.013431877522529057,0.016604962126603895
141,DPCOAK,1.5849615479623935e-05,1.9593855242305835e-05
142,DPR,1.5849615479623935e-05,1.9593855242305835e-05
143,DRPA,-100.0,99.91047411857441
144,DTMPK,-99.99336465250387,100.0
145,DURIK1,-100.0,100.0
146,DURIPP,-100.0,100.0
147,DUTPDP,-100.0,100.0
148,EDA,-100.0,100.0
149,EDD,-100.0,100.0
150,EDTXS1,0.002256555423784882,0.002789633637270403
151,EDTXS2,0.002256555423784882,0.002789633637270403
152,ENO,-100.0,100.0
153,ETHAAL,-100.0,99.96879774851516
154,F6PA,-100.0,100.0
155,FAO1,-100.0,99.99628796632787
156,FAO2,-100.0,99.97380139152983
157,FBA,-100.0,100.0
158,FBP,-100.0,100.0
159,FMNAT,2.6863754101214e-06,3.320992391309119e-06
160,FRD2,-100.0,100.0
161,FRD3,-100.0,100.0
162,FRUK,-100.0,100.0
163,FTHFD,-100.0,100.0
164,fum,-100.0,100.0
165,G1PACT,0.01934190363244185,0.023911145462317738
166,G1PP,-100.0,100.0
167,G3PD2,-100.0,100.0
168,G3PD5,-100.0,100.0
169,G3PD6,-100.0,100.0
170,G3PD7,-100.0,100.0
171,G5SADs,-99.94358611440538,100.0
172,G5SD,-100.0,100.0
173,G6PDA,-100.0,99.98065809636756
174,G6PDH2r,-100.0,100.0
175,GALU,-99.99468097650107,100.0
176,GAPD,-100.0,99.43775262104658
177,GARFT,-99.8678010436855,100.0
178,GART,-99.86780104368528,100.0
179,GCALDD,0.013431877522529057,0.016604962126606893
180,GF6PTA,-99.98065809636756,100.0
181,GHMT2,-100.0,100.0
182,GK1,-100.0,100.0
183,GLCP,-25.05114328334996,24.958629817230612
184,GLCS1,-25.0,25.0
185,GLGC,-100.0,100.0
186,GLNS,-100.0,100.0
187,GLU5K,-100.0,100.0
188,GLUDC,-100.0,100.0
189,GLUDy,-100.0,100.0
190,GLUN,-100.0,100.0
191,GLUPRT,0.13219895631570078,0.16342902614318197
192,GLUR,-0.009165939093888466,-0.007414396392436042
193,GLUSy,-100.0,100.0
194,GLXCL,-99.99328406123874,100.0
195,GLYATi,-100.0,100.0
196,GLYCDx,-100.0,100.0
197,GLYCK,-99.99328406123874,100.0
198,GLYCL,-100.0,100.0
199,GLYCLTDx,-100.0,100.0
200,GLYCLTDy,-100.0,100.0
201,GLYCTO2,-100.0,100.0
202,GLYCTO3,-100.0,100.0
203,GLYCTO4,-100.0,100.0
204,GLYK,-100.0,100.0
205,GLYOX,-100.0,100.0
206,GMHEPAT,0.006769666271354646,0.008368900911811208
207,GMHEPK,0.006769666271354646,0.008368900911811208
208,GMHEPPA,0.006769666271354646,0.008368900911811208
209,GMPR,-100.0,99.92520861957917
210,GMPS2,-100.0,100.0
211,GND,-100.0,100.0
212,GNK,-19.299408797361515,21.17030960632313
213,GPDDA2,-100.0,99.96879774851516
214,GPDDA4,-100.0,99.99030218442874
215,GSNK,-100.0,100.0
216,GSPMDA,-100.0,100.0
217,GSPMDS,-100.0,100.0
218,GTPCI,0.013431877522535274,0.016604962126621103
219,GTPCII2,2.6863754101214e-06,3.320992391309119e-06
220,GUAD,-100.0,100.0
221,GUAPRT,-100.0,100.0
222,HEX1,-100.0,100.0
223,histd,0.02417737954054644,0.02988893182789809
224,HISTP,0.02417737954054644,0.02988893182789809
225,HPPK2,0.013431877522535274,0.016604962126621103
226,HPYRI,-100.0,100.0
227,HPYRRx,-100.0,100.0
228,HPYRRy,-100.0,100.0
229,HSDy,-99.90500976216067,99.96077891763422
230,HSK,-100.0,99.86578867979489
231,HSST,0.03922108236578481,0.04848648940969985
232,HSTPT,0.02417737954054644,0.02988893182789809
233,HXPRT,-100.0,100.0
234,HYPOE,-100.0,100.0
235,ICDHyr,-100.0,100.0
236,ICL,-100.0,100.0
237,IDOND,-100.0,100.0
238,IDOND2,-100.0,100.0
239,IG3PS,0.02417737954054644,0.02988893182789809
240,IGPDH,0.02417737954054644,0.02988893182789809
241,IGPS,0.014506427724331387,0.017933359096738304
242,ILETA,-0.09165939093888467,-0.07414396392436043
243,IMPC,-0.1933179579712232,-0.15637633585537003
244,IMPD,-99.92520861957914,100.0
245,INSK,-100.0,100.0
246,IPDDIi,-100.0,100.0
247,IPDPS,-100.0,100.0
248,IPMD,0.11497687159284876,0.14213847580377603
249,IPPMIa,-0.14213847580377767,-0.11497687159284453
250,IPPMIb,-0.14213847580377767,-0.11497687159284453
251,IPPS,0.11497687159284876,0.14213847580377603
252,KARA1i,0.22298501648932212,0.27566196515702757
253,KARA2i,0.07414396392436043,0.09165939093888467
254,KAS14,-100.0,100.0
255,KAS15,-100.0,100.0
256,KAS16,0.009026221695139528,0.011158534549081611
257,KDOCT2,0.011282777118924411,0.013948168186352014
258,KDOPP,0.011282777118924411,0.013948168186352014
259,KDOPS,0.011282777118924411,0.013948168186352014
260,LDHD,-100.0,100.0
261,LDHD2,-100.0,100.0
262,LEUTAi,0.11497687159284876,0.14213847580377603
263,LGTHL,-100.0,100.0
264,L-LACD2,-100.0,100.0
265,L-LACD3,-100.0,100.0
266,LPADSS,0.002256555423784882,0.002789633637270403
267,LPLIPA1,-100.0,100.0
268,LPLIPA2,-100.0,100.0
269,LPLIPA3,-100.0,100.0
270,LPLIPA4,-100.0,100.0
271,LPLIPA5,-100.0,100.0
272,LPLIPA6,-100.0,100.0
273,LPSSYNEC,0.002256555423784882,0.002789633637270403
274,MACPD,-100.0,100.0
275,MALS,-100.0,100.0
276,MCITD,-100.0,100.0
277,MCITL2,-100.0,100.0
278,MCITS,-100.0,100.0
279,MCOATA,-100.0,100.0
280,MDH,-100.0,100.0
281,MDH2,-100.0,100.0
282,MDH3,-100.0,100.0
283,MDRPD,0.0018804628531512435,0.002324694697719565
284,ME1,-100.0,100.0
285,ME2,-100.0,100.0
286,METAT,0.0018804628531512435,0.002324694697719565
287,METS,0.03922108236578486,0.04848648940969986
288,MGSA,-100.0,100.0
289,MICITD,-100.0,100.0
290,MLTG2,-100.0,100.0
291,MLTG3,-100.0,100.0
292,MLTG4,-100.0,100.0
293,MLTG5,-100.0,100.0
294,MLTP1,-100.0,100.0
295,MLTP2,-100.0,100.0
296,MLTP3,-100.0,100.0
297,MMCD,-100.0,100.0
298,MME,-100.0,100.0
299,MMM2,-100.0,100.0
300,MOAT,0.002256555423784882,0.002789633637270403
301,MOAT2,0.002256555423784882,0.002789633637270403
302,MOHMT,1.584961546680086e-05,1.959385531336011e-05
303,MTAN,0.0018804628531512435,0.002324694697719565
304,MTHFC,-100.0,100.0
305,MTHFD,-100.0,100.0
306,MTHFR2,0.05265295988831392,0.0650914515363094
307,MTRI,0.0018804628531512435,0.002324694697719565
308,MTRK,0.0018804628531512435,0.002324694697719565
309,NACODA,-100.0,100.0
310,NADDP,-100.0,100.0
311,NADH10,-100.0,100.0
312,NADH5,-100.0,100.0
313,NADH9,-100.0,100.0
314,NADK,-99.99985762209826,100.0
315,NADPPPS,-100.0,99.99985762209826
316,NADS1,-100.0,100.0
317,NAMNPP,-100.0,100.0
318,NDPK1,-100.0,100.0
319,NDPK2,-100.0,100.0
320,NDPK3,-100.0,100.0
321,NDPK4,-99.99336465250387,100.0
322,NDPK5,-100.0,100.0
323,NDPK6,-100.0,100.0
324,NDPK7,-100.0,100.0
325,NDPK8,-100.0,100.0
326,NMNAT,-100.0,100.0
327,NMNDA,-100.0,100.0
328,NMNN,-100.0,100.0
329,NNAM,-100.0,100.0
330,NNAT,-100.0,100.0
331,NNDPR,0.0007333805128036235,0.0009066309320360233
332,NTD1,-100.0,100.0
333,NTD10,-100.0,100.0
334,NTD11,-100.0,100.0
335,NTD2,-100.0,100.0
336,NTD3,-100.0,100.0
337,NTD4,-100.0,100.0
338,NTD5,-100.0,100.0
339,NTD6,-100.0,100.0
340,NTD7,-100.0,100.0
341,NTD8,-100.0,100.0
342,NTD9,-100.0,100.0
343,NTPP1,-100.0,100.0
344,NTPP2,-100.0,100.0
345,NTPP3,-100.0,100.0
346,NTPP4,-100.0,100.0
347,NTPP5,-100.0,100.0
348,NTPP6,-100.0,100.0
349,NTPP7,-100.0,99.99336465250387
350,NTPP8,-100.0,100.0
351,NTPTP1,-100.0,100.0
352,NTPTP2,-100.0,100.0
353,OBTFL,-100.0,99.92585603607564
354,OCBT,-99.92451284832339,100.0
355,OMCDC,0.11497687159284453,0.14213847580377603
356,OMPDC,0.0846476921469872,0.10464447132190458
357,ORNDC,-99.98871722288108,100.0
358,ORNTA,-100.0,100.0
359,ORPT,-0.10464447132189036,-0.08464769214693035
360,P5CD,-100.0,99.94358611440538
361,P5CR,-99.94358611440538,100.0
362,PANTS,1.5849615523644278e-05,1.9593855309807395e-05
363,PAPAEC,-100.0,99.99548688915243
364,PAPPT3,0.007414396392436042,0.009165939093888466
365,PAPSR,0.06260839887050906,0.07739871736531026
