,rxn,lb,ub
0,2DGLCNRx,-100.0,100.0
1,2DGLCNRy,-100.0,100.0
2,2DGULRx,-100.0,100.0
3,2DGULRy,-100.0,100.0
4,A5PISO,-100.0,100.0
5,AACPS1,-100.0,100.0
6,AACPS2,-100.0,100.0
7,AACPS3,-100.0,100.0
8,AACPS4,-100.0,100.0
9,AACPS5,-100.0,100.0
10,ABTA,-100.0,100.0
11,ABUTD,-100.0,100.0
12,ACALDi,-100.0,100.0
13,ACCOACr,-100.0,100.0
14,ACCOAL,-100.0,100.0
15,ACGK,-100.0,100.0
16,ACGS,-100.0,100.0
17,ACHBS,-100.0,100.0
18,ACKr,-100.0,100.0
19,ACLS,-100.0,100.0
20,ACOATA,-100.0,100.0
21,ACODA,-100.0,100.0
22,ACONT,-100.0,100.0
23,ACOTA,-100.0,100.0
24,ACS,-100.0,100.0
25,ADA,-100.0,100.0
26,ADCL,-100.0,100.0
27,ADCS,-100.0,100.0
28,ADD,-100.0,100.0
29,ADK1,-100.0,100.0
30,ADK3,-100.0,100.0
31,ADMDCr,-100.0,100.0
32,ADNK1,-100.0,100.0
33,ADPT,-100.0,100.0
34,ADSK,-100.0,100.0
35,ADSL1r,-100.0,100.0
36,ADSL2r,-100.0,100.0
37,ADSS,-100.0,100.0
38,AGMHE,-100.0,100.0
39,AGPR,-100.0,100.0
40,AICART,-100.0,100.0
41,AIRC2,-100.0,100.0
42,AIRC3,-100.0,100.0
43,ALAALAr,-100.0,100.0
44,ALAR,-100.0,100.0
45,ALATAD2,-100.0,100.0
46,ALATAL,-100.0,100.0
47,ALATAL2,-100.0,100.0
48,ALDD2x,-100.0,100.0
49,AMALT1,-100.0,100.0
50,AMALT2,-100.0,100.0
51,AMALT3,-100.0,100.0
52,AMALT4,-100.0,100.0
53,AMPN,-100.0,100.0
54,ANPRT,-100.0,100.0
55,ANS,-100.0,100.0
56,APRAUR,-100.0,100.0
57,ARGSL,-100.0,100.0
58,ARGSS,-100.0,100.0
59,ASAD,-100.0,100.0
60,ASNN,-100.0,100.0
61,ASNS1,-100.0,100.0
62,ASNS2,-100.0,100.0
63,ASP1DC,-100.0,100.0
64,ASPCT,-100.0,100.0
65,ASPK,-100.0,100.0
66,ASPO3,-100.0,100.0
67,ASPO4,-100.0,100.0
68,ASPO5,-100.0,100.0
69,ASPO6,-100.0,100.0
70,ASPT,-100.0,100.0
71,ASPTA,-100.0,100.0
72,AST,-100.0,100.0
73,ATPHYD,3.15,100.0
74,ATPPRT,-100.0,100.0
75,BETALDHx,-100.0,100.0
76,BETALDHy,-100.0,100.0
77,BPNT,-100.0,100.0
78,BSORx,-100.0,100.0
79,BSORy,-100.0,100.0
80,C120SN,-100.0,100.0
81,C140SN,-100.0,100.0
82,C141SN,-100.0,100.0
83,C160SN,-100.0,100.0
84,C161SN,-100.0,100.0
85,C181SN,-100.0,100.0
86,CAT,-100.0,100.0
87,CBMK,-100.0,100.0
88,CBPS,-100.0,100.0
89,CDAPPAEC,-100.0,100.0
90,CHORM,-100.0,100.0
91,CHORS,-100.0,100.0
92,CITL,-100.0,100.0
93,CLPNSEC,-100.0,100.0
94,CMPN,-100.0,100.0
95,CS,-100.0,100.0
96,CSND,-100.0,100.0
97,CTPS2,-100.0,100.0
98,CYSS,-100.0,100.0
99,CYSTL,-100.0,100.0
100,cytd,-100.0,100.0
101,CYTDK2,-100.0,100.0
102,CYTK1,-100.0,100.0
103,CYTK2,-100.0,100.0
104,DAAD,-100.0,100.0
105,DADA,-100.0,100.0
106,DADK,-100.0,100.0
107,DAGKEC,-100.0,100.0
108,DAPDC,-100.0,100.0
109,DAPE,-100.0,100.0
110,DASYNEC,-100.0,100.0
111,DB4PS,-100.0,100.0
112,DCTPD,-100.0,100.0
113,DCYTD,-100.0,100.0
114,DDPA,-100.0,100.0
115,DGK1,-100.0,100.0
116,DHAD1,-100.0,100.0
117,DHAD2,-100.0,100.0
118,DHAPT,-100.0,100.0
119,DHDPRy,-100.0,100.0
120,DHDPS,-100.0,100.0
121,DHFR,-100.0,100.0
122,DHFS,-100.0,100.0
123,DHNPA2,-100.0,100.0
124,DHORD2,-100.0,100.0
125,DHORD5,-100.0,100.0
126,DHORTS,-100.0,100.0
127,DHPPDA2,-100.0,100.0
128,DHPS2,-100.0,100.0
129,DHQD,-100.0,100.0
130,DHQS,-100.0,100.0
131,DKGLCNR1,-100.0,100.0
132,DKGLCNR2x,-100.0,100.0
133,DKGLCNR2y,-100.0,100.0
134,DKMPPD,-100.0,100.0
135,DKMPPD2,-100.0,100.0
136,DMPPS,-100.0,100.0
137,DMSOR1,-100.0,100.0
138,DMSOR2,-100.0,100.0
139,DNMPPA,-100.0,100.0
140,DNTPPA,-100.0,100.0
141,DPCOAK,-100.0,100.0
142,DPR,-100.0,100.0
143,DRPA,-100.0,100.0
144,DTMPK,-100.0,100.0
145,DURIK1,-100.0,100.0
146,DURIPP,-100.0,100.0
147,DUTPDP,-100.0,100.0
148,EDA,-100.0,100.0
149,EDD,-100.0,100.0
150,EDTXS1,-100.0,100.0
151,EDTXS2,-100.0,100.0
152,ENO,-100.0,100.0
153,ETHAAL,-100.0,100.0
154,F6PA,-100.0,100.0
155,FAO1,-100.0,100.0
156,FAO2,-100.0,100.0
157,FBA,-100.0,100.0
158,FBP,-100.0,100.0
159,FMNAT,-100.0,100.0
160,FRD2,-100.0,100.0
161,FRD3,-100.0,100.0
162,FRUK,-100.0,100.0
163,FTHFD,-100.0,100.0
164,fum,-100.0,100.0
165,G1PACT,-100.0,100.0
166,G1PP,-100.0,100.0
167,G3PD2,-100.0,100.0
168,G3PD5,-100.0,100.0
169,G3PD6,-100.0,100.0
170,G3PD7,-100.0,100.0
171,G5SADs,-100.0,100.0
172,G5SD,-100.0,100.0
173,G6PDA,-100.0,100.0
174,G6PDH2r,-100.0,100.0
175,GALU,-100.0,100.0
176,GAPD,-100.0,100.0
177,GARFT,-100.0,100.0
178,GART,-100.0,100.0
179,GCALDD,-100.0,100.0
180,GF6PTA,-100.0,100.0
181,GHMT2,-100.0,100.0
182,GK1,-100.0,100.0
183,GLCP,-100.0,100.0
184,GLCS1,-100.0,100.0
185,GLGC,-100.0,100.0
186,GLNS,-100.0,100.0
187,GLU5K,-100.0,100.0
188,GLUDC,-100.0,100.0
189,GLUDy,-100.0,100.0
190,GLUN,-100.0,100.0
191,GLUPRT,-100.0,100.0
192,GLUR,-100.0,100.0
193,GLUSy,-100.0,100.0
194,GLXCL,-100.0,100.0
195,GLYATi,-100.0,100.0
196,GLYCDx,-100.0,100.0
197,GLYCK,-100.0,100.0
198,GLYCL,-100.0,100.0
199,GLYCLTDx,-100.0,100.0
200,GLYCLTDy,-100.0,100.0
201,GLYCTO2,-100.0,100.0
202,GLYCTO3,-100.0,100.0
203,GLYCTO4,-100.0,100.0
204,GLYK,-100.0,100.0
205,GLYOX,-100.0,100.0
206,GMHEPAT,-100.0,100.0
207,GMHEPK,-100.0,100.0
208,GMHEPPA,-100.0,100.0
209,GMPR,-100.0,100.0
210,GMPS2,-100.0,100.0
211,GND,-100.0,100.0
212,GNK,-100.0,100.0
213,GPDDA2,-100.0,100.0
214,GPDDA4,-100.0,100.0
215,GSNK,-100.0,100.0
216,GSPMDA,-100.0,100.0
217,GSPMDS,-100.0,100.0
218,GTPCI,-100.0,100.0
219,GTPCII2,-100.0,100.0
220,GUAD,-100.0,100.0
221,GUAPRT,-100.0,100.0
222,HEX1,-100.0,100.0
223,histd,-100.0,100.0
224,HISTP,-100.0,100.0
225,HPPK2,-100.0,100.0
226,HPYRI,-100.0,100.0
227,HPYRRx,-100.0,100.0
228,HPYRRy,-100.0,100.0
229,HSDy,-100.0,100.0
230,HSK,-100.0,100.0
231,HSST,-100.0,100.0
232,HSTPT,-100.0,100.0
233,HXPRT,-100.0,100.0
234,HYPOE,-100.0,100.0
235,ICDHyr,-100.0,100.0
236,ICL,-100.0,100.0
237,IDOND,-100.0,100.0
238,IDOND2,-100.0,100.0
239,IG3PS,-100.0,100.0
240,IGPDH,-100.0,100.0
241,IGPS,-100.0,100.0
242,ILETA,-100.0,100.0
243,IMPC,-100.0,100.0
244,IMPD,-100.0,100.0
245,INSK,-100.0,100.0
246,IPDDIi,-100.0,100.0
247,IPDPS,-100.0,100.0
248,IPMD,-100.0,100.0
249,IPPMIa,-100.0,100.0
250,IPPMIb,-100.0,100.0
251,IPPS,-100.0,100.0
252,KARA1i,-100.0,100.0
253,KARA2i,-100.0,100.0
254,KAS14,-100.0,100.0
255,KAS15,-100.0,100.0
256,KAS16,-100.0,100.0
257,KDOCT2,-100.0,100.0
258,KDOPP,-100.0,100.0
259,KDOPS,-100.0,100.0
260,LDHD,-100.0,100.0
261,LDHD2,-100.0,100.0
262,LEUTAi,-100.0,100.0
263,LGTHL,-100.0,100.0
264,L-LACD2,-100.0,100.0
265,L-LACD3,-100.0,100.0
266,LPADSS,-100.0,100.0
267,LPLIPA1,-100.0,100.0
268,LPLIPA2,-100.0,100.0
269,LPLIPA3,-100.0,100.0
270,LPLIPA4,-100.0,100.0
271,LPLIPA5,-100.0,100.0
272,LPLIPA6,-100.0,100.0
273,LPSSYNEC,-100.0,100.0
274,MACPD,-100.0,100.0
275,MALS,-100.0,100.0
276,MCITD,-100.0,100.0
277,MCITL2,-100.0,100.0
278,MCITS,-100.0,100.0
279,MCOATA,-100.0,100.0
280,MDH,-100.0,100.0
281,MDH2,-100.0,100.0
282,MDH3,-100.0,100.0
283,MDRPD,-100.0,100.0
284,ME1,-100.0,100.0
285,ME2,-100.0,100.0
286,METAT,-100.0,100.0
287,METS,-100.0,100.0
288,MGSA,-100.0,100.0
289,MICITD,-100.0,100.0
290,MLTG2,-100.0,100.0
291,MLTG3,-100.0,100.0
292,MLTG4,-100.0,100.0
293,MLTG5,-100.0,100.0
294,MLTP1,-100.0,100.0
295,MLTP2,-100.0,100.0
296,MLTP3,-100.0,100.0
297,MMCD,-100.0,100.0
298,MME,-100.0,100.0
299,MMM2,-100.0,100.0
300,MOAT,-100.0,100.0
301,MOAT2,-100.0,100.0
302,MOHMT,-100.0,100.0
303,MTAN,-100.0,100.0
304,MTHFC,-100.0,100.0
305,MTHFD,-100.0,100.0
306,MTHFR2,-100.0,100.0
307,MTRI,-100.0,100.0
308,MTRK,-100.0,100.0
309,NACODA,-100.0,100.0
310,NADDP,-100.0,100.0
311,NADH10,-100.0,100.0
312,NADH5,-100.0,100.0
313,NADH9,-100.0,100.0
314,NADK,-100.0,100.0
315,NADPPPS,-100.0,100.0
316,NADS1,-100.0,100.0
317,NAMNPP,-100.0,100.0
318,NDPK1,-100.0,100.0
319,NDPK2,-100.0,100.0
320,NDPK3,-100.0,100.0
321,NDPK4,-100.0,100.0
322,NDPK5,-100.0,100.0
323,NDPK6,-100.0,100.0
324,NDPK7,-100.0,100.0
325,NDPK8,-100.0,100.0
326,NMNAT,-100.0,100.0
327,NMNDA,-100.0,100.0
328,NMNN,-100.0,100.0
329,NNAM,-100.0,100.0
330,NNAT,-100.0,100.0
331,NNDPR,-100.0,100.0
332,NTD1,-100.0,100.0
333,NTD10,-100.0,100.0
334,NTD11,-100.0,100.0
335,NTD2,-100.0,100.0
336,NTD3,-100.0,100.0
337,NTD4,-100.0,100.0
338,NTD5,-100.0,100.0
339,NTD6,-100.0,100.0
340,NTD7,-100.0,100.0
341,NTD8,-100.0,100.0
342,NTD9,-100.0,100.0
343,NTPP1,-100.0,100.0
344,NTPP2,-100.0,100.0
345,NTPP3,-100.0,100.0
346,NTPP4,-100.0,100.0
347,NTPP5,-100.0,100.0
348,NTPP6,-100.0,100.0
349,NTPP7,-100.0,100.0
350,NTPP8,-100.0,100.0
351,NTPTP1,-100.0,100.0
352,NTPTP2,-100.0,100.0
353,OBTFL,-100.0,100.0
354,OCBT,-100.0,100.0
355,OMCDC,-100.0,100.0
356,OMPDC,-100.0,100.0
357,ORNDC,-100.0,100.0
358,ORNTA,-100.0,100.0
359,ORPT,-100.0,100.0
360,P5CD,-100.0,100.0
361,P5CR,-100.0,100.0
362,PANTS,-100.0,100.0
363,PAPAEC,-100.0,100.0
364,PAPPT3,-100.0,100.0
365,PAPSR,-100.0,100.0
366,PASYNEC,-100.0,100.0
367,PDH,-100.0,100.0
368,PDXPP,-100.0,100.0
369,PEPTEC,-100.0,100.0
370,PFK,-100.0,100.0
371,PFL,-100.0,100.0
372,PGAMT,-100.0,100.0
373,PGCD,-100.0,100.0
374,PGI,-100.0,100.0
375,PGK,-100.0,100.0
376,PGL,-100.0,100.0
377,PGM,-100.0,100.0
378,PGMT,-100.0,100.0
379,PGPPEC,-100.0,100.0
380,PGSAEC,-100.0,100.0
381,PHETA1,-100.0,100.0
382,PLIPA1,-100.0,100.0
383,PLIPA2,-100.0,100.0
384,PMDPHT,-100.0,100.0
385,PNTK,-100.0,100.0
386,POX,-100.0,100.0
387,ppa,-100.0,100.0
388,PPAKr,-100.0,100.0
389,PPC,-100.0,100.0
390,PPCDC,-100.0,100.0
391,PPCK,-100.0,100.0
392,PPCSCT,-100.0,100.0
393,PPM,-100.0,100.0
394,PPM2,-100.0,100.0
395,PPNCL2,-100.0,100.0
396,PPND,-100.0,100.0
397,PPNDH,-100.0,100.0
398,PPS,-100.0,100.0
399,PPTGS,-100.0,100.0
400,PRAGSr,-100.0,100.0
401,PRAIi,-100.0,100.0
402,PRAIS,-100.0,100.0
403,PRAMPC,-100.0,100.0
404,PRASCS,-100.0,100.0
405,PRATPP,-100.0,100.0
406,PRFGS,-100.0,100.0
407,PRMICIi,-100.0,100.0
408,PROD2,-100.0,100.0
409,PRPPS,-100.0,100.0
410,PSCVT,-100.0,100.0
411,PSDEC,-100.0,100.0
412,PSERT,-100.0,100.0
413,PSPL,-100.0,100.0
414,PSSAEC,-100.0,100.0
415,PTA2,-100.0,100.0
416,PTAr,-100.0,100.0
417,PTPATi,-100.0,100.0
418,PTRCTA,-100.0,100.0
419,PUNP1,-100.0,100.0
420,PUNP2,-100.0,100.0
421,PUNP3,-100.0,100.0
422,PUNP4,-100.0,100.0
423,PUNP5,-100.0,100.0
424,PUNP6,-100.0,100.0
425,PUNP7,-100.0,100.0
426,PYAM5PO,-100.0,100.0
427,PYDAMK,-100.0,100.0
428,PYDXK,-100.0,100.0
429,PYDXNK,-100.0,100.0
430,PYDXPP,-100.0,100.0
431,PYK,-100.0,100.0
432,PYNP2r,-100.0,100.0
433,QULNS,-100.0,100.0
434,RBFK,-100.0,100.0
435,RBFSa,-100.0,100.0
436,RBFSb,-100.0,100.0
437,RNDR1,-100.0,100.0
