,rxn,lb,ub
0,2DGLCNRx,-100.0,100.0
1,2DGLCNRy,-100.0,100.0
2,2DGULRx,-100.0,100.0
3,2DGULRy,-100.0,100.0
4,A5PISO,0.011282777118530651,0.013948168351005345
5,AACPS1,-99.99774344457657,100.0
6,AACPS3,-100.0,100.0
7,ABTA,-0.01384180327750073,100.0
8,ACCOACr,-97.04460435774281,99.09998386743658
9,ACGK,0.0,100.0
10,ACGS,0.0,99.02040141055609
11,ACHBS,0.07414396392321976,0.0916593909400234
12,ACLS,0.22298501648615784,0.27566196516026553
13,ACOATA,-100.0,99.99900000000021
14,ACOTA,-99.15364428740102,-0.0
15,ACS,0.0,100.0
16,ADA,0.0,99.9233851759345
17,ADCL,0.013431877522336322,0.016604962126804623
18,ADCS,0.01343187752233021,0.01660496212680457
19,ADD,-4.96063583873413e-10,99.32797192456137
20,ADK1,-100.0,100.0
21,ADK3,-100.0,100.0
22,ADMDCr,0.0018804628531228218,0.0023246946977479865
23,ADNK1,-100.0,100.0
24,ADPT,-100.0,99.74373614864595
25,ADSK,0.06260839886953576,0.07739871827904787
26,ADSL1r,0.0749496229487221,100.0
27,ADSL2r,0.13219895631271902,0.16342902614516674
28,ADSS,0.07494962305622721,99.34481524545666
29,AGMHE,0.006769666271257524,0.008368900911909005
30,AICART,0.15637635097209568,0.19331797666477257
31,AIRC2,0.13219895631272038,0.16342902614520938
32,AIRC3,-0.16342902614519517,-0.13219895631270617
33,ALAALAr,0.007414396392400935,0.009165939175498065
34,ALAR,-99.98517120721567,100.0
35,ALATAD2,-100.0,99.98517120721539
36,ALATAL,-100.0,99.8466616862051
37,ALATAL2,-99.98517120721556,100.0
38,ALDD2x,0.0,99.30357529605645
39,ANPRT,0.014506427724116644,0.017933359096948938
40,ANS,0.014506427724116628,0.0179333593084523
41,APRAUR,-3.3209924253609152e-06,3.3209924253609152e-06
42,ASNS1,-99.93848200094772,100.0
43,ASNS2,-99.8727836195531,100.0
44,ASP1DC,1.5849615476362655e-05,1.9593855309646778e-05
45,ASPCT,0.12476041822455386,0.24601054480228868
46,ASPO4,-100.0,100.0
47,ASPO5,-100.0,100.0
48,ASPO6,-60.36168243010289,60.04156590527751
49,ASPT,-100.0,99.18908631097992
50,ASPTA,-99.94485937363278,99.19096677383288
51,ATPPRT,0.024177379540105903,0.029888931828338627
52,BETALDHx,-100.0,100.0
53,BETALDHy,-100.0,100.0
54,BPNT,0.06260839886953515,0.07739871736621895
55,BSORx,-100.0,100.0
56,BSORy,-100.0,99.99950000000004
57,C120SN,0.011282777118693188,0.013948168186595167
58,C140SN,-99.99628796632793,100.0
59,C141SN,0.0036386956207969945,0.00449828424014953
60,C160SN,-99.39950803618552,100.0
61,C161SN,0.0050941738691197,0.006297597936208987
62,C181SN,0.03638695620801968,0.044982842401509515
63,CAT,0.0,30.020151145475577
64,CHORM,0.08247172798826163,0.10195446836533326
65,CHORS,0.11041003323355433,0.13649278868233358
66,CITL,0.0,99.35316467428193
67,CLPNSEC,0.0017327122003766605,0.0021420401143623646
68,CMPN,0.0,99.89813264087137
69,CSND,0.0,99.90495603465268
70,CYSTL,0.03922108236508848,0.048486489410407785
71,cytd,0.0,99.89813264087147
72,DAAD,-100.0,100.0
73,DADA,-0.008202851290647573,99.91841502948546
74,DAGKEC,0.0,100.0
75,DAPDC,0.08757584144684927,0.10826435306553606
76,DAPE,0.09499023783907035,0.11743029215962508
77,DB4PS,5.372751008932086e-06,6.6419848507218305e-06
78,DDPA,0.11041003323355433,0.13649278868233358
79,DHAD1,0.22298501648615784,0.27566196516026553
80,DHAD2,0.07414396392323397,0.09165939094000919
81,DHAPT,-100.0,100.0
82,DHDPRy,0.09499023783791927,0.11743029216076195
83,DHDPS,0.09499023783791927,0.11743029216076195
84,DHFR,0.02006722501836215,0.024807813710025686
85,DHFS,0.01343187752233021,0.01660496212680457
86,DHNPA2,0.01343187752233021,0.01660496212680457
87,DHORTS,-0.24601054480227447,-0.12476041822451123
88,DHPPDA2,-3.3209924255829615e-06,3.3209924255829615e-06
89,DHPS2,0.01343187752233021,0.016604962322641015
90,DHQD,0.11041003323355433,0.13649278868233358
91,DHQS,0.11041003323355433,0.13649278868233358
92,DKGLCNR1,-100.0,100.0
93,DKGLCNR2x,-100.0,100.0
94,DKGLCNR2y,-100.0,100.0
95,DKMPPD,0.0,0.0023246946977526404
96,DKMPPD2,0.0,0.0023246946977526404
97,DMPPS,-8.526512829121202e-14,-0.0
98,DMSOR1,0.0,-0.0
99,DMSOR2,0.0,-0.0
100,DNMPPA,0.01343187752233021,0.016604962322641015
101,DNTPPA,0.013431877522336322,0.016604962126804568
102,DPCOAK,1.584961547632343e-05,1.9593855540733784e-05
103,DPR,-1.9593855309640862e-05,1.9593855309640862e-05
104,DURIK1,-99.90568140023244,100.0
105,EDA,0.0,100.0
106,EDD,0.0,100.0
107,EDTXS1,0.002256555423752582,0.0027896336373027797
108,EDTXS2,0.002256555423752582,0.0027896336373027797
109,ETHAAL,-100.0,99.3064733359289
110,FAO1,-100.00000000000001,99.99628796632794
111,FAO2,-100.0,99.97380139153023
112,FBP,0.0,100.0
113,FMNAT,2.686375504466043e-06,3.3209924256150103e-06
114,FRD2,-100.0,100.0
115,FRD3,-100.0,100.0
116,FRUK,0.0,-0.0
117,fum,-99.71072971225297,100.0
118,G1PACT,0.019341903632060342,0.023911145813926348
119,G3PD2,-100.0,99.95564794042127
120,G3PD5,0.0,100.0
121,G3PD6,-100.0,100.0
122,G3PD7,-100.0,100.0
123,G6PDA,-100.0,99.98065809636799
124,GALU,0.005319023498572051,99.9034516643695
125,GARFT,-99.86780104368727,99.84362366414706
126,GART,-99.71142470783434,100.0
127,GCALDD,0.013431877522336322,0.016604962126804568
128,GF6PTA,-99.98065809636799,99.75330054837366
129,GLGC,0.0,99.74415550490522
130,GLNS,-1.000017846308765e-10,100.0
131,GLUDy,-100.0,100.0
132,GLUN,-100.0,100.0
133,GLUPRT,0.13219895631272713,0.16342902614530885
134,GLUR,-0.009165939093946918,-0.007414396392377398
135,GLUSy,-100.0,100.0
136,GLXCL,0.0,99.99260051444661
137,GLYCDx,-100.0,100.0
138,GLYCK,0.0,99.85754150699823
139,GLYCL,-99.54228772556435,99.99785792776851
140,GLYCLTDx,-100.0,100.0
141,GLYCLTDy,-100.0,100.0
142,GLYCTO2,0.0,100.0
143,GLYCTO3,-100.0,100.0
144,GLYCTO4,-100.0,100.0
145,GLYK,-100.0,100.0
146,GMHEPAT,0.006769666271257524,0.008368900911909005
147,GMHEPK,0.006769666271257524,0.008368900911909005
148,GMHEPPA,0.006769666271257524,0.008368900911909005
149,GMPR,-100.0,99.92520861958016
150,GMPS2,-99.92520861958016,100.0
151,GNK,0.0,-0.0
152,GSNK,-99.32425180119755,100.0
153,GSPMDA,0.0,100.0
154,GSPMDS,0.0,99.01495425692849
155,GTPCI,0.013431877522336322,0.016604962126804568
156,GTPCII2,2.686375504466043e-06,3.3209924256150103e-06
157,GUAD,-99.7326228745141,100.0
158,GUAPRT,-100.0,100.0
159,histd,0.024177379540518018,0.029888931827926513
160,HISTP,0.024177379540130772,0.029888931828281784
161,HPPK2,0.013431877522336322,0.01660496212680509
162,HPYRI,-100.0,100.0
163,HPYRRx,-100.0,100.0
164,HPYRRy,-100.0,100.0
165,HSST,0.03922108236508848,0.048486489410407785
166,HSTPT,0.024177379540105903,0.029888931828338627
167,HXPRT,-100.0,100.0
168,HYPOE,0.0,100.0
169,ICDHyr,-99.701651136474,100.0
170,IDOND,-100.0,100.0
171,IDOND2,-100.0,100.00000000000017
172,IG3PS,0.024177379540105903,0.029888931828338627
173,IGPDH,0.024177379540105903,0.029888931828338627
174,IGPS,0.014506427724116628,0.0179333593084523
175,ILETA,-0.09165939148915526,-0.0741439639243282
176,IMPC,-0.19331797894427893,-0.15637635096993563
177,INSK,-99.99811953714688,99.72455996918941
178,IPDDIi,0.0,-0.0
179,IPDPS,0.0,-0.0
180,IPMD,0.11497687159115344,0.14213847583233047
181,IPPMIa,-0.1421384758871946,-0.11497687159115344
182,IPPMIb,-0.1421384758871946,-0.11497687159115344
183,IPPS,0.11497687159115344,0.14213847580548133
184,KARA1i,0.22298501648615948,0.2756619651604966
185,KARA2i,0.07414396392323397,0.0916593909573321
186,KAS14,-99.99900000000044,99.99925000374998
187,KAS15,-100.0,100.0
188,KAS16,0.00902622169500833,0.011158534549212673
189,KDOCT2,0.011282777118530651,0.013948168186595167
190,KDOPP,0.011282777118530651,0.013948168186595167
191,KDOPS,0.011282777118530651,0.013948168186595167
192,LEUTAi,0.1149768715928019,0.14213847588536527
193,L-LACD2,0.0,100.0
194,LPADSS,0.002256555423752582,0.002789633637829223
195,LPLIPA1,-100.0,100.0
196,LPLIPA2,-100.0,100.0
197,LPLIPA3,-99.99971056069614,99.99926377608955
198,LPLIPA4,-99.99911477158582,100.0
199,LPLIPA5,-99.99954971637334,100.0
200,LPLIPA6,-100.0,99.999000005575
201,LPSSYNEC,0.002256555423752582,0.0027896336373027797
202,MACPD,-100.0,100.0
203,MALS,-100.0,100.0
204,MCITD,-0.09165939093996656,100.0
205,MCITL2,-0.09165939202097206,100.0
206,MCITS,-0.09165939093996656,99.03499535863682
207,MCOATA,-96.88121219391964,99.86807544297855
208,MDH,-100.0,100.0
209,MDH2,0.0,100.0
210,MDH3,-100.0,100.0
211,MDRPD,0.0018804628530384448,0.0023246946978336958
212,ME1,-100.0,100.0
213,ME2,-100.0,100.0
214,METAT,0.0018804628529807133,0.002324694697890095
215,METS,0.03922108236508848,0.048486489982111775
216,MICITD,-0.09165939093996656,99.20936967261494
217,MLTG5,-99.3840261401594,99.82920024542736
218,MMCD,-99.71072971225297,100.0
219,MOAT,0.002256555423752582,0.0027896336373027797
220,MOAT2,0.002256555423752582,0.0027896336373027797
221,MOHMT,1.5849615476362655e-05,1.9593855540733784e-05
222,MTAN,0.0018804628531228218,0.0023246946977479865
223,MTHFC,-99.71142470783516,100.0
224,MTHFD,-98.92105262990181,100.0
225,MTHFR2,0.05265295988743901,0.0650914517382455
226,MTRI,0.0018804628531228218,0.0023246946977479865
227,MTRK,0.0018804628531228218,0.0023246946977479865
228,NADH10,-100.0,100.0
229,NADH9,-100.0,100.0
230,NADK,0.0,100.0
231,NDPK1,-99.78101526527756,100.0
232,NDPK2,-99.88019866664038,100.0
233,NDPK5,-100.0,100.0
234,NDPK6,-99.89813264087086,100.0
235,NMNN,-0.000906649623004796,100.0
236,NNAM,-0.000906649623004796,100.0
237,NNDPR,-0.0009066309321234469,0.0009066309321234469
238,NTD1,-100.0,99.85840338246729
239,NTD10,-100.0,100.0
240,NTD11,-100.0,100.0
241,NTD2,-100.0,100.0
242,NTD6,-100.0,100.0
243,NTD7,-100.0,99.36377743245546
244,NTD9,-100.0,100.0
245,NTPTP1,-100.0,100.0
246,NTPTP2,-100.0,100.0
247,OMCDC,0.11497687159115344,0.14213847580548133
248,OMPDC,0.08464769214572243,0.10464447132312671
249,ORPT,-0.10464447132316934,-0.08464769214577927
250,P5CR,-99.94358611440543,99.19091748888547
251,PANTS,1.584961547636371e-05,1.95938553096066e-05
252,PAPAEC,-0.005579267274612221,99.99548688915272
253,PAPPT3,0.007414396392400935,0.009165939093923381
254,PAPSR,0.06260839886953576,0.07739871827904787
255,PDH,-100.0,100.0
256,PDXPP,0.0,100.0
257,PEPTEC,0.004513110847505164,0.005579267274605559
258,PFK,-99.39266713560578,100.0
259,PFL,-100.0,100.0
260,PGAMT,-0.023911145462641725,-0.019341903632060342
261,PGI,-100.0,99.82920024542605
262,PGM,-100.0,99.94188671796243
263,PHETA1,-0.05844946668570117,-0.047280208879268315
264,PLIPA2,-100.0,99.51784295958643
265,PMDPHT,-3.3209924253609152e-06,3.3209924253609152e-06
266,PNTK,1.584961547636371e-05,1.959385531336011e-05
267,ppa,-99.22757725704773,100.0
268,PPAKr,-99.0300370638391,99.5674390103593
269,PPC,0.0,100.0
270,PPCDC,1.584961547636371e-05,1.9593855540733784e-05
271,PPCK,-100.0,100.0
272,PPM,-100.0,99.38395366395491
273,PPNCL2,1.584961547636371e-05,1.9593855309646778e-05
274,PPND,0.03519151910899687,0.043505000771746793
275,PPNDH,0.047280208879268315,0.05844946668570117
276,PPS,-100.0,99.42832023798732
277,PPTGS,0.007414396392400935,0.009165939093923381
278,PRAGSr,0.1321989563127311,0.1634290261452236
279,PRAIi,0.01450642772411663,0.0179333593084523
280,PRAIS,0.1321989714319045,0.16342904676352532
281,PRAMPC,0.024177379540105903,0.029888931828338627
282,PRASCS,0.1321989563127404,0.1634290261452236
283,PRATPP,0.024177379540105903,0.029888931828338627
284,PRFGS,0.1321989563127062,0.1634290261452236
285,PRMICIi,0.024177379540105903,0.029888931828338627
286,PROD2,-100.0,99.94358611440543
287,PRPPS,-99.74185567067292,100.0
288,PSCVT,0.11041003323339282,0.13649278868233358
289,PTA2,-100.0,99.5674390103585
290,PTPATi,-1.9593855309640862e-05,1.9593855309640862e-05
291,PUNP1,-100.0,100.0
292,PUNP2,-100.0,100.0
293,PUNP3,-100.0,100.0
294,PUNP5,-100.0,100.0
295,PUNP6,-0.008202851290647573,99.91841503877835
296,PUNP7,-100.0,100.0
297,PYDXK,0.0,100.0
298,PYDXNK,0.0,100.0
299,PYDXPP,0.0,100.0
300,PYK,-100.0,100.0
301,PYNP2r,-100.0,100.0
302,QULNS,-0.0009066309321235902,0.0009066309321235899
303,RBFK,-3.3209924253613167e-06,3.3209924253613167e-06
304,RBFSa,5.372751008932086e-06,5.529985413568882e-06
305,RBFSb,-2.8021821281191204e-06,2.8021821281191166e-06
306,RNDR1,-100.0,100.0
307,RNDR2,-99.61831569340494,100.0
308,RNDR4,-100.0,100.0
309,RNTR1,-99.993364652504,100.0
310,RNTR2,-100.0,100.0
311,S7PI,0.006769666271257524,0.008368900911909005
312,SADT2,0.06260839886953576,0.07739871736645004
313,SDPDS,0.09499023783791927,0.11743029216076195
314,SDPTA,-0.11743029216076195,-0.09499023783791927
315,SERDL,0.0,100.0
316,SHK3Dr,0.11041003323355433,0.13649278868233358
317,SHKK,0.11041003323355433,0.13649278868233358
318,SHSL1,0.03922108236508848,0.04848648970078502
319,SPMS,0.0018804628531228218,0.0023246946977479865
320,SSALx,-100.0,100.0
321,SSALy,-100.0,100.0
322,SUCOAS,-99.56087653235112,100.0
323,SULR,-0.07739871827904787,-0.06260839886953576
324,TDSK,0.002256555423752582,0.0027896336373027797
325,TESTNADTRHD,-100.0,100.0
326,THDPS,0.09499023783791927,0.11743029218290639
327,THRAr,-100.0,100.0
