,rxn,lb,ub
0,2DGLCNRx,-100.0,100.0
1,2DGLCNRy,-100.0,100.0
2,2DGULRx,-100.0,100.0
3,2DGULRy,-100.0,100.0
4,A5PISO,-100.0,100.0
5,AACPS1,-100.0,100.0
6,AACPS3,-100.0,100.0
7,ABTA,-100.0,100.0
8,ACCOACr,-100.0,100.0
9,ACGK,-100.0,100.0
10,ACGS,-100.0,100.0
11,ACHBS,-100.0,100.0
12,ACLS,-100.0,100.0
13,ACOATA,-100.0,100.0
14,ACOTA,-100.0,100.0
15,ACS,-100.0,100.0
16,ADA,-100.0,100.0
17,ADCL,-100.0,100.0
18,ADCS,-100.0,100.0
19,ADD,-100.0,100.0
20,ADK1,-100.0,100.0
21,ADK3,-100.0,100.0
22,ADMDCr,-100.0,100.0
23,ADNK1,-100.0,100.0
24,ADPT,-100.0,100.0
25,ADSK,-100.0,100.0
26,ADSL1r,-100.0,100.0
27,ADSL2r,-100.0,100.0
28,ADSS,-100.0,100.0
29,AGMHE,-100.0,100.0
30,AICART,-100.0,100.0
31,AIRC2,-100.0,100.0
32,AIRC3,-100.0,100.0
33,ALAALAr,-100.0,100.0
34,ALAR,-100.0,100.0
35,ALATAD2,-100.0,100.0
36,ALATAL,-100.0,100.0
37,ALATAL2,-100.0,100.0
38,ALDD2x,-100.0,100.0
39,ANPRT,-100.0,100.0
40,ANS,-100.0,100.0
41,APRAUR,-100.0,100.0
42,ASNS1,-100.0,100.0
43,ASNS2,-100.0,100.0
44,ASP1DC,-100.0,100.0
45,ASPCT,-100.0,100.0
46,ASPO4,-100.0,100.0
47,ASPO5,-100.0,100.0
48,ASPO6,-100.0,100.0
49,ASPT,-100.0,100.0
50,ASPTA,-100.0,100.0
51,ATPPRT,-100.0,100.0
52,BETALDHx,-100.0,100.0
53,BETALDHy,-100.0,100.0
54,BPNT,-100.0,100.0
55,BSORx,-100.0,100.0
56,BSORy,-100.0,100.0
57,C120SN,-100.0,100.0
58,C140SN,-100.0,100.0
59,C141SN,-100.0,100.0
60,C160SN,-100.0,100.0
61,C161SN,-100.0,100.0
62,C181SN,-100.0,100.0
63,CAT,-100.0,100.0
64,CHORM,-100.0,100.0
65,CHORS,-100.0,100.0
66,CITL,-100.0,100.0
67,CLPNSEC,-100.0,100.0
68,CMPN,-100.0,100.0
69,CSND,-100.0,100.0
70,CYSTL,-100.0,100.0
71,cytd,-100.0,100.0
72,DAAD,-100.0,100.0
73,DADA,-100.0,100.0
74,DAGKEC,-100.0,100.0
75,DAPDC,-100.0,100.0
76,DAPE,-100.0,100.0
77,DB4PS,-100.0,100.0
78,DDPA,-100.0,100.0
79,DHAD1,-100.0,100.0
80,DHAD2,-100.0,100.0
81,DHAPT,-100.0,100.0
82,DHDPRy,-100.0,100.0
83,DHDPS,-100.0,100.0
84,DHFR,-100.0,100.0
85,DHFS,-100.0,100.0
86,DHNPA2,-100.0,100.0
87,DHORTS,-100.0,100.0
88,DHPPDA2,-100.0,100.0
89,DHPS2,-100.0,100.0
90,DHQD,-100.0,100.0
91,DHQS,-100.0,100.0
92,DKGLCNR1,-100.0,100.0
93,DKGLCNR2x,-100.0,100.0
94,DKGLCNR2y,-100.0,100.0
95,DKMPPD,-100.0,100.0
96,DKMPPD2,-100.0,100.0
97,DMPPS,-100.0,100.0
98,DMSOR1,-100.0,100.0
99,DMSOR2,-100.0,100.0
100,DNMPPA,-100.0,100.0
101,DNTPPA,-100.0,100.0
102,DPCOAK,-100.0,100.0
103,DPR,-100.0,100.0
104,DURIK1,-100.0,100.0
105,EDA,-100.0,100.0
106,EDD,-100.0,100.0
107,EDTXS1,-100.0,100.0
108,EDTXS2,-100.0,100.0
109,ETHAAL,-100.0,100.0
110,FAO1,-100.0,100.0
111,FAO2,-100.0,100.0
112,FBP,-100.0,100.0
113,FMNAT,-100.0,100.0
114,FRD2,-100.0,100.0
115,FRD3,-100.0,100.0
116,FRUK,-100.0,100.0
117,fum,-100.0,100.0
118,G1PACT,-100.0,100.0
119,G3PD2,-100.0,100.0
120,G3PD5,-100.0,100.0
121,G3PD6,-100.0,100.0
122,G3PD7,-100.0,100.0
123,G6PDA,-100.0,100.0
124,GALU,-100.0,100.0
125,GARFT,-100.0,100.0
126,GART,-100.0,100.0
127,GCALDD,-100.0,100.0
128,GF6PTA,-100.0,100.0
129,GLGC,-100.0,100.0
130,GLNS,-100.0,100.0
131,GLUDy,-100.0,100.0
132,GLUN,-100.0,100.0
133,GLUPRT,-100.0,100.0
134,GLUR,-100.0,100.0
135,GLUSy,-100.0,100.0
136,GLXCL,-100.0,100.0
137,GLYCDx,-100.0,100.0
138,GLYCK,-100.0,100.0
139,GLYCL,-100.0,100.0
140,GLYCLTDx,-100.0,100.0
141,GLYCLTDy,-100.0,100.0
142,GLYCTO2,-100.0,100.0
143,GLYCTO3,-100.0,100.0
144,GLYCTO4,-100.0,100.0
145,GLYK,-100.0,100.0
146,GMHEPAT,-100.0,100.0
147,GMHEPK,-100.0,100.0
148,GMHEPPA,-100.0,100.0
149,GMPR,-100.0,100.0
150,GMPS2,-100.0,100.0
151,GNK,-100.0,100.0
152,GSNK,-100.0,100.0
153,GSPMDA,-100.0,100.0
154,GSPMDS,-100.0,100.0
155,GTPCI,-100.0,100.0
156,GTPCII2,-100.0,100.0
157,GUAD,-100.0,100.0
158,GUAPRT,-100.0,100.0
159,histd,-100.0,100.0
160,HISTP,-100.0,100.0
161,HPPK2,-100.0,100.0
162,HPYRI,-100.0,100.0
163,HPYRRx,-100.0,100.0
164,HPYRRy,-100.0,100.0
165,HSST,-100.0,100.0
166,HSTPT,-100.0,100.0
167,HXPRT,-100.0,100.0
168,HYPOE,-100.0,100.0
169,ICDHyr,-100.0,100.0
170,IDOND,-100.0,100.0
171,IDOND2,-100.0,100.0
172,IG3PS,-100.0,100.0
173,IGPDH,-100.0,100.0
174,IGPS,-100.0,100.0
175,ILETA,-100.0,100.0
176,IMPC,-100.0,100.0
177,INSK,-100.0,100.0
178,IPDDIi,-100.0,100.0
179,IPDPS,-100.0,100.0
180,IPMD,-100.0,100.0
181,IPPMIa,-100.0,100.0
182,IPPMIb,-100.0,100.0
183,IPPS,-100.0,100.0
184,KARA1i,-100.0,100.0
185,KARA2i,-100.0,100.0
186,KAS14,-100.0,100.0
187,KAS15,-100.0,100.0
188,KAS16,-100.0,100.0
189,KDOCT2,-100.0,100.0
190,KDOPP,-100.0,100.0
191,KDOPS,-100.0,100.0
192,LEUTAi,-100.0,100.0
193,L-LACD2,-100.0,100.0
194,LPADSS,-100.0,100.0
195,LPLIPA1,-100.0,100.0
196,LPLIPA2,-100.0,100.0
197,LPLIPA3,-100.0,100.0
198,LPLIPA4,-100.0,100.0
199,LPLIPA5,-100.0,100.0
200,LPLIPA6,-100.0,100.0
201,LPSSYNEC,-100.0,100.0
202,MACPD,-100.0,100.0
203,MALS,-100.0,100.0
204,MCITD,-100.0,100.0
205,MCITL2,-100.0,100.0
206,MCITS,-100.0,100.0
207,MCOATA,-100.0,100.0
208,MDH,-100.0,100.0
209,MDH2,-100.0,100.0
210,MDH3,-100.0,100.0
211,MDRPD,-100.0,100.0
212,ME1,-100.0,100.0
213,ME2,-100.0,100.0
214,METAT,-100.0,100.0
215,METS,-100.0,100.0
216,MICITD,-100.0,100.0
217,MLTG5,-100.0,100.0
218,MMCD,-100.0,100.0
219,MOAT,-100.0,100.0
220,MOAT2,-100.0,100.0
221,MOHMT,-100.0,100.0
222,MTAN,-100.0,100.0
223,MTHFC,-100.0,100.0
224,MTHFD,-100.0,100.0
225,MTHFR2,-100.0,100.0
226,MTRI,-100.0,100.0
227,MTRK,-100.0,100.0
228,NADH10,-100.0,100.0
229,NADH9,-100.0,100.0
230,NADK,-100.0,100.0
231,NDPK1,-100.0,100.0
232,NDPK2,-100.0,100.0
233,NDPK5,-100.0,100.0
234,NDPK6,-100.0,100.0
235,NMNN,-100.0,100.0
236,NNAM,-100.0,100.0
237,NNDPR,-100.0,100.0
238,NTD1,-100.0,100.0
239,NTD10,-100.0,100.0
240,NTD11,-100.0,100.0
241,NTD2,-100.0,100.0
242,NTD6,-100.0,100.0
243,NTD7,-100.0,100.0
244,NTD9,-100.0,100.0
245,NTPTP1,-100.0,100.0
246,NTPTP2,-100.0,100.0
247,OMCDC,-100.0,100.0
248,OMPDC,-100.0,100.0
249,ORPT,-100.0,100.0
250,P5CR,-100.0,100.0
251,PANTS,-100.0,100.0
252,PAPAEC,-100.0,100.0
253,PAPPT3,-100.0,100.0
254,PAPSR,-100.0,100.0
255,PDH,-100.0,100.0
256,PDXPP,-100.0,100.0
257,PEPTEC,-100.0,100.0
258,PFK,-100.0,100.0
259,PFL,-100.0,100.0
260,PGAMT,-100.0,100.0
261,PGI,-100.0,100.0
262,PGM,-100.0,100.0
263,PHETA1,-100.0,100.0
264,PLIPA2,-100.0,100.0
265,PMDPHT,-100.0,100.0
266,PNTK,-100.0,100.0
267,ppa,-100.0,100.0
268,PPAKr,-100.0,100.0
269,PPC,-100.0,100.0
270,PPCDC,-100.0,100.0
271,PPCK,-100.0,100.0
272,PPM,-100.0,100.0
273,PPNCL2,-100.0,100.0
274,PPND,-100.0,100.0
275,PPNDH,-100.0,100.0
276,PPS,-100.0,100.0
277,PPTGS,-100.0,100.0
278,PRAGSr,-100.0,100.0
279,PRAIi,-100.0,100.0
280,PRAIS,-100.0,100.0
281,PRAMPC,-100.0,100.0
282,PRASCS,-100.0,100.0
283,PRATPP,-100.0,100.0
284,PRFGS,-100.0,100.0
285,PRMICIi,-100.0,100.0
286,PROD2,-100.0,100.0
287,PRPPS,-100.0,100.0
288,PSCVT,-100.0,100.0
289,PTA2,-100.0,100.0
290,PTPATi,-100.0,100.0
291,PUNP1,-100.0,100.0
292,PUNP2,-100.0,100.0
293,PUNP3,-100.0,100.0
294,PUNP5,-100.0,100.0
295,PUNP6,-100.0,100.0
296,PUNP7,-100.0,100.0
297,PYDXK,-100.0,100.0
298,PYDXNK,-100.0,100.0
299,PYDXPP,-100.0,100.0
300,PYK,-100.0,100.0
301,PYNP2r,-100.0,100.0
302,QULNS,-100.0,100.0
303,RBFK,-100.0,100.0
304,RBFSa,-100.0,100.0
305,RBFSb,-100.0,100.0
306,RNDR1,-100.0,100.0
307,RNDR2,-100.0,100.0
308,RNDR4,-100.0,100.0
309,RNTR1,-100.0,100.0
310,RNTR2,-100.0,100.0
311,S7PI,-100.0,100.0
312,SADT2,-100.0,100.0
313,SDPDS,-100.0,100.0
314,SDPTA,-100.0,100.0
315,SERDL,-100.0,100.0
316,SHK3Dr,-100.0,100.0
317,SHKK,-100.0,100.0
318,SHSL1,-100.0,100.0
319,SPMS,-100.0,100.0
320,SSALx,-100.0,100.0
321,SSALy,-100.0,100.0
322,SUCOAS,-100.0,100.0
323,SULR,-100.0,100.0
324,TDSK,-100.0,100.0
325,TESTNADTRHD,-100.0,100.0
326,THDPS,-100.0,100.0
327,THRAr,-100.0,100.0
328,THRD,-100.0,100.0
329,THRDL,-100.0,100.0
330,TMAOR1,-100.0,100.0
331,TMAOR2,-100.0,100.0
332,TMDS,-100.0,100.0
333,TRE6PP,-100.0,100.0
334,TRE6PS,-100.0,100.0
335,TREHe,-100.0,100.0
336,TRPAS2,-100.0,100.0
337,TRPS2,-100.0,100.0
338,TRPS3,-100.0,100.0
339,TRSAR,-100.0,100.0
340,TYRTA,-100.0,100.0
341,U23GAAT,-100.0,100.0
342,UAAGDS,-100.0,100.0
343,UAGAAT,-100.0,100.0
344,UAGCVT,-100.0,100.0
345,UAGDP,-100.0,100.0
346,UAGPT3,-100.0,100.0
347,UAMAGS,-100.0,100.0
348,UAMAS,-100.0,100.0
349,UAPGR,-100.0,100.0
350,UDCPDP,-100.0,100.0
351,UGMDDS,-100.0,100.0
352,UHGADA,-100.0,100.0
353,UMPK,-100.0,100.0
354,UNK3,-100.0,100.0
355,UPPRT,-100.0,100.0
356,USHD,-100.0,100.0
357,VALTA,-100.0,100.0
358,VPAMT,-100.0,100.0
359,XPPT,-100.0,100.0
360,biomass,-100.0,100.0
361,EX_ac,-21.42339643527972,-11.62218664401248
362,EX_h2o,-100.0,100.0
363,EX_nh3,-100.0,100.0
364,EX_pi,-100.0,100.0
365,EX_so4,-100.0,100.0
366,ACt2r,-100.0,100.0
367,ARGabc,-100.0,100.0
368,ARGORNt7,-100.0,100.0
369,ATPS4r,-100.0,100.0
370,Cex,-100.0,100.0
371,CHLabc,-100.0,100.0
372,CHLt2r,-100.0,100.0
373,CYTBD,-100.0,100.0
374,DMSOR1e,-100.0,100.0
375,DMSOR2e,-100.0,100.0
376,FDH3,-100.0,100.0
377,FRUpts,-100.0,100.0
378,FRUpts2,-100.0,100.0
379,FUMt22,-100.0,100.0
380,GLCDe,-100.0,100.0
381,GLCNt2r,-100.0,100.0
382,GLCpts,-100.0,100.0
383,GLCt2,-100.0,100.0
384,GLYC3Pabc,-100.0,100.0
385,GLYC3Pt6,-100.0,100.0
386,Ht,-100.0,100.0
387,HYD1,-100.0,100.0
388,HYD2,-100.0,100.0
389,HYD3,-100.0,100.0
390,ILEt2r,-100.0,100.0
391,LEUabc,-100.0,100.0
392,LEUt2r,-100.0,100.0
393,LYSabc,-100.0,100.0
394,LYSt2r,-100.0,100.0
395,NADH6,-100.0,100.0
396,NADH7,-100.0,100.0
397,NADH8,-100.0,100.0
398,NH3t,-100.0,100.0
399,NO3R2,-100.0,100.0
400,ORNabc,-100.0,100.0
401,PIabc,-100.0,100.0
402,PIt2r,-100.0,100.0
403,PTRCabc,-100.0,100.0
404,PTRCORNt7,-100.0,100.0
405,PTRCt2r,-100.0,100.0
406,SUCCabc,-100.0,100.0
407,SUCCt22,-100.0,100.0
408,SUCFUMt,-100.0,100.0
409,SULabc,-100.0,100.0
410,THD2,-100.0,100.0
411,TMAOR1e,-100.0,100.0
412,TMAOR2e,-100.0,100.0
413,TREpts,-100.0,100.0
414,biomass_ce,-100.0,100.0
415,biomass_EX,0.26863755045058124,0.3320992425321908
416,OROTex,-100.0,100.0
417,DCTA,-100.0,100.0
418,EX_oro,0.0401127260787766,0.1413660734791382
