,rxn,lb,ub
0,2DGLCNRx,-100.0,100.0
1,2DGLCNRy,-100.0,100.0
2,2DGULRx,-100.0,100.0
3,2DGULRy,-100.0,100.0
4,A5PISO,0.011282777118530651,0.013948168186595167
5,AACPS1,-99.99774344457626,99.99987499839486
6,AACPS3,-99.98078381874149,100.0
7,ACHBS,0.07414396392305633,0.09165939093985997
8,ACLS,0.22298501648575378,0.27566196515971364
9,ACOATA,-100.0,99.99999999999999
10,ACS,0.0,100.0
11,ADCL,0.013431877522305872,0.01660496212677133
12,ADCS,0.0134318775223079,0.01660496212677133
13,ADK1,-100.0,100.0
14,ADK3,-100.0,100.0
15,ADMDCr,0.0018804628531228218,0.0023246946977479865
16,ADNK1,-100.0,100.0
17,ADPT,-100.0,100.0
18,ADSK,0.0626083988694217,0.077398717366064
19,ADSL2r,0.13219895631248074,0.16342902614488064
20,AGMHE,0.006769666271257524,0.008368900911909005
21,AICART,0.15637633585264155,0.19331795797305715
22,AIRC2,0.1321989563123367,0.1634290261448836
23,AIRC3,-0.16342902614486832,-0.13219895631250722
24,ALAALAr,0.007414396392400935,0.009165939093950656
25,ALAR,-99.98517120721537,100.0
26,ALATAD2,-100.0,99.98517120721539
27,ALATAL,-100.0,99.84666168620535
28,ALATAL2,-99.98517120721573,100.0
29,ANPRT,0.01450642772409034,0.01793335909691812
30,ANS,0.01450642772408628,0.017933359096913036
31,APRAUR,2.686375504461174e-06,3.3209924253542664e-06
32,ASP1DC,-1.9593855309613106e-05,1.9593855309613106e-05
33,ASPCT,0.12476041822435491,0.2460105448020471
34,ASPO4,-100.0,100.0
35,ASPO5,-100.0,100.0
36,ASPT,0.0,99.32797192456343
37,ASPTA,-100.0,-0.6653926977036662
38,ATPPRT,0.02417737954012049,0.029888931828342413
39,BETALDHx,-100.0,100.0
40,BETALDHy,-100.0,100.0
41,BPNT,0.06260839886942705,0.077398717366064
42,BSORx,-100.0,100.0
43,BSORy,-100.0,100.0
44,C120SN,0.011282777118693188,0.013948168186595167
45,C140SN,-99.99628796632794,100.0
46,C141SN,0.0036386956207934418,0.004498284240140649
47,C160SN,-99.97380139153034,100.0
48,C161SN,0.0050941738691108185,0.006297597936193
49,C181SN,0.036386956208218635,0.04498284240142425
50,CHORM,0.08247172798826163,0.10195446745744796
51,CHORS,0.11041003323335426,0.13649278868206033
52,CLPNSEC,0.0017327122003766605,0.0021420401143623646
53,CYSTL,0.03922108236500321,0.048486489410237255
54,DAAD,-100.0,100.0
55,DAPDC,0.08757584144684927,0.10826435306553606
56,DAPE,0.09499023783907035,0.11743029215962508
57,DB4PS,5.372751008922348e-06,6.641984850708533e-06
58,DDPA,0.1104100332332365,0.13649278868206033
59,DHAD1,0.2229850164857469,0.27566196515971364
60,DHAD2,0.07414396392305633,0.09165939093985997
61,DHAPT,-100.0,100.0
62,DHDPRy,0.09499023783774713,0.11743029216052686
63,DHDPS,0.09499023783774713,0.11743029216052686
64,DHFR,0.020067225018323143,0.02480781341739635
65,DHFS,0.0134318775223079,0.01660496212677133
66,DHNPA2,0.013431877522305874,0.01660496212677133
67,DHORD2,0.0,60.663965460316106
68,DHORD5,-60.539218997923705,0.2460105448020471
69,DHORTS,-0.24601054480203288,-0.12476041822435491
70,DHPPDA2,2.686375504461174e-06,3.3209924253542664e-06
71,DHPS2,0.013431877522305872,0.01660496212677133
72,DHQD,0.11041003323335426,0.13649278868209902
73,DHQS,0.11041003323335426,0.13649278868209902
74,DKGLCNR1,-100.0,100.0
75,DKGLCNR2x,-100.0,100.0
76,DKGLCNR2y,-100.0,100.0
77,DKMPPD,1.1773757966834775e-19,0.0023246946977486457
78,DKMPPD2,0.0,0.0023246946977479865
79,DMPPS,-8.526512829121202e-14,-0.0
80,DMSOR1,0.0,-0.0
81,DMSOR2,0.0,-0.0
82,DNMPPA,0.01343187752230587,0.01660496212677133
83,DNTPPA,0.01343187752230586,0.016604962126771317
84,DPCOAK,-1.9593855309613106e-05,1.9593855309613106e-05
85,DPR,-1.9593855309613106e-05,1.9593855309613106e-05
86,DURIPP,-100.0,99.89925661291977
87,EDTXS1,0.002256555423752582,0.0027896336373027797
88,EDTXS2,0.002256555423752582,0.0027896336373027797
89,FAO1,-99.9995133249245,99.99628796632794
90,FAO2,-100.0,99.97380139153034
91,FMNAT,2.686375504461174e-06,3.3209924253548018e-06
92,FRD2,-100.0,100.0
93,FRD3,-100.0,100.0
94,FRUK,0.0,-0.0
95,G1PACT,0.019341903632060342,0.023911145462641725
96,G3PD2,-100.0,100.0
97,G3PD5,0.0,60.66469885594976
98,G3PD6,-100.0,100.0
99,G3PD7,-100.0,100.0
100,GCALDD,0.013431877522305818,0.016604962126771428
101,GK1,0.06796798653157055,100.0
102,GLUDy,-100.0,100.0
103,GLUPRT,0.132198956312493,0.1634290448357273
104,GLUR,-0.009165939093946918,-0.007414396392377398
105,GLYCDx,-100.0,100.0
106,GLYCLTDx,-100.0,100.0
107,GLYCLTDy,-100.0,100.0
108,GLYCTO2,-7.105427357601002e-15,60.664698855949275
109,GLYCTO3,-100.0,100.0
110,GLYCTO4,-100.0,100.0
111,GLYK,-100.0,100.0
112,GMHEPAT,0.006769666271257524,0.008368900911909005
113,GMHEPK,0.006769666271257524,0.008368900911909005
114,GMHEPPA,0.006769666271257524,0.008368900911909005
115,GMPR,-100.0,99.9252086195803
116,GNK,0.0,-0.0
117,GSNK,-100.0,100.0
118,GTPCI,0.0134318775223079,0.01660496212677133
119,GTPCII2,2.6863755044611746e-06,3.3209924256150103e-06
120,GUAD,-100.0,100.0
121,GUAPRT,-100.0,100.0
122,histd,0.024177379540518018,0.029888931827926513
123,HISTP,0.024177379540006427,0.029888931828331827
124,HPPK2,0.013431877522305872,0.01660496212677604
125,HPYRI,-100.0,100.0
126,HPYRRx,-100.0,100.0
127,HPYRRy,-100.0,100.0
128,HSST,0.03922108236500321,0.048486489410237255
129,HSTPT,0.02417737954014143,0.029888931828281784
130,HXPRT,-100.0,100.0
131,IDOND,-100.0,100.0
132,IDOND2,-100.0,100.0
133,IG3PS,0.02417737954006327,0.02988893182838126
134,IGPDH,0.02417737954006327,0.02988893182838126
135,IGPS,0.014506427724090339,0.017933359096913036
136,ILETA,-0.09165939093891495,-0.0741439639243282
137,IMPC,-0.19331795797304296,-0.15637633585263444
138,IMPD,-99.9252086195803,100.0
139,INSK,-100.0,100.0
140,IPDDIi,0.0,-0.0
141,IPDPS,0.0,-0.0
142,IPMD,0.11497687159093822,0.1421384758051626
143,IPPMIa,-0.1421384758051626,-0.11497687159093822
144,IPPMIb,-0.1421384758051626,-0.11497687159093822
145,IPPS,0.11497687159093822,0.1421384758051626
146,KARA1i,0.22298501648575378,0.27566196515971364
147,KARA2i,0.07414396392305633,0.09165939093985997
148,KAS14,-100.0,99.99925000374992
149,KAS15,-100.0,100.0
150,KAS16,0.00902622169500833,0.011158534549212673
151,KDOCT2,0.011282777118530651,0.013948168186595167
152,KDOPP,0.011282777118530651,0.013948168186595167
153,KDOPS,0.011282777118530651,0.013948168186595167
154,LDHD2,0.0,60.66471040647306
155,LEUTAi,0.1149768715928019,0.14213847580381866
156,L-LACD2,0.0,60.664709506272814
157,L-LACD3,-60.66472291616691,-0.0
158,LPADSS,0.002256555423752582,0.0027896336373027797
159,LPLIPA1,-99.99959000133134,99.99930951356748
160,LPLIPA2,-100.00000000000001,99.9997321307882
161,LPLIPA3,-99.99950000029337,100.0
162,LPLIPA4,-100.0,99.9995721777355
163,LPLIPA5,-99.99952616063656,99.99949999887195
164,LPLIPA6,-99.99946425102304,99.99928509727371
165,LPSSYNEC,0.002256555423752582,0.0027896336373027797
166,MACPD,-100.0,100.0
167,MDH,-100.0,100.0
168,MDH2,0.0,60.66469885594521
169,MDH3,-99.98502700379991,100.0
170,MDRPD,0.0018804628531228218,0.0023246946977479865
171,ME1,-100.0,100.0
172,ME2,-100.0,100.0
173,METAT,0.0018804628531228218,0.0023246946977479865
174,METS,0.03922108236500321,0.048486489410237255
175,MOAT,0.002256555423752582,0.0027896336373027797
176,MOAT2,0.002256555423752582,0.0027896336373027797
177,MOHMT,-1.9593855309613106e-05,1.9593855309613106e-05
178,MTAN,0.0018804628531228218,0.002324694697748283
179,MTHFR2,0.05265295988728269,0.06509145154940973
180,MTRI,0.0018804628531228218,0.0023246946977479865
181,MTRK,0.0018804628531228218,0.0023246946977479865
182,NADH10,-100.0,100.0
183,NADH5,0.0,60.66487235184471
184,NADH9,-100.0,100.0
185,NDPK1,-100.0,100.0
186,NDPK2,-99.89149729337484,100.0
187,NDPK5,-100.0,100.0
188,NMNN,0.0,100.0
189,NNDPR,-0.0008616331387401472,0.0009066496229964761
190,NTD10,-100.0,100.0
191,NTD8,-0.008435320762586684,99.92520861958067
192,NTD9,-100.0,100.0
193,NTPTP1,-100.0,100.0
194,NTPTP2,-100.0,100.0
195,OMCDC,0.1149768715928019,0.14213847580381866
196,OMPDC,0.08464769214589296,0.10464447132289934
197,ORPT,-0.10464447132291355,-0.08464769214558032
198,P5CR,-99.94358611440543,100.0
199,PANTS,1.584961547633498e-05,1.9593855309613106e-05
200,PAPPT3,0.007414396392400935,0.009165939093923381
201,PAPSR,0.06260839886942705,0.077398717366064
202,PEPTEC,0.004513110847505164,0.005579267274606627
203,PGAMT,-0.023911145462641725,-0.019341903632060342
204,PHETA1,-0.05844946668570117,-0.047280208879268315
205,PMDPHT,2.6863755044611746e-06,3.3209924253542664e-06
206,PNTK,-1.9593855309613106e-05,1.9593855309613106e-05
207,PPCDC,-1.9593855309613106e-05,1.9593855309613106e-05
208,PPCK,-99.94652593703823,100.0
209,PPNCL2,1.5849615476334984e-05,1.9593855309613106e-05
210,PPND,0.03519151910899687,0.043505000771746793
211,PPNDH,0.047280208879268315,0.05844946668570117
212,PPTGS,0.007414396392400935,0.009165939093923381
213,PRAGSr,0.13219895631238124,0.16342902614486943
214,PRAIi,0.01450642772409034,0.017933359096913036
215,PRAIS,0.13219895631245868,0.16342902614486254
216,PRAMPC,0.02417737954006327,0.02988893182838126
217,PRASCS,0.13219895631255857,0.16342902614486357
218,PRATPP,0.02417737954006327,0.02988893182838126
219,PRFGS,0.13219895631251344,0.16342902614486388
220,PRMICIi,0.02417737954006327,0.02988893182838126
221,PROD2,-100.0,99.94358611440543
222,PSCVT,0.11041003323317966,0.13649278868206038
223,PTPATi,1.5849615476334984e-05,1.9593855309613106e-05
224,PUNP1,-100.0,100.0
225,PUNP3,-100.0,100.0
226,PUNP4,-100.0,100.0
227,PUNP5,-100.0,100.0
228,PUNP7,-100.0,100.0
229,PYK,0.0,100.0
230,PYNP2r,-100.0,100.0
231,QULNS,-0.0009066309321216215,0.000906630932121677
232,RBFK,2.686375504461174e-06,3.3209924253542664e-06
233,RBFSa,-6.501629461996076e-06,6.50162946199601e-06
234,RBFSb,2.686375504461175e-06,3.3209924256150103e-06
235,RNDR2,-100.0,100.0
236,RNDR4,-100.0,100.0
237,RNTR2,-100.0,100.0
238,S7PI,0.006769666271257524,0.008368900911916327
239,SADT2,0.0626083988694217,0.077398717366064
240,SDPDS,0.09499023783774713,0.11743029216052686
241,SDPTA,-0.11743029216052686,-0.09499023783774713
242,SHK3Dr,0.11041003323317966,0.13649278868206044
243,SHKK,0.11041003323335416,0.13649278868215944
244,SHSL1,0.03922108236500321,0.048486489410237255
245,SPMS,0.0018804628531228218,0.0023246946977479865
246,SSALx,-100.0,100.0
247,SSALy,-100.0,100.0
248,SULR,-0.077398717366064,-0.0626083988694217
249,TDSK,0.002256555423752582,0.0027896336373027797
250,TESTNADTRHD,-100.0,100.0
251,THDPS,0.09499023783774713,0.11743029216052686
252,TMAOR1,0.0,-0.0
253,TMAOR2,0.0,-0.0
254,TMDS,0.006635347496017907,0.008202851290626256
255,TREHe,0.0,-0.0
256,TRSAR,-100.0,100.0
257,TYRTA,-0.043505000771746793,-0.03519151910899687
258,U23GAAT,0.004513110847504498,0.005579267274605781
259,UAAGDS,0.007414396392400935,0.009165939093923381
260,UAGAAT,0.004513110847504498,0.005579267274605781
261,UAGCVT,0.007414396392377398,0.009165939093946918
262,UAGDP,0.019341903632060342,0.023911145462641725
263,UAGPT3,0.007414396392400935,0.009165939093923381
264,UAMAGS,0.007414396392400935,0.009165939093946918
265,UAMAS,0.007414396392377398,0.009165939093946918
266,UAPGR,0.007414396392377398,0.009165939093946918
267,UDCPDP,0.007414396392400935,0.009165939093923381
268,UGMDDS,0.007414396392400935,0.009165939093923381
269,UHGADA,0.004513110847504498,0.005579267274605781
270,UMPK,-99.90568135603837,100.0
271,UNK3,0.0018804628531228218,0.0023246946977479865
272,UPPRT,-100.0,100.0
273,URIDK2r,-99.91231670353389,100.0
274,URIK2,-100.0,100.0
275,USHD,0.002256555423752582,0.0027896336373027797
276,VALTA,-100.0,99.73866939092636
277,VPAMT,-99.89200770471894,99.7879203248759
278,XPPT,-100.0,100.0
279,biomass,0.26863755045054916,0.3320992425322231
280,EX_ac,-21.42339643527972,-11.62218664401248
281,EX_h2o,6.0600681863303265,8.046983863107172
282,EX_nh3,-3.8546132623760108,-2.969546686391363
283,EX_pi,-0.3169013848993316,-0.25634389022501924
284,EX_so4,-0.077398717366064,-0.06260839886942705
285,ACt2r,11.622186644012473,21.423396435279756
286,ARGabc,-100.0,100.0
287,ARGORNt7,-100.0,100.0
288,ATPS4r,0.0,100.0
289,Cex,-2.3299585839957584,-1.8771708895153552
290,CYTBD,0.0,100.0
291,DMSOR1e,0.0,-0.0
292,DMSOR2e,0.0,-0.0
293,FDH2,0.0,60.66470693833745
294,FRUpts,0.0,-0.0
295,FRUpts2,0.0,-0.0
296,FUMt22,0.0,100.0
297,GLCDe,0.0,-0.0
298,GLCNt2r,0.0,-0.0
299,GLCpts,0.0,-0.0
300,GLCt2,0.0,-0.0
301,GLYC3Pabc,0.0,0.31690144097201456
302,GLYC3Pt6,-0.31690138489927167,-0.0
303,Ht,-100.0,-0.0
304,HYD1,0.0,60.66470817121825
305,HYD2,-100.0,100.0
306,HYD3,-100.0,100.0
307,LYSabc,0.0,100.0
308,LYSt2r,-99.97412175504101,-0.0
309,NADH6,0.0,60.66487233673713
310,NADH7,-100.0,100.0
311,NADH8,-100.0,100.0
312,NH3t,2.969546686391511,3.8546132623796865
313,NO3R1,-60.6639654603228,-0.0
314,NO3R2,1.3684516678718555e-12,60.66471081437231
315,ORNabc,0.0,100.0
316,PIabc,0.0,0.3169013848992553
317,PIt2r,0.0,0.3169013848992731
318,PTRCabc,0.0,100.0
319,PTRCORNt7,-100.0,99.94164059486735
320,PTRCt2r,-100.0,-0.0
