,rxn,lb,ub
0,2DGLCNRx,-100.0,100.0
1,2DGLCNRy,-100.0,100.0
2,2DGULRx,-100.0,100.0
3,2DGULRy,-100.0,100.0
4,A5PISO,0.028175254055617494,0.02947895195087291
5,AACPS1,-99.99436494918882,100.0
6,AACPS3,-100.0,100.0
7,ACHBS,0.1851516695099349,0.19371882710534294
8,ACLS,0.5568362668180667,0.5826016518413195
9,ACOATA,-100.0,100.0
10,ADA,0.0,98.16010233551494
11,ADCL,0.03354196911412723,0.03509399041762812
12,ADCS,0.033541969114125436,0.035093990417628174
13,ADD,-1.3322676295501878e-15,98.16010627263175
14,ADK1,-100.0,100.0
15,ADK3,-100.0,100.0
16,ADMDCr,0.004695875675977845,0.004913158658467864
17,ADNK1,-100.0,100.0
18,ADPT,-100.00000000000027,100.0
19,ADSK,0.15634515559538759,0.16357940625483983
20,ADSL1r,0.18716355457294753,98.36383554752831
21,ADSL2r,0.3301260975756861,0.3454013706086414
22,AGMHE,0.01690515243350399,0.017687371170480137
23,AICART,0.3905016419811034,0.4085705533602635
24,AIRC2,0.3301261353311844,0.3454014124851028
25,AIRC3,-0.34540137060847087,-0.3301260975757856
26,ALAALAr,0.018515166951051487,0.019371882710487398
27,ALAR,-99.962969666098,100.0
28,ALATAD2,-100.0,99.9629696660984
29,ALATAL,-100.0,99.61708488059332
30,ALATAL2,-99.962969666098,100.0
31,ANPRT,0.036225326643257415,0.03790150965103836
32,ANS,0.036225326643257415,0.03790150965103836
33,APRAUR,6.708393822825448e-06,7.018798083525624e-06
34,ASP1DC,-4.141090869280717e-05,4.141090869280717e-05
35,ASPCT,0.47326568741772235,0.5765682096594702
36,ASPO3,-46.98451222616771,47.1714979074373
37,ASPO4,-100.0,100.0
38,ASPO5,-100.0,100.0
39,ASPO6,0.0,46.98634286617857
40,ASPT,0.0,98.16010226000257
41,ASPTA,-100.0,-1.823327931742991
42,ATPHYD,3.15,99.95961163708267
43,ATPPRT,0.06037554440540305,0.0631691827517642
44,BETALDHx,-100.0,100.0
45,BETALDHy,-100.0,100.0
46,BPNT,0.1563451555953876,0.16357940625483983
47,BSORx,-100.0,100.0
48,BSORy,-100.0,100.0
49,C120SN,0.02817525405579424,0.029478951950887122
50,C140SN,-99.99073034141563,100.0
51,C141SN,0.009086519433017415,0.009506962004135033
52,C160SN,-99.93457706008219,100.0
53,C161SN,0.012721127206223315,0.01330974680578656
54,C181SN,0.0908651943301777,0.09506962004132902
55,CAT,0.0,23.493171433101086
56,CHORM,0.20594769036166483,0.2154771011630885
57,CHORS,0.27571498611812595,0.2884726012329032
58,CITL,0.0,99.91473253618904
59,CLPNSEC,0.004326914015713532,0.004527124763877732
60,CS,-20.11753542959451,100.0
61,CTPS2,0.0,99.0418951191152
62,CYSTL,0.09794254981322581,0.10247445201950711
63,DAAD,-100.0,100.00000000000001
64,DADA,-0.01733643138547336,98.16010229775907
65,DAGKEC,0.0,100.0
66,DAPDC,0.21869363862511193,0.22881281752165705
67,DAPE,0.23720880557510782,0.24818470023346606
68,DB4PS,1.3416787645650896e-05,1.40375961672733e-05
69,DDPA,0.2757149861179613,0.2884726012329031
70,DHAD1,0.5568362668180667,0.5826016518413195
71,DHAD2,0.18515166951083017,0.1937188271042345
72,DHAPT,-100.0,100.0
73,DHDPRy,0.23720880557510782,0.24818470023346606
74,DHDPS,0.23720880557510782,0.24818470023346606
75,DHFR,0.05011170185650608,0.05243042168394191
76,DHFS,0.033541969114125436,0.03509399041762806
77,DHNPA2,0.03354196911412723,0.03509399041762812
78,DHORD2,0.0,47.17149711454777
79,DHORD5,-46.69823289141144,0.5765682096594418
80,DHORTS,-0.5765682096594418,-0.47326568741770814
81,DHPPDA2,6.708393822825448e-06,7.018798083747672e-06
82,DHPS2,0.033541969114125436,0.035093990417628174
83,DHQD,0.27571498611801815,0.288472601233344
84,DHQS,0.27571498611801815,0.288472601233344
85,DKGLCNR1,-100.0,100.0
86,DKGLCNR2x,-100.0,100.0
87,DKGLCNR2y,-100.0,100.0
88,DKMPPD,0.0,0.004913158658467936
89,DKMPPD2,0.0,0.004913158658467936
90,DMPPS,0.0,1.4210854715202004e-13
91,DMSOR1,0.0,-0.0
92,DMSOR2,0.0,-0.0
93,DNMPPA,0.033541969114125436,0.03509399041762812
94,DNTPPA,0.03354196911412723,0.03509399041762812
95,DPCOAK,-4.141090869280717e-05,4.141090869280717e-05
96,DPR,-4.141090869280717e-05,4.141090869280717e-05
97,DURIK1,-99.76446829288193,100.0
98,DURIPP,-100.0,99.76446829288065
99,EDTXS1,0.0056350508111679964,0.005895790390214831
100,EDTXS2,0.0056350508111679964,0.005895790390159861
101,ENO,0.0,100.0
102,F6PA,-100.0,100.0
103,FAO1,-100.0,99.99073034141561
104,FAO2,-100.0,99.93457706008229
105,FBP,0.0,99.95187318593752
106,FMNAT,-7.018798083747271e-06,7.018798083747271e-06
107,FRD2,-100.0,100.0
108,FRD3,-100.0,100.0
109,FRUK,0.0,-0.0
110,FTHFD,0.0,100.0
111,G1PACT,0.04830043552417518,0.05053534620143729
112,G3PD2,-100.0,100.0
113,G3PD5,0.0,47.17150363908666
114,G3PD6,-100.0,100.0
115,G3PD7,-100.0,100.0
116,G6PDH2r,0.0,100.0
117,GALU,-6.061145154614707,99.91638445154156
118,GART,-99.26122337757957,100.0
119,GCALDD,0.033541969114125436,0.035093990417628174
120,GK1,0.16972907211130916,100.0
121,GLCP,-0.1080894912292294,24.89669073512809
122,GLCS1,0.0,25.0
123,GLGC,0.0,99.91750297274837
124,GLNS,0.9581040214656156,100.0
125,GLUDy,-100.0,100.0
126,GLUPRT,0.3301260975756719,0.34540141248513123
127,GLUR,-0.019371882710487398,-0.01851516695101907
128,GLYCDx,-100.0,100.0
129,GLYCLTDx,-100.0,100.0
130,GLYCLTDy,-100.0,100.0
131,GLYCTO2,0.0,47.171497995953764
132,GLYCTO3,-100.0,100.0
133,GLYCTO4,-100.0,100.0
134,GLYK,-100.0,100.0
135,GMHEPAT,0.01690515243350399,0.017687371170480137
136,GMHEPK,0.01690515243350399,0.017687371170480137
137,GMHEPPA,0.01690515243350399,0.017687371170480137
138,GMPR,-100.0,99.8132316075787
139,GNK,0.0,9.531228098868617
140,GSNK,-100.0,99.9306854449759
141,GSPMDA,0.0,100.0
142,GSPMDS,0.0,100.0
143,GTPCI,0.033541969114125436,0.03509399041762812
144,GTPCII2,6.708393822825448e-06,7.018798083735511e-06
145,GUAD,-100.0,100.0
146,GUAPRT,-100.0,100.0
147,HEX1,0.0,100.0
148,histd,0.060375544405687265,0.06316918275139471
149,HISTP,0.060375544405687265,0.06316918275139471
150,HPPK2,0.033541969114125436,0.035093990417628174
151,HPYRI,-100.0,100.0
152,HPYRRx,-100.0,100.0
153,HPYRRy,-100.0,100.0
154,HSST,0.09794254981322581,0.10247445201950711
155,HSTPT,0.060375544405346204,0.06316918275182104
156,HXPRT,-100.0,100.0
157,HYPOE,0.0,100.0
158,IDOND,-100.0,100.0
159,IDOND2,-100.0,100.0
160,IG3PS,0.06037554440540305,0.0631691827517642
161,IGPDH,0.06037554440540305,0.0631691827517642
162,IGPS,0.036225326643261724,0.03790150965103836
163,ILETA,-0.1935480038143643,-0.18515166951083017
164,IMPC,-0.4085705533603061,-0.3905016419811034
165,IMPD,-99.81323160757873,100.0
166,INSK,-100.0,100.0
167,IPDDIi,0.0,-0.0
168,IPDPS,0.0,-0.0
169,IPMD,0.2871192556169291,0.3004045579748862
170,IPPMIa,-0.3004045579748862,-0.2871192556169291
171,IPPMIb,-0.3004045579748862,-0.2871192556169291
172,IPPS,0.2871192556169291,0.3004045579748862
173,KARA1i,0.5568362668180667,0.5826016518413195
174,KARA2i,0.1851516695099349,0.19371882710534294
175,KAS14,-100.0,100.0
176,KAS15,-99.99900000000001,100.0
177,KAS16,0.022540203244671986,0.023583161560640775
178,KDOCT2,0.028175254055617494,0.029478952072524003
179,KDOPP,0.028175254055617494,0.029478952072524003
180,KDOPS,0.028175254055617494,0.029478952072524003
181,LDHD2,0.0,47.17149654820856
182,LEUTAi,0.2871192556182649,0.3004045579732093
183,L-LACD2,0.0,47.17150021102847
184,L-LACD3,-47.17150355388362,-0.0
185,LPADSS,0.0056350508111679964,0.005895790390159861
186,LPLIPA1,-100.0,100.0
187,LPLIPA2,-99.99962114665118,100.0
188,LPLIPA3,-100.00000000000001,100.0
189,LPLIPA4,-99.99965011460353,99.99957596216325
190,LPLIPA5,-99.99958320662616,99.99950000364004
191,LPLIPA6,-100.0,100.0
192,LPSSYNEC,0.0056350508111679964,0.0058913155018114425
193,MACPD,-100.0,100.0
194,MDH,-100.0,100.0
195,MDH2,0.0,47.17149734108053
196,MDH3,-100.0,100.0
197,MDRPD,0.004695875675977845,0.004913158658467864
198,ME1,-100.0,100.0
199,ME2,-100.0,100.0
200,METAT,0.004695875675977845,0.004913158658467864
201,METS,0.09794254981322581,0.10247445201950711
202,MMM2,-99.3111871860306,100.0
203,MOAT,0.0056350508111679964,0.005895790390159861
204,MOAT2,0.0056350508111679964,0.005895790390159861
205,MOHMT,3.9579523554705254e-05,4.141090897746835e-05
206,MTAN,0.004695875675977845,0.004913158658467864
207,MTHFC,-99.27937226044322,99.96092137679545
208,MTHFR2,0.1314845189272802,0.1375684433826542
209,MTRI,0.004695875675977845,0.004913158658467864
210,MTRK,0.004695875675977845,0.004913158658467864
211,NADH10,-100.0,100.0
212,NADH5,0.0,47.17149978293192
213,NADH9,-100.0,100.0
214,NADK,0.0,100.0
215,NADPPPS,-0.00037203580092182165,99.99964441737188
216,NDPK1,-100.0,100.0
217,NDPK2,-100.0,100.0
218,NDPK5,-100.0,100.0
219,NMNN,-0.0019161713792925639,100.0
220,NNDPR,0.0018313915136315047,0.0019161318768038949
221,NTD1,-100.0,100.0
222,NTD10,-100.0,100.0
223,NTD11,-98.16010233551454,100.0
224,NTD4,0.0,100.0
225,NTD5,0.0,100.0
226,NTD6,-0.017336431266315344,100.0
227,NTD7,-11.860205842694668,100.0
228,NTD8,-0.01782774713215929,99.81323160757907
229,NTD9,-100.0,100.0
230,NTPTP1,-100.0,99.98296067969002
231,NTPTP2,-100.0,100.0
232,OMCDC,0.2871192556182649,0.3004045579732093
233,OMPDC,0.21138148935723677,0.22116232761190702
234,ORPT,-0.2211623276118928,-0.21138148935722256
235,P5CR,-99.85912372972007,100.0
236,PANTS,3.957952355471139e-05,4.141090869280717e-05
237,PAPAEC,-0.011791580780325717,99.98872989837787
238,PAPPT3,0.018515166951051487,0.01937188271045409
239,PAPSR,0.1563451555954062,0.16357940625483983
240,PDH,-100.0,100.0
241,PEPTEC,0.011270101622335993,0.011791580780319721
242,PFK,0.0,100.0
243,PFL,-100.0,100.0
244,PGAMT,-0.05053534647926685,-0.04830043552417518
245,PGL,0.0,100.0
246,PGM,-100.0,-0.0
247,PHETA1,-0.12353084626937161,-0.11806773128225956
248,PMDPHT,6.708393822825448e-06,7.018798083525624e-06
249,PNTK,3.957952355469897e-05,4.141090869280717e-05
250,PPC,-100.0,100.0
251,PPCDC,3.957952355471139e-05,4.141090869280717e-05
252,PPCK,2.220446049250313e-14,100.0
253,PPNCL2,3.9579523554698966e-05,4.141090869280717e-05
254,PPND,0.08787995907940527,0.09194625489368491
255,PPNDH,0.11806773128225956,0.12353084626937161
256,PPTGS,0.018515166951051487,0.01937188271045409
257,PRAGSr,0.3301260975756719,0.34540137060858456
258,PRAIi,0.036225326643261724,0.03790150965103836
259,PRAIS,0.3301260975756861,0.3454013706085135
260,PRAMPC,0.06037554440540305,0.0631691827517642
261,PRASCS,0.3301260975756861,0.34540137060857035
262,PRATPP,0.06037554440540305,0.0631691827517642
263,PRFGS,0.3301260975756577,0.3454013706085135
264,PRMICIi,0.06037554440540305,0.0631691827517642
265,PROD2,-100.0,99.85912372972007
266,PSCVT,0.2757149861181259,0.28847260123290314
267,PTPATi,3.9579523554674964e-05,4.141090869280717e-05
268,PUNP1,-100.0,100.0
269,PUNP3,-100.0,100.0
270,PUNP4,-100.0,99.98296068902175
271,PUNP5,-100.0,100.0
272,PUNP6,-0.017324445487361118,98.09796018777939
273,PUNP7,-100.0,100.0
274,PYAM5PO,6.83481049534862e-16,46.986343715500325
275,PYDAMK,0.0,100.0
276,PYDXK,0.0,100.0
277,PYDXNK,0.0,100.0
278,PYDXPP,0.0,100.0
279,PYK,-100.0,100.0
280,PYNP2r,-100.0,100.0
281,QULNS,0.001831391513631729,0.001916131876802881
282,RBFK,6.708393822825448e-06,7.018798083525223e-06
283,RBFSa,1.3416787645650896e-05,1.40375961672733e-05
284,RBFSb,-7.018798083747271e-06,7.018798083747271e-06
285,RNDR2,-100.0,100.0
286,RNDR4,-100.0,100.0
287,RNTR1,0.0,100.0
288,RNTR2,-100.0,100.0
289,S7PI,0.01690515243350399,0.017687371170480137
290,SADT2,0.15634515559539752,0.16357940625483983
291,SDPDS,0.23720880557510782,0.24818470023346606
292,SDPTA,-0.24818470023346606,-0.23720880557510782
293,SHK3Dr,0.27571498611812584,0.2884726012329032
294,SHKK,0.27571498611812595,0.28847260123290314
295,SHSL1,0.09794254981322581,0.10243754797942665
296,SPMS,0.004695875675977845,0.004913158672014485
297,SSALx,-100.0,100.0
298,SSALy,-100.0,100.0
299,SUCD,-46.64936008152763,46.98451143691568
300,SULR,-0.16357940625483983,-0.15634515559538759
301,TDSK,0.0056350508111679964,0.005895790390159861
302,TESTNADTRHD,-100.0,100.0
303,THDPS,0.23720880557510782,0.24818470023346606
304,TMAOR1,0.0,-0.0
305,TMAOR2,0.0,-0.0
306,TMDK1,0.0,100.0
307,TMDS,0.016569732742378385,0.017336431266309127
308,TRE6PS,-6.074427774383764,99.90182696632799
309,TREHe,-6.074427774383764,-0.0
310,TRSAR,-100.0,100.0
311,TYRTA,-0.09194625489368491,-0.08787995907940527
312,U23GAAT,0.011270101622335993,0.011791580780320388
313,UAAGDS,0.018515166951051487,0.01937188271045409
314,UAGAAT,0.011270101622335993,0.011791580780320388
315,UAGCVT,0.01851516695101907,0.019371882817070505
316,UAGDP,0.04830043552417518,0.05053534620143729
317,UAGPT3,0.018515166951051487,0.01937188271045409
318,UAMAGS,0.018515166951051487,0.019371882710487398
319,UAMAS,0.01851516695101907,0.019371882710487398
320,UAPGR,0.01851516695101907,0.019371882817070505
321,UDCPDP,0.018515166951051487,0.01937188271045409
322,UGMDDS,0.018515166951051487,0.01937188271045409
323,UHGADA,0.011270101622335993,0.011791580780320388
324,UMPK,-99.76446829288058,100.0
325,UNK3,0.004695875675977845,0.004913158658467864
326,UPPRT,-99.99412411785057,100.0
