,rxn,lb,ub
0,2DGLCNRx,-100.0,100.0
1,2DGLCNRy,-100.0,100.0
2,2DGULRx,-100.0,100.0
3,2DGULRy,-100.0,100.0
4,A5PISO,0.028175254055617494,0.02947895195087291
5,AACPS1,-99.99436494918882,100.0
6,AACPS3,-100.0,100.0
7,ACGK,0.0,91.03359248599904
8,ACGS,0.0,93.12600376038236
9,ACHBS,0.1851516695099349,0.19371882710534294
10,ACLS,0.5568362668180667,0.5826016518413195
11,ACOATA,-100.0,100.0
12,ACODA,0.0,91.01866963697826
13,ACONT,-18.702737944247517,91.07730777586579
14,ACS,-12.834663225858321,90.97266835379651
15,ADA,0.0,98.16010233551494
16,ADCL,0.03354196911412723,0.03509399041762812
17,ADCS,0.033541969114125436,0.035093990417628174
18,ADD,-1.3322676295501878e-15,98.16010627263175
19,ADK1,-100.0,100.0
20,ADK3,-100.0,100.0
21,ADMDCr,0.004695875675977845,0.004913158658467864
22,ADNK1,-100.0,100.0
23,ADPT,-100.00000000000027,100.0
24,ADSK,0.15634515559538759,0.16357940625483983
25,ADSL1r,0.18716355457294753,98.36383554752831
26,ADSL2r,0.3301260975756861,0.3454013706086414
27,ADSS,0.20373328731528773,91.67303045648757
28,AGMHE,0.01690515243350399,0.017687371170480137
29,AGPR,-92.87287362469577,-0.0
30,AICART,0.3905016419811034,0.4085705533602635
31,AIRC2,0.3301261353311844,0.3454014124851028
32,AIRC3,-0.34540137060847087,-0.3301260975757856
33,ALAALAr,0.018515166951051487,0.019371882710487398
34,ALAR,-99.962969666098,100.0
35,ALATAD2,-100.0,99.9629696660984
36,ALATAL,-100.0,99.61708488059332
37,ALATAL2,-99.962969666098,100.0
38,ALDD2x,0.0,92.01300226760304
39,AMALT1,-91.27151431849798,91.7138899282005
40,AMALT2,-91.51811111863579,91.28909778436196
41,AMALT3,-91.1350124924669,91.056563681878
42,AMALT4,-94.04713142209651,97.68881124007072
43,ANPRT,0.036225326643257415,0.03790150965103836
44,ANS,0.036225326643257415,0.03790150965103836
45,APRAUR,6.708393822825448e-06,7.018798083525624e-06
46,ASNS1,0.0,90.92009857426547
47,ASP1DC,-4.141090869280717e-05,4.141090869280717e-05
48,ASPCT,0.47326568741772235,0.5765682096594702
49,ASPO3,-46.98451222616771,47.1714979074373
50,ASPO4,-100.0,100.0
51,ASPO5,-100.0,100.0
52,ASPO6,0.0,46.98634286617857
53,ASPT,0.0,98.16010226000257
54,ASPTA,-100.0,-1.823327931742991
55,ATPHYD,3.15,99.95961163708267
56,ATPPRT,0.06037554440540305,0.0631691827517642
57,BETALDHx,-100.0,100.0
58,BETALDHy,-100.0,100.0
59,BPNT,0.1563451555953876,0.16357940625483983
60,BSORx,-100.0,100.0
61,BSORy,-100.0,100.0
62,C120SN,0.02817525405579424,0.029478951950887122
63,C140SN,-99.99073034141563,100.0
64,C141SN,0.009086519433017415,0.009506962004135033
65,C160SN,-99.93457706008219,100.0
66,C161SN,0.012721127206223315,0.01330974680578656
67,C181SN,0.0908651943301777,0.09506962004132902
68,CAT,0.0,23.493171433101086
69,CHORM,0.20594769036166483,0.2154771011630885
70,CHORS,0.27571498611812595,0.2884726012329032
71,CITL,0.0,99.91473253618904
72,CLPNSEC,0.004326914015713532,0.004527124763877732
73,CS,-20.11753542959451,100.0
74,CTPS2,0.0,99.0418951191152
75,CYSTL,0.09794254981322581,0.10247445201950711
76,DAAD,-100.0,100.00000000000001
77,DADA,-0.01733643138547336,98.16010229775907
78,DAGKEC,0.0,100.0
79,DAPDC,0.21869363862511193,0.22881281752165705
80,DAPE,0.23720880557510782,0.24818470023346606
81,DB4PS,1.3416787645650896e-05,1.40375961672733e-05
82,DDPA,0.2757149861179613,0.2884726012329031
83,DHAD1,0.5568362668180667,0.5826016518413195
84,DHAD2,0.18515166951083017,0.1937188271042345
85,DHAPT,-100.0,100.0
86,DHDPRy,0.23720880557510782,0.24818470023346606
87,DHDPS,0.23720880557510782,0.24818470023346606
88,DHFR,0.05011170185650608,0.05243042168394191
89,DHFS,0.033541969114125436,0.03509399041762806
90,DHNPA2,0.03354196911412723,0.03509399041762812
91,DHORD2,0.0,47.17149711454777
92,DHORD5,-46.69823289141144,0.5765682096594418
93,DHORTS,-0.5765682096594418,-0.47326568741770814
94,DHPPDA2,6.708393822825448e-06,7.018798083747672e-06
95,DHPS2,0.033541969114125436,0.035093990417628174
96,DHQD,0.27571498611801815,0.288472601233344
97,DHQS,0.27571498611801815,0.288472601233344
98,DKGLCNR1,-100.0,100.0
99,DKGLCNR2x,-100.0,100.0
100,DKGLCNR2y,-100.0,100.0
101,DKMPPD,0.0,0.004913158658467936
102,DKMPPD2,0.0,0.004913158658467936
103,DMPPS,0.0,1.4210854715202004e-13
104,DMSOR1,0.0,-0.0
105,DMSOR2,0.0,-0.0
106,DNMPPA,0.033541969114125436,0.03509399041762812
107,DNTPPA,0.03354196911412723,0.03509399041762812
108,DPCOAK,-4.141090869280717e-05,4.141090869280717e-05
109,DPR,-4.141090869280717e-05,4.141090869280717e-05
110,DURIK1,-99.76446829288193,100.0
111,DURIPP,-100.0,99.76446829288065
112,EDTXS1,0.0056350508111679964,0.005895790390214831
113,EDTXS2,0.0056350508111679964,0.005895790390159861
114,ENO,0.0,100.0
115,F6PA,-100.0,100.0
116,FAO1,-100.0,99.99073034141561
117,FAO2,-100.0,99.93457706008229
118,FBP,0.0,99.95187318593752
119,FMNAT,-7.018798083747271e-06,7.018798083747271e-06
120,FRD2,-100.0,100.0
121,FRD3,-100.0,100.0
122,FRUK,0.0,-0.0
123,FTHFD,0.0,100.0
124,fum,-92.75497643718955,100.0
125,G1PACT,0.04830043552417518,0.05053534620143729
126,G1PP,-91.43501576180233,91.06344965783427
127,G3PD2,-100.0,100.0
128,G3PD5,0.0,47.17150363908666
129,G3PD6,-100.0,100.0
130,G3PD7,-100.0,100.0
131,G5SD,-91.4874751876106,91.0569560837803
132,G6PDA,-0.05053534620138578,93.13439410529135
133,G6PDH2r,0.0,100.0
134,GALU,-6.061145154614707,99.91638445154156
135,GARFT,-94.48371940980202,99.60949832026347
136,GART,-99.26122337757957,100.0
137,GCALDD,0.033541969114125436,0.035093990417628174
138,GF6PTA,0.0,91.32744598923452
139,GK1,0.16972907211130916,100.0
140,GLCP,-0.1080894912292294,24.89669073512809
141,GLCS1,0.0,25.0
142,GLGC,0.0,99.91750297274837
143,GLNS,0.9581040214656156,100.0
144,GLU5K,-92.43065867615985,92.04572024105045
145,GLUDy,-100.0,100.0
146,GLUN,0.0,93.45738528147362
147,GLUPRT,0.3301260975756719,0.34540141248513123
148,GLUR,-0.019371882710487398,-0.01851516695101907
149,GLUSy,0.0,91.06498850491394
150,GLXCL,0.0,90.9873344659595
151,GLYATi,-93.1154719550519,97.11301509088347
152,GLYCDx,-100.0,100.0
153,GLYCK,0.0,92.87443242975776
154,GLYCL,-99.73814692106166,94.19563754522639
155,GLYCLTDx,-100.0,100.0
156,GLYCLTDy,-100.0,100.0
157,GLYCTO2,0.0,47.171497995953764
158,GLYCTO3,-100.0,100.0
159,GLYCTO4,-100.0,100.0
160,GLYK,-100.0,100.0
161,GMHEPAT,0.01690515243350399,0.017687371170480137
162,GMHEPK,0.01690515243350399,0.017687371170480137
163,GMHEPPA,0.01690515243350399,0.017687371170480137
164,GMPR,-100.0,99.8132316075787
165,GNK,0.0,9.531228098868617
166,GSNK,-100.0,99.9306854449759
167,GSPMDA,0.0,100.0
168,GSPMDS,0.0,100.0
169,GTPCI,0.033541969114125436,0.03509399041762812
170,GTPCII2,6.708393822825448e-06,7.018798083735511e-06
171,GUAD,-100.0,100.0
172,GUAPRT,-100.0,100.0
173,HEX1,0.0,100.0
174,histd,0.060375544405687265,0.06316918275139471
175,HISTP,0.060375544405687265,0.06316918275139471
176,HPPK2,0.033541969114125436,0.035093990417628174
177,HPYRI,-100.0,100.0
178,HPYRRx,-100.0,100.0
179,HPYRRy,-100.0,100.0
180,HSST,0.09794254981322581,0.10247445201950711
181,HSTPT,0.060375544405346204,0.06316918275182104
182,HXPRT,-100.0,100.0
183,HYPOE,0.0,100.0
184,IDOND,-100.0,100.0
185,IDOND2,-100.0,100.0
186,IG3PS,0.06037554440540305,0.0631691827517642
187,IGPDH,0.06037554440540305,0.0631691827517642
188,IGPS,0.036225326643261724,0.03790150965103836
189,ILETA,-0.1935480038143643,-0.18515166951083017
190,IMPC,-0.4085705533603061,-0.3905016419811034
191,IMPD,-99.81323160757873,100.0
192,INSK,-100.0,100.0
193,IPDDIi,0.0,-0.0
194,IPDPS,0.0,-0.0
195,IPMD,0.2871192556169291,0.3004045579748862
196,IPPMIa,-0.3004045579748862,-0.2871192556169291
197,IPPMIb,-0.3004045579748862,-0.2871192556169291
198,IPPS,0.2871192556169291,0.3004045579748862
199,KARA1i,0.5568362668180667,0.5826016518413195
200,KARA2i,0.1851516695099349,0.19371882710534294
201,KAS14,-100.0,100.0
202,KAS15,-99.99900000000001,100.0
203,KAS16,0.022540203244671986,0.023583161560640775
204,KDOCT2,0.028175254055617494,0.029478952072524003
205,KDOPP,0.028175254055617494,0.029478952072524003
206,KDOPS,0.028175254055617494,0.029478952072524003
207,LDHD2,0.0,47.17149654820856
208,LEUTAi,0.2871192556182649,0.3004045579732093
209,L-LACD2,0.0,47.17150021102847
210,L-LACD3,-47.17150355388362,-0.0
211,LPADSS,0.0056350508111679964,0.005895790390159861
212,LPLIPA1,-100.0,100.0
213,LPLIPA2,-99.99962114665118,100.0
214,LPLIPA3,-100.00000000000001,100.0
215,LPLIPA4,-99.99965011460353,99.99957596216325
216,LPLIPA5,-99.99958320662616,99.99950000364004
217,LPLIPA6,-100.0,100.0
218,LPSSYNEC,0.0056350508111679964,0.0058913155018114425
219,MACPD,-100.0,100.0
220,MDH,-100.0,100.0
221,MDH2,0.0,47.17149734108053
222,MDH3,-100.0,100.0
223,MDRPD,0.004695875675977845,0.004913158658467864
224,ME1,-100.0,100.0
225,ME2,-100.0,100.0
226,METAT,0.004695875675977845,0.004913158658467864
227,METS,0.09794254981322581,0.10247445201950711
228,MLTG2,-98.96141093784703,91.29120444896495
229,MLTG3,-91.50859311489948,92.7820714248644
230,MLTG4,-99.53509420129234,91.02408936313343
231,MLTG5,-98.802405361789,92.16633626874147
232,MLTP1,-93.99446089866628,93.82132096881793
233,MLTP2,-91.1065512731048,91.0319853581928
234,MLTP3,-93.10799050059,95.30505505914107
235,MMCD,-93.93301741988448,100.0
236,MME,-99.2776367989617,97.74618880013537
237,MMM2,-99.3111871860306,100.0
238,MOAT,0.0056350508111679964,0.005895790390159861
239,MOAT2,0.0056350508111679964,0.005895790390159861
240,MOHMT,3.9579523554705254e-05,4.141090897746835e-05
241,MTAN,0.004695875675977845,0.004913158658467864
242,MTHFC,-99.27937226044322,99.96092137679545
243,MTHFR2,0.1314845189272802,0.1375684433826542
244,MTRI,0.004695875675977845,0.004913158658467864
245,MTRK,0.004695875675977845,0.004913158658467864
246,NADH10,-100.0,100.0
247,NADH5,0.0,47.17149978293192
248,NADH9,-100.0,100.0
249,NADK,0.0,100.0
250,NADPPPS,-0.00037203580092182165,99.99964441737188
251,NDPK1,-100.0,100.0
252,NDPK2,-100.0,100.0
253,NDPK5,-100.0,100.0
254,NDPK6,-93.95797688862784,90.91463246723868
255,NMNN,-0.0019161713792925639,100.0
256,NNDPR,0.0018313915136315047,0.0019161318768038949
257,NTD1,-100.0,100.0
258,NTD10,-100.0,100.0
259,NTD11,-98.16010233551454,100.0
260,NTD4,0.0,100.0
261,NTD5,0.0,100.0
262,NTD6,-0.017336431266315344,100.0
263,NTD7,-11.860205842694668,100.0
264,NTD8,-0.01782774713215929,99.81323160757907
265,NTD9,-100.0,100.0
266,NTPTP1,-100.0,99.98296067969002
267,NTPTP2,-100.0,100.0
268,OBTFL,-96.0158901917383,99.27763672345037
269,OMCDC,0.2871192556182649,0.3004045579732093
270,OMPDC,0.21138148935723677,0.22116232761190702
271,ORPT,-0.2211623276118928,-0.21138148935722256
272,P5CR,-99.85912372972007,100.0
273,PANTS,3.957952355471139e-05,4.141090869280717e-05
274,PAPAEC,-0.011791580780325717,99.98872989837787
275,PAPPT3,0.018515166951051487,0.01937188271045409
276,PAPSR,0.1563451555954062,0.16357940625483983
277,PDH,-100.0,100.0
278,PDXPP,0.0,90.91593954451848
279,PEPTEC,0.011270101622335993,0.011791580780319721
280,PFK,0.0,100.0
281,PFL,-100.0,100.0
282,PGAMT,-0.05053534647926685,-0.04830043552417518
283,PGI,-91.32948970021555,11.722335869513486
284,PGL,0.0,100.0
285,PGM,-100.0,-0.0
286,PGMT,-93.04892178088485,5.647908095130802
287,PHETA1,-0.12353084626937161,-0.11806773128225956
288,PMDPHT,6.708393822825448e-06,7.018798083525624e-06
289,PNTK,3.957952355469897e-05,4.141090869280717e-05
290,POX,0.0,43.72603285517195
291,PPC,-100.0,100.0
292,PPCDC,3.957952355471139e-05,4.141090869280717e-05
293,PPCK,2.220446049250313e-14,100.0
294,PPM,-92.27363045306325,92.41062021049396
295,PPNCL2,3.9579523554698966e-05,4.141090869280717e-05
296,PPND,0.08787995907940527,0.09194625489368491
297,PPNDH,0.11806773128225956,0.12353084626937161
298,PPTGS,0.018515166951051487,0.01937188271045409
299,PRAGSr,0.3301260975756719,0.34540137060858456
300,PRAIi,0.036225326643261724,0.03790150965103836
301,PRAIS,0.3301260975756861,0.3454013706085135
302,PRAMPC,0.06037554440540305,0.0631691827517642
303,PRASCS,0.3301260975756861,0.34540137060857035
304,PRATPP,0.06037554440540305,0.0631691827517642
305,PRFGS,0.3301260975756577,0.3454013706085135
306,PRMICIi,0.06037554440540305,0.0631691827517642
307,PROD2,-100.0,99.85912372972007
308,PRPPS,-91.98068782673585,91.91539111684821
309,PSCVT,0.2757149861181259,0.28847260123290314
310,PTPATi,3.9579523554674964e-05,4.141090869280717e-05
311,PUNP1,-100.0,100.0
312,PUNP2,-90.8480680539168,98.93858439618595
313,PUNP3,-100.0,100.0
314,PUNP4,-100.0,99.98296068902175
315,PUNP5,-100.0,100.0
316,PUNP6,-0.017324445487361118,98.09796018777939
317,PUNP7,-100.0,100.0
318,PYAM5PO,6.83481049534862e-16,46.986343715500325
319,PYDAMK,0.0,100.0
320,PYDXK,0.0,100.0
321,PYDXNK,0.0,100.0
322,PYDXPP,0.0,100.0
323,PYK,-100.0,100.0
324,PYNP2r,-100.0,100.0
325,QULNS,0.001831391513631729,0.001916131876802881
326,RBFK,6.708393822825448e-06,7.018798083525223e-06
327,RBFSa,1.3416787645650896e-05,1.40375961672733e-05
