,met,lb,ub
0,2dhglcn_c,0.0001,1.0
1,nadh_c,0.0001,2.83314013008588
2,glcn_c,0.0001,0.7510094609224821
3,nad_c,0.0001,21.680209268635856
4,nadph_c,0.0001,2.81973586946604
5,nadp_c,0.0001,0.06950785924102033
6,2dhguln_c,0.0001,1.0
7,idon-L_c,0.0001,1.0
8,o2_c,0.1,0.3
9,h2o_c,1000.0,1000.0
10,pi_c,20.0,25.0
11,5dglcn_c,0.0001,1.0
12,ru5p-D_c,0.25292589900484286,0.4342234967378932
13,ara5p_c,0.0001,1.0
14,ACP_c,0.0001,1.0
15,atp_c,1.0739092842584388,1.548858862398621
16,ttdca_c,0.0001,1.0
17,amp_c,0.0001,2.0997531815128596
18,myrsACP_c,0.0001,1.0
19,ppi_c,0.0001,1.0
20,ttdcea_c,0.0001,1.0
21,tdeACP_c,0.0001,1.0
22,hdca_c,0.0001,1.0
23,palmACP_c,0.0001,1.0
24,hdcea_c,0.0001,1.0
25,hdeACP_c,0.0001,1.0
26,ocdcea_c,0.0001,1.0
27,octeACP_c,0.0001,1.0
28,dtdp_c,0.7920570976154994,1.6723844264994925
29,g6p_c,0.8331641916238633,1.1413781466564308
30,4abut_c,0.0001,1.0
31,akg_c,0.2233207481051652,0.3034508979928929
32,glu-L_c,14.483295560995986,19.19626245645281
33,sucsal_c,0.0001,1.0
34,4abutn_c,0.0001,1.0
35,accoa_c,0.0001,3.0197434338457088
36,ac_c,0.0001,1.0
37,coa_c,0.0001,94.45831618726834
38,acald_c,0.0001,1.0
39,gtp_c,0.8181857847443271,1.5193640729881528
40,co2tot_c,0.2,0.4
41,adp_c,0.5804872270140014,0.7666542358275789
42,malcoa_c,0.0001,6.25490577465901
43,ppa_c,0.0001,1.0
44,ppcoa_c,0.00858556644041988,0.027807102002743042
45,uacgam_c,1.9891701059352007,48.07363043748245
46,udcpp_c,0.0001,1.0
47,ump_c,0.0001,1.0
48,acglu_c,0.0001,1.0
49,acg5p_c,0.0001,1.0
50,2obut_c,0.0001,1.0
51,pyr_c,0.0001,16.540937373872378
52,2ahbut_c,0.0001,1.0
53,actp_c,0.0001,4.9183975755305696
54,alac-S_c,0.0001,1.0
55,udp_c,2.4224834769649446,10.133264217369707
56,acACP_c,0.0001,1.0
57,acorn_c,0.0001,2.6437204883816423
58,orn_c,0.0001,0.23316039947858885
59,amet_c,0.0001,5.425505086089708
60,cit_c,0.0001,58.45368293756951
61,icit_c,0.452789987669252,0.5604891102588883
62,acg5sa_c,0.0001,1.0
63,pap_c,0.0001,1.0
64,adn_c,0.00020709858744249337,0.0006919119473422751
65,ins_c,0.0001,1.0
66,nh3_c,0.05,1.0
67,4adcho_c,0.0001,1.0
68,4abz_c,0.0001,1.0
69,chor_c,0.0001,1.0
70,gln-L_c,1.654744489613344,2.035418883995996
71,ade_c,0.002956854832177801,0.09141525331664888
72,hxan_c,0.0001,1.0
73,gdp_c,0.19177065392972636,0.9177632504334258
74,ametam_c,0.0001,1.0
75,gmp_c,0.01956585726149336,0.03027616829436364
76,prpp_c,0.0001,1.0
77,aps_c,0.01156617111060714,0.03321019014989525
78,paps_c,0.0001,1.0
79,dcamp_c,0.0001,1.0
80,fum_c,0.3669563385392486,0.5519264085196675
81,25aics_c,0.0001,1.0
82,aicar_c,0.0001,1.0
83,asp-L_c,0.9039711646320857,1.0396074177473245
84,imp_c,0.36417295909872843,3.623692481031491
85,gam6p_c,0.0001,5.405067300319661
86,adphep-DD_c,0.0001,1.0
87,adphep-LD_c,0.0001,1.0
88,ptrc_c,0.0001,1.0
89,hcys-L_c,0.8668690873452989,1.4843648755912653
90,10fthf_c,0.0001,1.0
91,fprica_c,0.0001,1.0
92,thf_c,0.0001,1.0
93,air_c,0.0001,1.0
94,5caiz_c,0.0001,1.0
95,5aizc_c,0.0001,1.0
96,ala-D_c,0.0001,1.0
97,alaala_c,0.0001,1.0
98,ala-L_c,0.0001,11.043674674399016
99,pydx5p_c,0.0001,1.0
100,pyam5p_c,0.0001,1.0
101,glyc_c,0.0001,1.0
102,malt_c,0.0001,1.0
103,malttr_c,0.0001,1.0
104,glc-D_c,0.0001,1.0
105,maltttr_c,0.0001,1.0
106,maltpt_c,0.0001,1.0
107,malthx_c,0.0001,1.0
108,malthp_c,0.0001,1.0
109,2dmmq8_c,0.0001,1.0
110,mqn8_c,0.0001,1.0
111,for_c,0.0001,1.0
112,r5p_c,0.1656664705292036,0.21990673024629642
113,anth_c,0.0011908847344743643,0.014329068932374352
114,pran_c,0.0001,1.0
115,5apru_c,0.0001,1.0
116,5aprbu_c,0.0001,1.0
117,arab-L_c,0.0001,1.0
118,arg-L_c,0.0001,48.512102021072494
119,argsuc_c,0.0001,1.0
120,citr-L_c,0.47569956151805637,5.8385018439923115
121,aspsa_c,0.0001,1.0
122,4pasp_c,0.0001,1.0
123,asn-L_c,0.22880172479817787,0.2990276735146682
124,ala-B_c,0.0001,1.0
125,cbp_c,0.0001,1.0
126,cbasp_c,0.0001,3.505080259562841
127,q8_c,0.0001,1.0
128,iasp_c,0.0001,1.0
129,q8h2_c,0.0001,1.0
130,mql8_c,0.0001,1.0
131,succ_c,0.5153572358713815,0.7403862959467267
132,h2o2_c,0.0001,1.0
133,oaa_c,0.0001,1.0
134,succoa_c,0.0001,10.005830987914186
135,sucarg_c,0.0001,1.0
136,prbatp_c,0.0001,1.0
137,betald_c,0.0001,1.0
138,glyb_c,0.0001,1.0
139,btnso_c,0.0001,1.0
140,btn_c,0.0001,1.0
141,cys-L_c,0.0001,1.0
142,actACP_c,0.0001,1.0
143,malACP_c,0.0001,1.0
144,ddcaACP_c,0.0001,1.0
145,cdpdag1_c,0.0001,1.0
146,cmp_c,0.25293577480075163,2.4284209364673104
147,paEC_c,0.0001,1.0
148,pphn_c,0.0001,1.0
149,3psme_c,0.0001,1.0
150,pgEC_c,0.0001,1.0
151,clpnEC_c,0.0001,1.0
152,csn_c,0.016565512011598522,0.08401505195846563
153,ura_c,0.0001,1.0
154,utp_c,2.3163362417798075,34.99142800060476
155,ctp_c,0.0001,12.785329461759433
156,so3_c,0.0001,1.0
157,acser_c,0.0001,1.0
158,h2s_c,0.0001,1.0
159,cyst-L_c,0.0001,1.0
160,cytd_c,0.0008193694113263792,0.01913841112929005
161,uri_c,0.0001,1.0
162,cdp_c,0.0001,1.0
163,dcmp_c,0.0001,1.0
164,dcdp_c,0.0001,1.0
165,fad_c,0.0001,1.543896995050693
166,fadh2_c,0.0001,1.0
167,dad-2_c,0.0035981004584332275,0.01632801363150392
168,din_c,0.0001,1.0
169,damp_c,0.0001,0.0809275730172358
170,dadp_c,0.0001,1.0
171,12dgrEC_c,0.0001,1.0
172,26dap-M_c,0.0001,1.0
173,lys-L_c,0.0001,2.2170958472402766
174,26dap-LL_c,0.0001,1.0
175,db4p_c,0.0001,1.0
176,dctp_c,0.058543350693319514,0.17555088595326032
177,dutp_c,0.0001,1.0
178,dcyt_c,0.0001,1.0
179,duri_c,0.0001,1.0
180,2ddg6p_c,0.0001,0.05702705893004537
181,e4p_c,0.012362503741650776,0.10785233540287933
182,pep_c,0.0345047819818368,0.0625005842265068
183,2dda7p_c,0.0001,1.0
184,g3p_c,0.0001,1.0
185,dgmp_c,0.08870564496533404,0.25352952075098817
186,dgdp_c,0.0001,1.0
187,23dhmb_c,0.0001,1.0
188,3mob_c,0.0001,1.0
189,23dhmp_c,0.0001,1.0
190,3mop_c,0.0001,1.0
191,dha_c,0.0001,1.0
192,dhap_c,0.8210887873458464,1.0352038098127136
193,23dhdp_c,0.0001,1.0
194,thdp_c,0.0001,1.0
195,dhf_c,0.0001,1.0
196,dhpt_c,0.0001,1.0
197,dhnpt_c,0.0001,1.0
198,6hmhpt_c,0.0001,1.0
199,gcald_c,0.0001,1.0
200,dhor-S_c,0.002839802059131176,0.048489252602648004
201,orot_c,0.0001,1.0
202,25drapp_c,0.0001,1.0
203,6hmhptpp_c,0.0001,1.0
204,3dhq_c,0.0001,1.0
205,3dhsk_c,0.0001,1.0
206,25dkglcn_c,0.0001,1.0
207,dkmpp_c,0.0001,1.0
208,2kmb_c,0.0001,1.0
209,dmpp_c,0.0001,1.0
210,ipdp_c,0.0001,1.0
211,h2mb4p_c,0.0001,1.0
212,dmso_c,0.0001,1.0
213,dms_c,0.0001,1.0
214,2dmmql8_c,0.0001,1.0
215,dhpmp_c,0.0001,1.0
216,ahdt_c,0.0001,1.0
217,dpcoa_c,0.0001,1.0
218,2dhp_c,0.0001,1.0
219,pant-R_c,0.0001,1.0
220,2dr5p_c,0.0001,1.0
221,dtmp_c,0.0001,1.0
222,dump_c,0.0001,1.0
223,2dr1p_c,0.0001,1.0
