,0
2DGLCNRx,Other
2DGLCNRy,Other
2DGULRx,Alternate Carbon Metabolism
2DGULRy,Alternate Carbon Metabolism
3HCINNMH,Alternate Carbon Metabolism
3HPPPNH,Alternate Carbon Metabolism
4HTHRS,Other
5DGLCNR,Alternate Carbon Metabolism
A5PISO,Alternate Carbon Metabolism
AACPS1,Cell Envelope Biosynthesis
AACPS2,Cell Envelope Biosynthesis
AACPS3,Cell Envelope Biosynthesis
AACPS4,Cell Envelope Biosynthesis
AACPS5,Cell Envelope Biosynthesis
AADDGT,Cell Envelope Biosynthesis
AB6PGH,Alternate Carbon Metabolism
ABTA,Arginine and Proline Metabolism
ABUTD,Arginine and Proline Metabolism
ACACCT,Alternate Carbon Metabolism
ACACT1r,Membrane Lipid Metabolism
ACALDi,Other
ACBIPGT,Cofactor and Prosthetic Group Biosynthesis
ACCOACr,Other
ACCOAL,Alternate Carbon Metabolism
ACGAMT,Cell Envelope Biosynthesis
ACGK,Arginine and Proline Metabolism
ACGS,Arginine and Proline Metabolism
ACHBS,"Valine, Leucine, and Isoleucine Metabolism"
ACKr,Pyruvate Metabolism
ACLS,"Valine, Leucine, and Isoleucine Metabolism"
ACMAMUT,Cell Envelope Biosynthesis
ACNML,Alternate Carbon Metabolism
ACOATA,Membrane Lipid Metabolism
ACODA,Arginine and Proline Metabolism
ACONMT,Unassigned
ACONT,Other
ACOTA,Arginine and Proline Metabolism
ACPS1,Cofactor and Prosthetic Group Biosynthesis
ACS,Pyruvate Metabolism
ADA,Nucleotide Salvage Pathway
ADCL,Cofactor and Prosthetic Group Biosynthesis
ADCS,Cofactor and Prosthetic Group Biosynthesis
ADD,Nucleotide Salvage Pathway
ADHEr,Other
ADK1,Nucleotide Salvage Pathway
ADK3,Nucleotide Salvage Pathway
ADK4,Nucleotide Salvage Pathway
ADMDCr,Other
ADNCYC,Nucleotide Salvage Pathway
ADNK1,Nucleotide Salvage Pathway
ADOCBIK,Cofactor and Prosthetic Group Biosynthesis
ADOCBLS,Cofactor and Prosthetic Group Biosynthesis
ADPT,Nucleotide Salvage Pathway
ADSK,Cysteine Metabolism
ADSL1r,Purine and Pyrimidine Biosynthesis
ADSL2r,Purine and Pyrimidine Biosynthesis
ADSS,Purine and Pyrimidine Biosynthesis
AGDC,Alternate Carbon Metabolism
AGMHE,Lipopolysaccharide Biosynthesis / Recycling
AGMT,Arginine and Proline Metabolism
AGPR,Arginine and Proline Metabolism
AHC,Other
AHCYSNS,Methionine Metabolism
AICART,Purine and Pyrimidine Biosynthesis
AIRC2,Purine and Pyrimidine Biosynthesis
AIRC3,Purine and Pyrimidine Biosynthesis
ALAALAr,Cell Envelope Biosynthesis
ALAR,Alanine and Aspartate Metabolism
ALATAD2,Other
ALATAL,Other
ALATAL2,Other
ALCD19,Alternate Carbon Metabolism
ALDD19x,Other
ALDD2x,Other
ALLTAH,Other
alltn,Other
ALTRH,Alternate Carbon Metabolism
AMALT1,Alternate Carbon Metabolism
AMALT2,Alternate Carbon Metabolism
AMALT3,Alternate Carbon Metabolism
AMALT4,Alternate Carbon Metabolism
AMANAPE,Other
AMANK,Alternate Carbon Metabolism
AMAOTr,Cofactor and Prosthetic Group Biosynthesis
AMMQT82,Other
AMPMS,Other
AMPN,Nucleotide Salvage Pathway
ANPRT,"Tyrosine, Tryptophan, and Phenylalanine Metabolism"
ANS,"Tyrosine, Tryptophan, and Phenylalanine Metabolism"
AOXSr,Other
AP4AH,Nucleotide Salvage Pathway
AP5AH,Nucleotide Salvage Pathway
APRAUR,Cofactor and Prosthetic Group Biosynthesis
ARAI,Alternate Carbon Metabolism
ARGDC,Arginine and Proline Metabolism
ARGSL,Arginine and Proline Metabolism
ARGSS,Arginine and Proline Metabolism
ASAD,Threonine and Lysine Metabolism
ASNN,Alanine and Aspartate Metabolism
ASNS1,Alanine and Aspartate Metabolism
ASNS2,Alanine and Aspartate Metabolism
