,rxn,lb,ub,width_metabolome,width_no_metabolome,source
0,2DGLCNRx,-100.0,100.0,200.0,200.0,metabolome
1,2DGLCNRy,-100.0,100.0,200.0,200.0,metabolome
2,2DGULRx,-100.0,100.0,200.0,200.0,metabolome
3,2DGULRy,-100.0,100.0,200.0,200.0,metabolome
4,A5PISO,0.0112827771185306,0.0139481681865951,0.0026653910680645015,0.0026653912324747005,metabolome
5,AACPS1,-99.99774344457626,99.99987499839486,199.99761844297112,199.99774344457654,metabolome
6,AACPS2,-10.0,9.996361304379146,19.996361304379146,19.995501715759904,metabolome
7,AACPS3,-99.98078381874149,100.0,199.9807838187415,200.0,metabolome
8,AACPS4,-14.0,13.994905826130807,27.994905826130807,27.993702402063867,metabolome
9,AACPS5,-100.0,99.96361304379148,199.9636130437915,199.95501715759906,metabolome
10,ABTA,-0.0138418032775007,100.0,200.0,100.0138418032775,no_metabolome
11,ABUTD,-100.0,99.98871722288108,199.98871722288106,199.98605183181365,metabolome
12,ACALDi,-100.0,100.0,200.0,200.0,metabolome
13,ACCOACr,-97.0446043577428,99.09998386743658,200.0,196.14458822517938,no_metabolome
14,ACCOAL,-100.0,100.0,200.0,200.0,metabolome
15,ACGK,0.0,100.0,200.0,100.0,no_metabolome
16,ACGS,0.0,99.02040141055608,200.0,99.02040141055608,no_metabolome
17,ACHBS,0.0741439639230563,0.0916593909398599,0.0175154270168036,0.017515427016803697,metabolome
18,ACKr,-100.0,100.0,200.0,200.0,metabolome
19,ACLS,0.2229850164857537,0.2756619651597136,0.05267694867395989,0.05267694867410769,metabolome
20,ACOATA,-100.0,100.0,200.0,199.9990000000002,metabolome
21,ACODA,-100.0,100.0,200.0,200.0,metabolome
22,ACONT,-100.0,100.0,200.0,200.0,metabolome
23,ACOTA,-99.15364428740102,0.0,200.0,99.15364428740102,no_metabolome
24,ACS,0.0,100.0,100.0,100.0,metabolome
25,ADA,0.0,99.9233851759345,200.0,99.9233851759345,no_metabolome
26,ADCL,0.0134318775223058,0.0166049621267713,0.0031730846044655,0.0031730846044682997,metabolome
27,ADCS,0.0134318775223079,0.0166049621267713,0.003173084604463399,0.0031730846044742984,metabolome
28,ADD,0.0,99.32797192456135,200.0,99.32797192456135,no_metabolome
29,ADK1,-100.0,100.0,200.0,200.0,metabolome
30,ADK3,-100.0,100.0,200.0,200.0,metabolome
31,ADMDCr,0.0018804628531228,0.0023246946977479,0.0004442318446250999,0.0004442318446250999,metabolome
32,ADNK1,-100.0,100.0,200.0,200.0,metabolome
33,ADPT,-100.0,100.0,200.0,199.74373614864595,metabolome
34,ADSK,0.0626083988694217,0.077398717366064,0.014790318496642307,0.014790319409512101,metabolome
35,ADSL1r,0.0749496229487221,100.0,200.0,99.92505037705128,no_metabolome
36,ADSL2r,0.1321989563124807,0.1634290261448806,0.031230069832399926,0.031230069832447693,metabolome
37,ADSS,0.0749496230562272,99.34481524545666,200.0,99.26986562240043,no_metabolome
38,AGMHE,0.0067696662712575,0.008368900911909,0.0015992346406515003,0.0015992346406515003,metabolome
39,AGPR,-100.0,100.0,200.0,200.0,metabolome
40,AICART,0.1563763358526415,0.1933179579730571,0.0369416221204156,0.036941625692676894,metabolome
41,AIRC2,0.1321989563123367,0.1634290261448836,0.03123006983254692,0.031230069832488994,metabolome
42,AIRC3,-0.1634290261448683,-0.1321989563125072,0.031230069832361096,0.03123006983248902,metabolome
43,ALAALAr,0.0074143963924009,0.0091659390939506,0.0017515427015497003,0.0017515427830970993,metabolome
44,ALAR,-99.98517120721536,100.0,199.98517120721536,199.98517120721567,metabolome
45,ALATAD2,-100.0,99.9851712072154,199.9851712072154,199.9851712072154,metabolome
46,ALATAL,-100.0,99.84666168620537,199.84666168620538,199.8466616862051,metabolome
47,ALATAL2,-99.98517120721571,100.0,199.98517120721573,199.98517120721556,metabolome
48,ALDD2x,0.0,99.30357529605644,200.0,99.30357529605644,no_metabolome
49,AMALT1,-100.0,100.0,200.0,200.0,metabolome
50,AMALT2,-100.0,100.0,200.0,200.0,metabolome
51,AMALT3,-100.0,100.0,200.0,200.0,metabolome
52,AMALT4,-100.0,100.0,200.0,200.0,metabolome
53,AMPN,-100.0,100.0,200.0,200.0,metabolome
54,ANPRT,0.0145064277240903,0.0179333590969181,0.003426931372827801,0.003426931372832299,metabolome
55,ANS,0.0145064277240862,0.017933359096913,0.003426931372826802,0.0034269315843357007,metabolome
56,APRAUR,2.686375504461174e-06,3.3209924253542664e-06,6.346169208930923e-07,6.6419848507218305e-06,metabolome
57,ARGSL,-99.9245128483234,100.0,199.9245128483234,199.90668011284845,metabolome
58,ARGSS,-99.9245128483234,100.0,199.9245128483234,199.90668011284845,metabolome
59,ASAD,-100.0,99.86578867979487,199.8657886797949,199.83408321843092,metabolome
60,ASNN,-100.0,100.0,200.0,200.0,metabolome
61,ASNS1,-100.0,100.0,200.0,199.93848200094772,metabolome
62,ASNS2,-100.0,100.0,200.0,199.8727836195531,metabolome
63,ASP1DC,-1.9593855309613103e-05,1.9593855309613103e-05,3.9187710619226206e-05,3.7442398332841224e-06,metabolome
64,ASPCT,0.1247604182243549,0.2460105448020471,0.1212501265776922,0.12125012657773479,metabolome
65,ASPK,-99.86578867979487,100.0,199.8657886797949,199.83408321843092,metabolome
66,ASPO3,-100.0,100.0,200.0,200.0,metabolome
67,ASPO4,-100.0,100.0,200.0,200.0,metabolome
68,ASPO5,-100.0,100.0,200.0,200.0,metabolome
69,ASPO6,-60.36168243010289,60.04156590527751,200.0,120.4032483353804,no_metabolome
70,ASPT,0.0,99.32797192456344,99.32797192456344,199.18908631097992,metabolome
71,ASPTA,-100.0,-0.6653926977036662,99.33460730229633,199.13582614746565,metabolome
72,AST,-100.0,99.9245128483234,199.9245128483234,199.90668011284845,metabolome
73,ATPHYD,3.15,100.0,96.85,96.85,metabolome
74,ATPPRT,0.0241773795401204,0.0298889318283424,0.005711552288222,0.0057115522882327,metabolome
75,BETALDHx,-100.0,100.0,200.0,200.0,metabolome
76,BETALDHy,-100.0,100.0,200.0,200.0,metabolome
77,BPNT,0.062608398869427,0.077398717366064,0.014790318496637006,0.014790318496683788,metabolome
78,BSORx,-100.0,100.0,200.0,200.0,metabolome
79,BSORy,-100.0,100.0,200.0,199.99950000000004,metabolome
80,C120SN,0.0112827771186931,0.0139481681865951,0.0026653910679020013,0.0026653910679020013,metabolome
81,C140SN,-99.99628796632794,100.0,199.99628796632794,199.99628796632794,metabolome
82,C141SN,0.0036386956207934,0.0044982842401406,0.0008595886193471999,0.0008595886193526001,metabolome
