,rxn,lb,ub
0,2DGLCNRx,-100.0,100.0
1,2DGLCNRy,-100.0,100.0
2,2DGULRx,-100.0,100.0
3,2DGULRy,-100.0,100.0
4,A5PISO,-100.0,100.0
5,AACPS1,-100.0,100.0
6,AACPS3,-100.0,100.0
7,ABTA,-100.0,100.0
8,ACCOACr,-100.0,100.0
9,ACGK,-100.0,100.0
10,ACGS,-100.0,100.0
11,ACHBS,-100.0,100.0
12,ACKr,-100.0,100.0
13,ACLS,-100.0,100.0
14,ACOATA,-100.0,100.0
15,ACODA,-100.0,100.0
16,ACOTA,-100.0,100.0
17,ACS,-100.0,100.0
18,ADA,-100.0,100.0
19,ADCL,-100.0,100.0
20,ADCS,-100.0,100.0
21,ADD,-100.0,100.0
22,ADK1,-100.0,100.0
23,ADK3,-100.0,100.0
24,ADMDCr,-100.0,100.0
25,ADNK1,-100.0,100.0
26,ADPT,-100.0,100.0
27,ADSK,-100.0,100.0
28,ADSL1r,-100.0,100.0
29,ADSL2r,-100.0,100.0
30,ADSS,-100.0,100.0
31,AGMHE,-100.0,100.0
32,AGPR,-100.0,100.0
33,AICART,-100.0,100.0
34,AIRC2,-100.0,100.0
35,AIRC3,-100.0,100.0
36,ALAALAr,-100.0,100.0
37,ALAR,-100.0,100.0
38,ALATAD2,-100.0,100.0
39,ALATAL,-100.0,100.0
40,ALATAL2,-100.0,100.0
41,ALDD2x,-100.0,100.0
42,AMALT1,-100.0,100.0
43,AMALT2,-100.0,100.0
44,AMALT3,-100.0,100.0
45,AMALT4,-100.0,100.0
46,ANPRT,-100.0,100.0
47,ANS,-100.0,100.0
48,APRAUR,-100.0,100.0
49,ASNS1,-100.0,100.0
50,ASNS2,-100.0,100.0
51,ASP1DC,-100.0,100.0
52,ASPCT,-100.0,100.0
53,ASPO4,-100.0,100.0
54,ASPO5,-100.0,100.0
55,ASPO6,-100.0,100.0
56,ASPT,-100.0,100.0
57,ASPTA,-100.0,100.0
58,ATPHYD,3.15,100.0
59,ATPPRT,-100.0,100.0
60,BETALDHx,-100.0,100.0
61,BETALDHy,-100.0,100.0
62,BPNT,-100.0,100.0
63,BSORx,-100.0,100.0
64,BSORy,-100.0,100.0
65,C120SN,-100.0,100.0
66,C140SN,-100.0,100.0
67,C141SN,-100.0,100.0
68,C160SN,-100.0,100.0
69,C161SN,-100.0,100.0
70,C181SN,-100.0,100.0
71,CAT,-100.0,100.0
72,CBPS,-100.0,100.0
73,CHORM,-100.0,100.0
74,CHORS,-100.0,100.0
75,CITL,-100.0,100.0
76,CLPNSEC,-100.0,100.0
77,CMPN,-100.0,100.0
78,CTPS2,-100.0,100.0
79,CYSTL,-100.0,100.0
80,cytd,-100.0,100.0
81,CYTDK2,-100.0,100.0
82,DAAD,-100.0,100.0
83,DADA,-100.0,100.0
84,DAGKEC,-100.0,100.0
85,DAPDC,-100.0,100.0
86,DAPE,-100.0,100.0
87,DB4PS,-100.0,100.0
88,DCTPD,-100.0,100.0
89,DDPA,-100.0,100.0
90,DHAD1,-100.0,100.0
91,DHAD2,-100.0,100.0
92,DHAPT,-100.0,100.0
93,DHDPRy,-100.0,100.0
94,DHDPS,-100.0,100.0
95,DHFR,-100.0,100.0
96,DHFS,-100.0,100.0
97,DHNPA2,-100.0,100.0
98,DHORD2,-100.0,100.0
99,DHORD5,-100.0,100.0
100,DHORTS,-100.0,100.0
101,DHPPDA2,-100.0,100.0
102,DHPS2,-100.0,100.0
103,DHQD,-100.0,100.0
104,DHQS,-100.0,100.0
105,DKGLCNR1,-100.0,100.0
106,DKGLCNR2x,-100.0,100.0
107,DKGLCNR2y,-100.0,100.0
108,DKMPPD,-100.0,100.0
109,DKMPPD2,-100.0,100.0
110,DMPPS,-100.0,100.0
111,DMSOR1,-100.0,100.0
112,DMSOR2,-100.0,100.0
113,DNMPPA,-100.0,100.0
114,DNTPPA,-100.0,100.0
115,DPCOAK,-100.0,100.0
116,DPR,-100.0,100.0
117,DURIPP,-100.0,100.0
118,EDA,-100.0,100.0
119,EDD,-100.0,100.0
120,EDTXS1,-100.0,100.0
121,EDTXS2,-100.0,100.0
122,ETHAAL,-100.0,100.0
123,F6PA,-100.0,100.0
124,FAO1,-100.0,100.0
125,FAO2,-100.0,100.0
126,FBA,-100.0,100.0
127,FBP,-100.0,100.0
128,FMNAT,-100.0,100.0
129,FRD2,-100.0,100.0
130,FRD3,-100.0,100.0
131,FRUK,-100.0,100.0
132,FTHFD,-100.0,100.0
133,fum,-100.0,100.0
134,G1PACT,-100.0,100.0
135,G1PP,-100.0,100.0
136,G3PD2,-100.0,100.0
137,G3PD5,-100.0,100.0
138,G3PD6,-100.0,100.0
139,G3PD7,-100.0,100.0
140,G5SD,-100.0,100.0
141,G6PDA,-100.0,100.0
142,GALU,-100.0,100.0
143,GARFT,-100.0,100.0
144,GART,-100.0,100.0
145,GCALDD,-100.0,100.0
146,GF6PTA,-100.0,100.0
147,GK1,-100.0,100.0
148,GLCP,-100.0,100.0
149,GLCS1,-100.0,100.0
150,GLGC,-100.0,100.0
151,GLNS,-100.0,100.0
152,GLU5K,-100.0,100.0
153,GLUDy,-100.0,100.0
154,GLUN,-100.0,100.0
155,GLUPRT,-100.0,100.0
156,GLUR,-100.0,100.0
157,GLUSy,-100.0,100.0
158,GLXCL,-100.0,100.0
159,GLYATi,-100.0,100.0
160,GLYCDx,-100.0,100.0
161,GLYCK,-100.0,100.0
162,GLYCL,-100.0,100.0
163,GLYCLTDx,-100.0,100.0
164,GLYCLTDy,-100.0,100.0
165,GLYCTO2,-100.0,100.0
166,GLYCTO3,-100.0,100.0
167,GLYCTO4,-100.0,100.0
168,GLYK,-100.0,100.0
169,GMHEPAT,-100.0,100.0
170,GMHEPK,-100.0,100.0
171,GMHEPPA,-100.0,100.0
172,GMPR,-100.0,100.0
173,GMPS2,-100.0,100.0
174,GND,-100.0,100.0
175,GNK,-100.0,100.0
176,GPDDA2,-100.0,100.0
177,GPDDA4,-100.0,100.0
178,GSNK,-100.0,100.0
179,GSPMDA,-100.0,100.0
180,GSPMDS,-100.0,100.0
181,GTPCI,-100.0,100.0
182,GTPCII2,-100.0,100.0
183,GUAD,-100.0,100.0
184,GUAPRT,-100.0,100.0
185,HEX1,-100.0,100.0
186,histd,-100.0,100.0
187,HISTP,-100.0,100.0
188,HPPK2,-100.0,100.0
189,HPYRI,-100.0,100.0
190,HPYRRx,-100.0,100.0
191,HPYRRy,-100.0,100.0
192,HSST,-100.0,100.0
193,HSTPT,-100.0,100.0
194,HXPRT,-100.0,100.0
195,HYPOE,-100.0,100.0
196,ICDHyr,-100.0,100.0
197,ICL,-100.0,100.0
198,IDOND,-100.0,100.0
199,IDOND2,-100.0,100.0
200,IG3PS,-100.0,100.0
201,IGPDH,-100.0,100.0
202,IGPS,-100.0,100.0
203,ILETA,-100.0,100.0
204,IMPC,-100.0,100.0
205,IMPD,-100.0,100.0
206,INSK,-100.0,100.0
207,IPDDIi,-100.0,100.0
208,IPDPS,-100.0,100.0
209,IPMD,-100.0,100.0
210,IPPMIa,-100.0,100.0
211,IPPMIb,-100.0,100.0
212,IPPS,-100.0,100.0
213,KARA1i,-100.0,100.0
214,KARA2i,-100.0,100.0
215,KAS14,-100.0,100.0
216,KAS15,-100.0,100.0
217,KAS16,-100.0,100.0
218,KDOCT2,-100.0,100.0
219,KDOPP,-100.0,100.0
220,KDOPS,-100.0,100.0
221,LDHD2,-100.0,100.0
222,LEUTAi,-100.0,100.0
223,L-LACD2,-100.0,100.0
224,L-LACD3,-100.0,100.0
225,LPADSS,-100.0,100.0
226,LPLIPA1,-100.0,100.0
227,LPLIPA2,-100.0,100.0
228,LPLIPA4,-100.0,100.0
229,LPLIPA5,-100.0,100.0
230,LPLIPA6,-100.0,100.0
231,LPSSYNEC,-100.0,100.0
232,MACPD,-100.0,100.0
233,MALS,-100.0,100.0
234,MCITD,-100.0,100.0
235,MCITL2,-100.0,100.0
236,MCITS,-100.0,100.0
237,MCOATA,-100.0,100.0
238,MDH,-100.0,100.0
239,MDH2,-100.0,100.0
240,MDH3,-100.0,100.0
241,MDRPD,-100.0,100.0
242,ME1,-100.0,100.0
243,ME2,-100.0,100.0
244,METAT,-100.0,100.0
245,METS,-100.0,100.0
246,MICITD,-100.0,100.0
247,MLTG2,-100.0,100.0
248,MLTG3,-100.0,100.0
249,MLTG4,-100.0,100.0
250,MLTG5,-100.0,100.0
251,MLTP1,-100.0,100.0
252,MLTP2,-100.0,100.0
253,MLTP3,-100.0,100.0
254,MMCD,-100.0,100.0
255,MME,-100.0,100.0
256,MMM2,-100.0,100.0
257,MOAT,-100.0,100.0
258,MOAT2,-100.0,100.0
259,MOHMT,-100.0,100.0
260,MTAN,-100.0,100.0
261,MTHFC,-100.0,100.0
262,MTHFD,-100.0,100.0
263,MTHFR2,-100.0,100.0
264,MTRI,-100.0,100.0
265,MTRK,-100.0,100.0
266,NADH10,-100.0,100.0
267,NADH5,-100.0,100.0
268,NADH9,-100.0,100.0
269,NADK,-100.0,100.0
270,NADPPPS,-100.0,100.0
271,NAMNPP,-100.0,100.0
272,NDPK1,-100.0,100.0
273,NDPK2,-100.0,100.0
274,NDPK5,-100.0,100.0
275,NDPK6,-100.0,100.0
276,NDPK7,-100.0,100.0
277,NMNN,-100.0,100.0
278,NNDPR,-100.0,100.0
279,NTD1,-100.0,100.0
280,NTD10,-100.0,100.0
281,NTD11,-100.0,100.0
282,NTD2,-100.0,100.0
283,NTD4,-100.0,100.0
284,NTD5,-100.0,100.0
285,NTD6,-100.0,100.0
286,NTD8,-100.0,100.0
287,NTD9,-100.0,100.0
288,NTPTP1,-100.0,100.0
289,NTPTP2,-100.0,100.0
290,OBTFL,-100.0,100.0
291,OMCDC,-100.0,100.0
292,OMPDC,-100.0,100.0
293,ORPT,-100.0,100.0
294,P5CR,-100.0,100.0
295,PANTS,-100.0,100.0
296,PAPAEC,-100.0,100.0
297,PAPPT3,-100.0,100.0
298,PAPSR,-100.0,100.0
299,PDH,-100.0,100.0
300,PDXPP,-100.0,100.0
301,PEPTEC,-100.0,100.0
302,PFK,-100.0,100.0
303,PFL,-100.0,100.0
304,PGAMT,-100.0,100.0
305,PGMT,-100.0,100.0
306,PGPPEC,-100.0,100.0
307,PGSAEC,-100.0,100.0
308,PHETA1,-100.0,100.0
309,PLIPA1,-100.0,100.0
310,PMDPHT,-100.0,100.0
311,PNTK,-100.0,100.0
312,ppa,-100.0,100.0
313,PPC,-100.0,100.0
314,PPCDC,-100.0,100.0
315,PPCK,-100.0,100.0
316,PPM,-100.0,100.0
317,PPNCL2,-100.0,100.0
318,PPND,-100.0,100.0
319,PPNDH,-100.0,100.0
320,PPS,-100.0,100.0
321,PPTGS,-100.0,100.0
322,PRAGSr,-100.0,100.0
323,PRAIi,-100.0,100.0
324,PRAIS,-100.0,100.0
325,PRAMPC,-100.0,100.0
326,PRASCS,-100.0,100.0
327,PRATPP,-100.0,100.0
328,PRFGS,-100.0,100.0
329,PRMICIi,-100.0,100.0
330,PROD2,-100.0,100.0
331,PRPPS,-100.0,100.0
332,PSCVT,-100.0,100.0
333,PSDEC,-100.0,100.0
334,PSSAEC,-100.0,100.0
335,PTAr,-100.0,100.0
336,PTPATi,-100.0,100.0
337,PUNP1,-100.0,100.0
338,PUNP2,-100.0,100.0
339,PUNP4,-100.0,100.0
340,PUNP5,-100.0,100.0
341,PUNP6,-100.0,100.0
342,PUNP7,-100.0,100.0
343,PYAM5PO,-100.0,100.0
344,PYDAMK,-100.0,100.0
345,PYDXK,-100.0,100.0
346,PYDXNK,-100.0,100.0
347,PYDXPP,-100.0,100.0
348,PYK,-100.0,100.0
349,PYNP2r,-100.0,100.0
350,QULNS,-100.0,100.0
351,RBFK,-100.0,100.0
352,RBFSa,-100.0,100.0
353,RBFSb,-100.0,100.0
354,RNDR1,-100.0,100.0
355,RNDR2,-100.0,100.0
356,RNDR4,-100.0,100.0
357,RNTR1,-100.0,100.0
358,RNTR2,-100.0,100.0
359,S7PI,-100.0,100.0
360,SADT2,-100.0,100.0
361,SDPDS,-100.0,100.0
362,SDPTA,-100.0,100.0
363,SERDL,-100.0,100.0
364,SHK3Dr,-100.0,100.0
365,SHKK,-100.0,100.0
366,SHSL1,-100.0,100.0
367,SPMS,-100.0,100.0
368,SSALx,-100.0,100.0
369,SSALy,-100.0,100.0
370,SUCD,-100.0,100.0
371,SUCOAS,-100.0,100.0
372,SULR,-100.0,100.0
373,TDSK,-100.0,100.0
374,TESTAKGDH,-100.0,100.0
375,TESTNADTRHD,-100.0,100.0
376,THDPS,-100.0,100.0
377,THRD,-100.0,100.0
378,THRDL,-100.0,100.0
379,TMAOR1,-100.0,100.0
380,TMAOR2,-100.0,100.0
381,TMDK1,-100.0,100.0
382,TMDS,-100.0,100.0
383,TRE6PH,-100.0,100.0
384,TRE6PP,-100.0,100.0
385,TRE6PS,-100.0,100.0
386,TREH,-100.0,100.0
387,TREHe,-100.0,100.0
388,TRPAS2,-100.0,100.0
389,TRPS1,-100.0,100.0
390,TRPS2,-100.0,100.0
391,TRPS3,-100.0,100.0
392,TRSAR,-100.0,100.0
393,TYRTA,-100.0,100.0
394,U23GAAT,-100.0,100.0
395,UAAGDS,-100.0,100.0
396,UAGAAT,-100.0,100.0
397,UAGCVT,-100.0,100.0
398,UAGDP,-100.0,100.0
399,UAGPT3,-100.0,100.0
400,UAMAGS,-100.0,100.0
401,UAMAS,-100.0,100.0
402,UAPGR,-100.0,100.0
403,UDCPDP,-100.0,100.0
404,UGMDDS,-100.0,100.0
405,UHGADA,-100.0,100.0
406,UMPK,-100.0,100.0
407,UNK3,-100.0,100.0
408,UPPRT,-100.0,100.0
409,URIDK2r,-100.0,100.0
410,URIK2,-100.0,100.0
411,USHD,-100.0,100.0
412,VALTA,-100.0,100.0
413,VPAMT,-100.0,100.0
414,XPPT,-100.0,100.0
415,biomass,-100.0,100.0
416,EX_ac,8.826068397839,12.84593332748
417,EX_h2o,-100.0,100.0
418,EX_nh3,-100.0,100.0
419,EX_pi,-100.0,100.0
420,EX_so4,-100.0,100.0
421,ACt2r,-100.0,100.0
422,ARGabc,-100.0,100.0
423,ARGORNt7,-100.0,100.0
424,ATPS4r,-100.0,100.0
425,Cex,-100.0,100.0
426,CHLabc,-100.0,100.0
427,CHLt2r,-100.0,100.0
428,CYTBD,-100.0,100.0
429,DMSOR1e,-100.0,100.0
430,DMSOR2e,-100.0,100.0
431,FDH2,-100.0,100.0
432,FDH3,-100.0,100.0
433,FRUpts,-100.0,100.0
434,FRUpts2,-100.0,100.0
