,rxn,lb,ub,width_metabolome,width_no_metabolome,source
0,2DGLCNRx,-100.0,100.0,200.0,200.0,metabolome
1,2DGLCNRy,-100.0,100.0,200.0,200.0,metabolome
2,2DGULRx,-100.0,100.0,200.0,200.0,metabolome
3,2DGULRy,-100.0,100.0,200.0,200.0,metabolome
4,A5PISO,0.0281752540556174,0.0294789519508729,0.0013036978952555012,0.0013036978952555012,metabolome
5,AACPS1,-99.99436494918882,100.0,199.99436494918882,199.99073034141566,metabolome
6,AACPS2,-10.0,9.990493037995918,19.99049303799592,19.990913480566938,metabolome
7,AACPS3,-100.0,100.0,200.0,199.93457706008263,metabolome
8,AACPS4,-14.0,13.986690253194288,27.98669025319429,27.987278872793716,metabolome
9,AACPS5,-100.0,99.90493037995918,199.90493037995918,199.9091348056694,metabolome
10,ABTA,-0.0294789519508071,99.3170608535056,200.0,99.3465398054564,no_metabolome
11,ABUTD,-100.0,99.97052104804936,199.97052104804936,199.971824745944,metabolome
12,ACALDi,-100.0,100.0,200.0,200.0,metabolome
13,ACCOACr,-91.88836946219683,100.0,200.0,191.88836946219683,no_metabolome
14,ACCOAL,-100.0,100.0,200.0,200.0,metabolome
15,ACGK,0.0,91.03359248599904,91.03359248599904,100.0,metabolome
16,ACGS,0.0,93.12600376038236,93.12600376038236,100.0,metabolome
17,ACHBS,0.1851516695099349,0.1937188271053429,0.00856715759540802,0.008567157595567088,metabolome
18,ACKr,-100.0,100.0,200.0,199.9801770454643,metabolome
19,ACLS,0.5568362668180667,0.5826016518413195,0.025765385023252763,0.025765385023652887,metabolome
20,ACOATA,-100.0,100.0,200.0,200.0,metabolome
21,ACODA,0.0,91.01866963697826,91.01866963697826,100.0,metabolome
22,ACONT,-18.70273794424752,91.0773077758658,109.78004572011332,200.0,metabolome
23,ACOTA,-100.0,0.0,200.0,100.0,no_metabolome
24,ACS,-12.83466322585832,90.97266835379652,103.80733157965484,112.83002872816208,metabolome
25,ADA,0.0,98.16010233551494,98.16010233551494,99.79626671268484,metabolome
26,ADCL,0.0335419691141272,0.0350939904176281,0.0015520213035008987,0.0015520213035249975,metabolome
27,ADCS,0.0335419691141254,0.0350939904176281,0.0015520213035026958,0.0015520214965726933,metabolome
28,ADD,0.0,98.16010627263177,98.16010627263177,99.79626673598524,metabolome
29,ADK1,-100.0,100.0,200.0,200.0,metabolome
30,ADK3,-100.0,100.0,200.0,200.0,metabolome
31,ADMDCr,0.0046958756759778,0.0049131586584678,0.00021728298249,0.00021728298249,metabolome
32,ADNK1,-100.0,100.0,200.0,199.48741023203382,metabolome
33,ADPT,-100.0,100.0,200.0,200.0,metabolome
34,ADSK,0.1563451555953875,0.1635794062548398,0.007234250659452296,0.007234250659554103,metabolome
35,ADSL1r,0.1871635545729475,98.36383554752832,98.17667199295538,99.81283644542722,metabolome
36,ADSL2r,0.3301260975756861,0.3454013706086414,0.015275273032955283,0.01527527303314008,metabolome
37,ADSS,0.2037332873152877,91.67303045648757,91.46929716917228,99.81283644542724,metabolome
38,AGMHE,0.0169051524335039,0.0176873711704801,0.0007822187369762,0.0007822187369762,metabolome
39,AGPR,-92.87287362469576,0.0,92.87287362469576,100.0,metabolome
40,AICART,0.3905016419811034,0.4085705533602635,0.018068911379160113,0.018068911379458485,metabolome
41,AIRC2,0.3301261353311844,0.3454014124851028,0.01527527715391841,0.015275273033168446,metabolome
42,AIRC3,-0.3454013706084708,-0.3301260975757856,0.015275273032685222,0.015275273033097392,metabolome
43,ALAALAr,0.0185151669510514,0.0193718827104873,0.0008567157594359005,0.0008567157594359005,metabolome
44,ALAR,-99.962969666098,100.0,199.962969666098,199.9629696660984,metabolome
45,ALATAD2,-100.0,99.9629696660984,199.9629696660984,199.96296966609822,metabolome
46,ALATAL,-100.0,99.61708488059332,199.61708488059332,199.6170848805935,metabolome
47,ALATAL2,-99.962969666098,100.0,199.962969666098,199.9629696660984,metabolome
48,ALDD2x,0.0,92.01300226760304,92.01300226760304,100.0,metabolome
49,AMALT1,-91.27151431849798,91.7138899282005,182.98540424669847,200.0,metabolome
50,AMALT2,-91.5181111186358,91.28909778436196,182.80720890299776,200.0,metabolome
51,AMALT3,-91.1350124924669,91.056563681878,182.1915761743449,200.0,metabolome
52,AMALT4,-94.04713142209653,97.68881124007072,191.73594266216725,200.0,metabolome
53,AMPN,-100.0,100.0,200.0,200.0,metabolome
54,ANPRT,0.0362253266432574,0.0379015096510383,0.0016761830077808987,0.0016761832162986018,metabolome
55,ANS,0.0362253266432574,0.0379015096510383,0.0016761830077808987,0.0016761830078070028,metabolome
56,APRAUR,6.708393822825448e-06,7.018798083525624e-06,3.104042607001763e-07,3.1040426070499677e-07,metabolome
57,ARGSL,-99.80277177385406,100.0,199.80277177385406,199.8114941335777,metabolome
58,ARGSS,-99.80277177385406,100.0,199.80277177385406,199.8114941335777,metabolome
59,ASAD,-100.0,99.64934084774907,199.64934084774907,199.66484864461006,metabolome
60,ASNN,-100.0,100.0,200.0,200.0,metabolome
61,ASNS1,0.0,90.92009857426548,90.92009857426548,199.84637778145776,metabolome
62,ASNS2,-100.0,100.0,200.0,199.84637778145776,metabolome
63,ASP1DC,-4.141090869280717e-05,4.141090869280717e-05,8.282181738561434e-05,1.831385138206798e-06,metabolome
64,ASPCT,0.4732656874177223,0.5765682096594702,0.10330252224174791,0.10330252224184733,metabolome
65,ASPK,-99.64934084774907,100.0,199.64934084774907,199.66484864461006,metabolome
66,ASPO3,-46.98451222616771,47.1714979074373,94.15601013360501,200.0,metabolome
67,ASPO4,-100.0,100.0,200.0,200.0,metabolome
68,ASPO5,-100.0,100.0,200.0,200.0,metabolome
69,ASPO6,0.0,46.98634286617857,46.98634286617857,93.61795570528352,metabolome
70,ASPT,0.0,98.16010226000256,98.16010226000256,197.34609727291667,metabolome
71,ASPTA,-100.0,-1.823327931742991,98.176672068257,198.1766720305032,metabolome
72,AST,-100.0,99.80277177385406,199.80277177385406,199.8114941335777,metabolome
73,ATPHYD,3.15,99.95961163708267,96.80961163708267,96.85,metabolome
74,ATPPRT,0.060375544405403,0.0631691827517642,0.0027936383463611977,0.002793638346452,metabolome
75,BETALDHx,-100.0,100.0,200.0,200.0,metabolome
76,BETALDHy,-100.0,100.0,200.0,200.0,metabolome
77,BPNT,0.1563451555953876,0.1635794062548398,0.007234250659452185,0.007234250659563707,metabolome
78,BSORx,-100.0,100.0,200.0,200.0,metabolome
79,BSORy,-100.0,100.0,200.0,200.0,metabolome
