,0
0,-8.3371
1,-8.3371
2,-8.3371
3,-8.3371
4,-8.3371
5,-8.3371
6,-8.3371
7,-8.3371
8,-8.3371
9,-8.3371
10,-8.3371
11,-8.3371
12,-9.279923744984725
13,-8.3371
14,-8.3371
15,-6.7110972783966885
16,-8.3371
17,-8.3371
18,-8.3371
19,-8.3371
20,-8.3371
21,-8.3371
22,-8.3371
23,-8.3371
24,-8.3371
25,-8.3371
26,-8.3371
27,-8.3371
28,-8.3371
29,-7.268275555493182
30,-8.3371
31,-8.388924632969673
32,-4.274273307688052
33,-8.3371
34,-8.3371
35,-8.3371
36,-8.3371
37,-8.3371
38,-8.3371
39,-7.267126690288785
40,-8.3371
41,-7.401705836771515
42,-8.3371
43,-8.3371
44,-8.3371
45,-8.3371
46,-8.3371
47,-8.3371
48,-8.3371
49,-8.3371
50,-8.3371
51,-8.3371
52,-8.3371
53,-8.3371
54,-8.3371
55,-8.3371
56,-8.3371
57,-8.3371
58,-8.3371
59,-8.3371
60,-8.3371
61,-6.175202486394796
62,-8.3371
63,-8.3371
64,-8.3371
65,-8.3371
66,-8.3371
67,-8.3371
68,-8.3371
69,-8.3371
70,-6.2140493828366195
71,-8.3371
72,-8.3371
73,-7.891785332489598
74,-8.3371
75,-10.791282809614849
76,-8.3371
77,-8.3371
78,-8.3371
79,-8.3371
80,-7.486758227291114
81,-8.3371
82,-8.3371
83,-6.478952860251032
84,-6.475366713419822
85,-8.3371
86,-8.3371
87,-8.3371
88,-8.3371
89,-8.3371
90,-8.3371
91,-8.3371
92,-8.3371
93,-8.3371
94,-8.3371
95,-8.3371
96,-8.3371
97,-8.3371
98,-8.3371
99,-8.3371
100,-8.3371
101,-8.3371
102,-8.3371
103,-8.3371
104,-8.3371
105,-8.3371
106,-8.3371
107,-8.3371
108,-8.3371
109,-8.3371
110,-8.3371
111,-8.3371
112,-9.806641710869496
113,-8.3371
114,-8.3371
115,-8.3371
116,-8.3371
117,-8.3371
118,-8.3371
119,-8.3371
120,-8.3371
121,-8.3371
122,-8.3371
123,-8.404077522924247
124,-8.3371
125,-8.3371
126,-8.3371
127,-8.3371
128,-8.3371
129,-8.3371
130,-8.3371
131,-7.278400732772671
132,-8.3371
133,-8.3371
134,-8.3371
135,-8.3371
136,-8.3371
137,-8.3371
138,-8.3371
139,-8.3371
140,-8.3371
141,-8.3371
142,-8.3371
143,-8.3371
144,-8.3371
145,-8.3371
146,-8.3371
147,-8.3371
148,-8.3371
149,-8.3371
150,-8.3371
151,-8.3371
152,-8.3371
153,-8.3371
154,-8.3371
155,-8.3371
156,-8.3371
157,-8.3371
158,-8.3371
159,-8.3371
160,-8.3371
161,-8.3371
162,-8.3371
163,-8.3371
164,-8.3371
165,-8.3371
166,-8.3371
167,-8.3371
168,-8.3371
169,-8.3371
170,-8.3371
171,-8.3371
172,-8.3371
173,-8.3371
