,rxn
0,2DGLCNRy
1,A5PISO
2,AACPS4
3,AACPS5
4,ACGK
5,ACHBS
6,ACKr
7,ACLS
8,ACOTA
9,ADCL
10,ADCS
11,ADMDCr
12,ADSK
13,ADSL1r
14,ADSL2r
15,AGMHE
16,AGPR
17,AICART
18,AIRC2
19,AIRC3
20,ALAALAr
21,AMALT1
22,ANPRT
23,ANS
24,APRAUR
25,ARGSL
26,ARGSS
27,ASP1DC
28,ASPK
29,AST
30,ATPPRT
31,BETALDHx
32,BPNT
33,BSORy
34,C120SN
35,C141SN
36,C161SN
37,CHORM
38,CHORS
39,CLPNSEC
40,CMPN
41,CYSTL
42,DAPDC
43,DAPE
44,DB4PS
45,DDPA
46,DHAD1
47,DHAD2
48,DHDPRy
49,DHDPS
50,DHFR
51,DHFS
52,DHNPA2
53,DHORTS
54,DHPPDA2
55,DHPS2
56,DHQD
57,DHQS
58,DNMPPA
59,DNTPPA
60,DPCOAK
61,DPR
62,DRPA
63,EDA
64,EDTXS1
65,EDTXS2
66,ENO
67,ETHAAL
68,FMNAT
69,G1PACT
70,G6PDH2r
71,GCALDD
72,GLGC
73,GLU5K
74,GLUPRT
75,GLUR
76,GLYCK
77,GLYOX
78,GMHEPAT
79,GMHEPK
80,GMHEPPA
81,GPDDA2
82,GPDDA4
83,GSPMDA
84,GTPCI
85,GTPCII2
86,histd
87,HISTP
88,HPPK2
89,HSST
90,HSTPT
91,HYPOE
92,IG3PS
93,IGPDH
94,IGPS
95,ILETA
96,IMPC
97,IPMD
98,IPPMIa
99,IPPMIb
100,IPPS
101,KARA1i
102,KARA2i
103,KAS16
104,KDOCT2
105,KDOPP
106,KDOPS
107,LEUTAi
108,LGTHL
109,L-LACD3
110,LPADSS
111,LPLIPA5
112,LPSSYNEC
113,MCITD
114,MCITL2
115,MCOATA
116,MDRPD
117,METAT
118,METS
119,MICITD
120,MME
121,MMM2
122,MOAT
123,MOAT2
124,MOHMT
125,MTAN
126,MTHFD
127,MTHFR2
128,MTRI
129,MTRK
130,NDPK4
131,NNAM
132,NNAT
133,NNDPR
134,NTD3
135,NTD5
136,NTPTP2
137,OMCDC
138,OMPDC
139,ORPT
140,PANTS
141,PAPPT3
142,PAPSR
143,PEPTEC
144,PGAMT
145,PGCD
146,PGK
147,PGPPEC
148,PHETA1
149,PMDPHT
150,PNTK
151,PPCDC
152,PPNCL2
153,PPND
154,PPNDH
155,PPTGS
156,PRAGSr
157,PRAIi
158,PRAIS
159,PRAMPC
160,PRASCS
161,PRATPP
162,PRFGS
163,PRMICIi
164,PSCVT
165,PSPL
166,PTA2
167,PTPATi
168,PTRCTA
169,PUNP6
170,PUNP7
171,PYDXNK
172,PYDXPP
173,QULNS
174,RBFK
175,RBFSa
176,RBFSb
177,S7PI
178,SADT2
179,SDPDS
180,SDPTA
181,SERAT
182,SGDS
183,SGSAD
184,SHK3Dr
185,SHKK
186,SHSL1
187,SOTA
188,SPMS
189,SULR
190,TDSK
191,THDPS
192,THRD
193,THRS
194,TMDS
195,TRE6PP
196,TYRTA
197,U23GAAT
198,UAAGDS
199,UAGAAT
200,UAGCVT
201,UAGDP
202,UAGPT3
203,UAMAGS
204,UAMAS
205,UAPGR
206,UDCPDP
207,UGMDDS
208,UHGADA
209,UNK3
210,USHD
211,ABUTt2
212,ALARi
213,ARBt2r
214,ARGORNt7
215,ASNt2r
216,ASPt2
217,CHLt2r
218,FUMt22
219,GALt2
220,GLYBt2r
221,GLYC3Pt6
222,HISt2r
223,ILEt2r
224,Kt2r
225,LEUt2r
226,LYSt2r
227,NMNP
228,NO3R1
229,SERt4
230,SULabc
231,VALt2r
232,XYLt2
