,0
2DGLCNRx,-0.11631233728803636
2DGULRx,-10.60036929784269
2DGULRy,-10.484056960554653
A5PISO,-31594.98504495402
AACPS1,1011.0274208632216
AACPS2,10765.353120709842
AACPS3,1047.9246060482055
ABTA,6.459415746262579
ABUTD,-48.09020865744992
ACALDi,-23.699663707874976
ACCOACr,797.5726469526999
ACCOAL,12.35323547856592
ACGK,-0.38721103158835035
ACKr,5.330485770296264
ACOATA,874.7357527188051
ACODA,-63.96449095473051
ACONT,6.569612279110288
ACS,-10.43393432195353
ADA,-18.20988382353849
ADD,-19.90856465941988
ADK1,0.28223502753371577
ADK3,3.4465475966649137
ADNK1,-17.22406165213124
ADPT,-22.812351710766507
ADSL1r,11.326921411147282
ALAR,-0.040844497005934954
ALATAD2,-1.6877729057936222
ALATAL,0.19283530442459096
ALATAL2,-1.7286174027995571
ALDD2x,-61.34377003022928
AMALT1,-14.399913825949284
AMALT2,2.948587963132013
AMALT3,3.348253266158281
AMALT4,3.3482351585598735
AMPN,-18.46340611370283
ARGSL,-27.5857278686442
ASAD,-48.51503742894619
ASNN,-17.566496869338863
ASNS1,-45.38193197271545
ASNS2,-30.511543774969027
ASPCT,-12.451689421121102
ASPO3,-7.021343196583075
ASPO4,-5.532607096628453
ASPO5,-9.15407957115508
ASPO6,-80.63261579430949
ASPT,12.94049346522496
ASPTA,2.8392070774863214
AST,-100.37089432256425
ATPHYD,-32.31362055205818
BETALDHx,0.11631233728826373
BSORx,-0.11631233728803636
C140SN,-4093.704207992392
C160SN,-4939.724820858144
CAT,-189.76010976932378
CBMK,24.180804387035778
CBPS,-23.003204362768884
CDAPPAEC,-92.3725205226433
CITL,3.5472145953751806
CMPN,-31.623116333294305
CS,-41.1913209177294
CTPS2,-22.692878819067573
CYSS,-57.62228849981315
cytd,-14.036008945292025
CYTDK2,-20.030531369550204
CYTK1,1.7563406414806195
CYTK2,1.3805626999571814
DAAD,20.24559489979299
DADA,-10.252684777318564
DADK,4.711231677153592
DAGKEC,-286.9490616882681
DASYNEC,41.67021628111752
DCTPD,-29.52421201819743
DCYTD,-39.561807299728684
DGK1,5.027646052285718
DHAPT,-39.47813829303959
DHORD2,-49.33533965035093
DHORD5,-47.846603550395855
DKGLCNR1,-16.014726547548094
DKGLCNR2x,-17.087767086090366
DKGLCNR2y,-16.97145474880233
DKMPPD,-536.3188494675328
DKMPPD2,-229.6295873112815
DRPA,-6.7579533354702335
DTMPK,0.5079366750705958
DURIK1,-16.70305469422692
DURIPP,5.475644618927845
DUTPDP,-49.891116219005426
EDA,-26.331004849773535
ENO,0.770157935021416
ETHAAL,-199.23804668091725
F6PA,19.98541775270155
FAO1,107.58853676471881
FAO2,150.23003147436611
FBA,24.30340949903575
FBP,-10.768193240342498
FRD2,-3.6214724745269677
FRD3,-54.006076001363
FTHFD,-30.133375655228292
fum,-3.427050463172236
G1PP,-16.836159769099822
G3PD2,19.921799800176814
G3PD5,-33.47942194896882
G3PD6,-31.990685849013744
G3PD7,18.393917677821946
G5SADs,-59.38115672645725
G5SD,18.687281459416
G6PDA,2.2819162031980795
G6PDH2r,-37.57829365692942
GALU,0.48380552406206334
GAPD,-21.039341153869145
GARFT,-14.744203836977022
GART,-16.924448733806912
GF6PTA,-17.15230440094456
GHMT2,-6.72174056381084
GK1,0.11663105300317511
GLCP,23.65940449828622
GLCS1,-85.5881447571528
GLNS,-17.44323235431162
GLUDC,-29.36143767010185
GLUDy,30.51826327198009
GLUN,-14.870388197746564
