,rxn
0,2DGLCNRy
1,A5PISO
2,AACPS4
3,AACPS5
4,ACGK
5,ACHBS
6,ACKr
7,ACLS
8,ACOTA
9,ADCL
10,ADCS
11,ADMDCr
12,ADSK
13,ADSL1r
14,ADSL2r
15,AGMHE
16,AGPR
17,AICART
18,AIRC2
19,AIRC3
20,ALAALAr
21,AMALT1
22,ANPRT
23,ANS
24,APRAUR
25,ARGSL
26,ARGSS
27,ASP1DC
28,ASPK
29,AST
30,ATPPRT
31,BETALDHx
32,BPNT
33,BSORy
34,C120SN
35,C141SN
36,C161SN
37,CHORM
38,CHORS
39,CLPNSEC
40,CMPN
41,CYSTL
42,DAPDC
43,DAPE
44,DB4PS
45,DDPA
46,DHAD1
47,DHAD2
48,DHDPRy
49,DHDPS
50,DHFR
51,DHFS
52,DHNPA2
53,DHORTS
54,DHPPDA2
55,DHPS2
56,DHQD
57,DHQS
58,DNMPPA
59,DNTPPA
60,DPCOAK
61,DPR
62,DRPA
63,EDA
64,EDTXS1
65,EDTXS2
66,ENO
67,ETHAAL
68,FMNAT
69,G1PACT
70,G6PDH2r
71,GCALDD
72,GLGC
73,GLU5K
74,GLUPRT
75,GLUR
76,GLYCK
77,GLYOX
78,GMHEPAT
79,GMHEPK
80,GMHEPPA
81,GNK
82,GPDDA2
83,GPDDA4
84,GSPMDA
85,GTPCI
86,GTPCII2
87,histd
88,HISTP
89,HPPK2
90,HSST
91,HSTPT
92,HYPOE
93,IG3PS
94,IGPDH
95,IGPS
96,ILETA
97,IMPC
98,IPMD
99,IPPMIa
100,IPPMIb
101,IPPS
102,KARA1i
103,KARA2i
104,KAS16
105,KDOCT2
106,KDOPP
107,KDOPS
108,LEUTAi
109,LGTHL
110,L-LACD3
111,LPADSS
112,LPLIPA5
113,LPSSYNEC
114,MCITD
115,MCITL2
116,MCOATA
117,MDRPD
118,METAT
119,METS
120,MICITD
121,MME
122,MMM2
123,MOAT
124,MOAT2
125,MOHMT
126,MTAN
127,MTHFD
128,MTHFR2
129,MTRI
130,MTRK
131,NDPK4
132,NNAM
133,NNAT
134,NNDPR
135,NTD3
136,NTD5
137,NTPTP2
138,OMCDC
139,OMPDC
140,ORPT
141,PANTS
142,PAPPT3
143,PAPSR
144,PEPTEC
145,PGAMT
146,PGCD
147,PGK
148,PGPPEC
149,PHETA1
150,PMDPHT
151,PNTK
152,PPCDC
153,PPNCL2
154,PPND
155,PPNDH
156,PPTGS
157,PRAGSr
158,PRAIi
159,PRAIS
160,PRAMPC
161,PRASCS
162,PRATPP
163,PRFGS
164,PRMICIi
165,PSCVT
166,PSPL
167,PTA2
168,PTPATi
169,PTRCTA
170,PUNP6
171,PUNP7
172,PYDXNK
173,PYDXPP
174,QULNS
175,RBFK
176,RBFSa
177,RBFSb
178,S7PI
179,SADT2
180,SDPDS
181,SDPTA
182,SERAT
183,SGDS
184,SGSAD
185,SHK3Dr
186,SHKK
187,SHSL1
188,SOTA
189,SPMS
190,SULR
191,TDSK
192,THDPS
193,THRD
194,THRS
195,TMDS
196,TRE6PP
197,TYRTA
198,U23GAAT
199,UAAGDS
200,UAGAAT
201,UAGCVT
202,UAGDP
203,UAGPT3
204,UAMAGS
205,UAMAS
206,UAPGR
207,UDCPDP
208,UGMDDS
209,UHGADA
210,UNK3
211,USHD
212,ABUTt2
213,ALARi
214,ARBt2r
215,ARGORNt7
216,ASNt2r
217,ASPt2
218,CHLt2r
219,FUMt22
220,GALt2
221,GLCNt2r
222,GLYBt2r
223,GLYC3Pt6
224,HISt2r
225,ILEt2r
226,Kt2r
227,LEUt2r
228,LYSt2r
229,NMNP
230,NO3R1
231,SERt4
232,SULabc
233,TREpts
234,VALt2r
235,XYLt2
