,rxn
0,ABTA
1,ABUTD
2,ACCOACr
3,ACGK
4,ACGS
5,ACHBS
6,ACLS
7,ACOATA
8,ACODA
9,ACOTA
10,ADA
11,ADCL
12,ADCS
13,ADD
14,ADK1
15,ADK3
16,ADMDCr
17,ADNK1
18,ADPT
19,ADSK
20,ADSL1r
21,ADSL2r
22,ADSS
23,AGPR
24,AICART
25,AIRC2
26,AIRC3
27,ALAR
28,ALATAD2
29,ALATAL
30,ALATAL2
31,AMPN
32,ANPRT
33,ANS
34,APRAUR
35,ARGSL
36,ARGSS
37,ASAD
38,ASNN
39,ASNS1
40,ASNS2
41,ASP1DC
42,ASPCT
43,ASPK
44,ASPO3
45,ASPO4
46,ASPO5
47,ASPO6
48,ASPT
49,ASPTA
50,AST
51,ATPHYD
52,ATPPRT
53,BETALDHx
54,BETALDHy
55,BPNT
56,BSORx
57,BSORy
58,C120SN
59,C140SN
60,C141SN
61,C160SN
62,C161SN
63,C181SN
64,CAT
65,CBMK
66,CBPS
67,CDAPPAEC
68,CHORM
69,CHORS
70,CLPNSEC
71,CMPN
72,CSND
73,CTPS2
74,CYSS
75,CYSTL
76,cytd
77,CYTDK2
78,CYTK1
79,CYTK2
80,DAAD
81,DADA
82,DADK
83,DAPDC
84,DAPE
85,DASYNEC
86,DB4PS
87,DCTPD
88,DCYTD
89,DDPA
90,DGK1
91,DHAD1
92,DHAD2
93,DHDPRy
94,DHDPS
95,DHFR
96,DHFS
97,DHNPA2
98,DHORD2
99,DHORD5
100,DHORTS
101,DHPPDA2
102,DHPS2
103,DHQD
104,DHQS
105,DKMPPD
106,DKMPPD2
107,DNMPPA
108,DNTPPA
109,DPCOAK
110,DPR
111,DTMPK
112,DURIK1
113,DURIPP
114,DUTPDP
115,FAO1
116,FAO2
117,FMNAT
118,FTHFD
119,G5SADs
120,G5SD
121,GARFT
122,GART
123,GCALDD
124,GHMT2
125,GK1
126,GLNS
127,GLU5K
128,GLUDC
129,GLUDy
130,GLUN
131,GLUPRT
132,GLUSy
133,GLYATi
134,GLYCL
135,GLYOX
136,GMPR
137,GMPS2
138,GSNK
139,GSPMDA
140,GSPMDS
141,GTPCI
142,GTPCII2
143,GUAD
144,GUAPRT
145,histd
146,HISTP
147,HPPK2
148,HSDy
149,HSK
150,HSST
151,HSTPT
152,HXPRT
153,HYPOE
154,IG3PS
155,IGPDH
156,IGPS
157,ILETA
158,IMPC
159,IMPD
160,INSK
161,IPMD
162,IPPMIa
163,IPPMIb
164,IPPS
165,KARA1i
166,KARA2i
167,KAS14
168,KAS15
169,KAS16
170,LEUTAi
171,LGTHL
172,MACPD
173,MCOATA
174,MDRPD
175,METAT
176,METS
177,MGSA
178,MOHMT
179,MTAN
180,MTHFC
181,MTHFD
182,MTHFR2
183,MTRI
184,MTRK
185,NACODA
186,NADDP
187,NADK
188,NADPPPS
189,NADS1
190,NAMNPP
191,NDPK1
192,NDPK2
193,NDPK3
194,NDPK4
195,NDPK5
196,NDPK6
197,NDPK7
198,NDPK8
199,NMNAT
200,NMNDA
201,NMNN
202,NNAM
203,NNAT
204,NNDPR
205,NTD1
206,NTD10
207,NTD11
208,NTD2
209,NTD3
210,NTD4
211,NTD5
212,NTD6
213,NTD7
214,NTD8
215,NTD9
216,NTPP1
217,NTPP2
218,NTPP3
219,NTPP4
220,NTPP5
221,NTPP6
222,NTPP7
223,NTPP8
224,NTPTP1
225,NTPTP2
226,OCBT
227,OMCDC
228,OMPDC
229,ORNDC
230,ORNTA
231,ORPT
232,P5CD
233,P5CR
234,PANTS
235,PAPSR
236,PASYNEC
237,PDXPP
238,PGCD
239,PGPPEC
240,PGSAEC
241,PHETA1
242,PMDPHT
243,PNTK
244,PPCDC
245,PPNCL2
246,PPND
247,PPNDH
248,PRAGSr
249,PRAIi
250,PRAIS
251,PRAMPC
252,PRASCS
253,PRATPP
254,PRFGS
255,PRMICIi
256,PROD2
257,PRPPS
258,PSCVT
259,PSDEC
260,PSERT
261,PSPL
262,PSSAEC
263,PTPATi
264,PTRCTA
265,PUNP1
266,PUNP2
267,PUNP3
268,PUNP4
269,PUNP5
270,PUNP6
271,PUNP7
272,PYAM5PO
273,PYDAMK
274,PYDXK
275,PYDXNK
276,PYDXPP
277,PYNP2r
278,QULNS
279,RBFK
280,RBFSa
281,RBFSb
282,RNDR1
283,RNDR2
284,RNDR3
285,RNDR4
286,RNTR1
287,RNTR2
288,RNTR3
289,RNTR4
290,SADH
291,SADT2
292,SDPDS
293,SDPTA
294,SERAT
295,SERDL
296,SGDS
297,SGSAD
298,SHK3Dr
299,SHKK
300,SHSL1
301,SOTA
302,SPMS
303,SSALx
304,SSALy
305,SULR
306,THDPS
307,THRAr
308,THRD
309,THRDL
310,THRS
311,TMDK1
312,TMDS
313,TRPAS1
314,TRPAS2
315,TRPS1
316,TRPS2
317,TRPS3
318,TYRTA
319,UMPK
320,UNK3
321,UPPRT
322,URIDK2r
323,URIK2
324,VALTA
325,VPAMT
326,XPPT
327,biomass
328,EX_ac
329,EX_co2
330,EX_glc
331,EX_h
332,EX_h2o
333,EX_nh3
334,EX_o2
335,EX_pi
336,EX_so4
337,ALARi
338,biomass_ce
339,biomass_EX
340,OROTex
341,DCTA
342,EX_oro
