cond,rxn,mean,sd
Gerosa1,EX_ac,6.83,1.03
Gerosa1,EX_glc,-9.65,0.04
Gerosa1,biomass_EX,0.65,0.01
Gerosa2,EX_ac,-13.58,0.33
Gerosa2,biomass_EX,0.29,0.1
Gerosa3,EX_ac,3.33,0.33
Gerosa3,EX_fru,-8.33,0.29
Gerosa3,biomass_EX,0.49,0.1
Gerosa4,EX_gal,-1.97,0.1
Gerosa4,biomass_EX,0.18,0.01
Gerosa5,EX_ac,0.6,0.2
Gerosa5,EX_glyc,-10.14,0.15
Gerosa5,biomass_EX,0.49,0.01
Gerosa6,EX_ac,5.0,0.16
Gerosa6,EX_glcn,-7.28,0.03
Gerosa6,biomass_EX,0.59,0.01
Gerosa7,EX_ac,11.91,0.53
Gerosa7,EX_lac-D,1.16,0.07
Gerosa7,EX_pyr,-26.71,0.79
Gerosa7,biomass_EX,0.39,0.01
Gerosa8,EX_ac,3.32,0.31
Gerosa8,EX_fum,1.14,0.07
Gerosa8,EX_succ,-15.9,0.31
Gerosa8,biomass_EX,0.51,0.01
Nanchen1,EX_ac,0.0,0.001
Nanchen1,EX_glc,-1.143,0.0114
Nanchen1,biomass_EX,0.047,0.0019
Nanchen10,EX_ac,0.0,0.001
Nanchen10,EX_glc,-3.047,0.0305
Nanchen10,biomass_EX,0.206,0.0082
Nanchen11,EX_ac,0.0,0.001
Nanchen11,EX_glc,-2.807,0.0281
Nanchen11,biomass_EX,0.188,0.0075
Nanchen12,EX_ac,0.0,0.001
Nanchen12,EX_glc,-3.082,0.0308
Nanchen12,biomass_EX,0.212,0.0085
Nanchen13,EX_ac,0.0,0.001
Nanchen13,EX_glc,-4.222,0.0422
Nanchen13,biomass_EX,0.286,0.0114
Nanchen14,EX_ac,0.0,0.001
Nanchen14,EX_glc,-4.594,0.0459
Nanchen14,biomass_EX,0.315,0.0126
Nanchen15,EX_ac,0.0,0.001
Nanchen15,EX_glc,-4.357,0.0436
Nanchen15,biomass_EX,0.301,0.012
Nanchen16,EX_ac,1.329,0.093
Nanchen16,EX_glc,-5.598,0.056
Nanchen16,biomass_EX,0.405,0.0162
Nanchen17,EX_ac,0.0,0.001
Nanchen17,EX_glc,-5.794,0.0579
Nanchen17,biomass_EX,0.409,0.0164
Nanchen18,EX_ac,0.0,0.001
Nanchen18,EX_glc,-5.579,0.0558
Nanchen18,biomass_EX,0.398,0.0159
Nanchen19,EX_ac,0.58,0.0406
Nanchen19,EX_glc,-6.787,0.0679
Nanchen19,biomass_EX,0.512,0.0205
Nanchen2,EX_ac,0.0,0.001
Nanchen2,EX_glc,-0.893,0.0089
Nanchen2,biomass_EX,0.044,0.0017
Nanchen20,EX_ac,2.506,0.1754
Nanchen20,EX_glc,-7.26,0.0726
Nanchen20,biomass_EX,0.548,0.0219
Nanchen21,EX_ac,3.909,0.2737
Nanchen21,EX_glc,-7.852,0.0785
Nanchen21,biomass_EX,0.587,0.0235
Nanchen22,EX_ac,9.278,0.6494
Nanchen22,EX_glc,-10.237,0.1024
Nanchen22,biomass_EX,0.692,0.0277
Nanchen3,EX_ac,0.0,0.001
Nanchen3,EX_glc,-1.137,0.0114
Nanchen3,biomass_EX,0.058,0.0023
Nanchen4,EX_ac,0.0,0.001
Nanchen4,EX_glc,-1.643,0.0164
Nanchen4,biomass_EX,0.085,0.0034
Nanchen5,EX_ac,0.0,0.001
Nanchen5,EX_glc,-1.674,0.0167
Nanchen5,biomass_EX,0.096,0.0038
Nanchen6,EX_ac,0.0,0.001
Nanchen6,EX_glc,-1.957,0.0196
Nanchen6,biomass_EX,0.114,0.0046
Nanchen7,EX_ac,0.0,0.001
Nanchen7,EX_glc,-0.777,0.0078
Nanchen7,biomass_EX,0.047,0.0019
Nanchen8,EX_ac,0.0,0.001
Nanchen8,EX_glc,-1.699,0.017
