reaction,v,drG,Gdiss,drG0_prime,drG_error,drG_conc,b,condition
2DGLCNRx,0.0,-12.816830623582973,-0.0,-12.03902268043953,0.39687946654487405,-1.1746874096883175,1.0,0
2DGLCNRy,0.0,-18.307335810200655,-0.0,-11.923219473390077,0.6314112342394296,-7.015527571050008,1.0,0
2DGULRx,0.0,-19.584507823444735,-0.0,-17.0218636866025,0.12499517221791834,-2.6876393090601525,1.0,0
2DGULRy,0.0,-25.075016610323082,-0.0,-16.90606047955316,0.3595238095238095,-8.528479470421843,1.0,0
A5PISO,0.013948168180395449,-11.719624694457053,-0.1634672962494026,-2.415808667946976,0.4571751870834859,-9.760991213593563,1.0,0
AACPS1,-0.012496790723368555,70.14182095384945,-0.8765476574162439,916.0593885633325,-811.7366585816317,-34.180909027851385,0.0,0
AACPS2,-0.0009075657912788319,362.4548239990595,-0.3289515991455362,856.935164918918,-470.0603661983041,-24.41997472155441,0.0,0
AACPS3,-0.0038974505052608425,82.3332329214519,-0.32088970024947133,963.4266766910639,-860.6997161280597,-20.393727641552346,0.0,0
AACPS4,-0.0012705921077903646,22.319649111314448,-0.028359170009486363,879.1444512774094,-834.6753288679756,-22.149473298119347,0.0,0
AACPS5,-0.009075657912788318,47.46964243163711,-0.4308182359519194,924.4801090009676,-851.6727917325916,-25.33767483673887,0.0,0
ABTA,0.2940736396702693,-2.392566983907793,-0.7035908811126833,6.4594189782384035,0.19893538850184989,-9.050921350648046,1.0,0
ABUTD,0.05905709550625089,-49.09882533494305,-2.8996340170504626,-60.15762181202871,1.9984344016872129,9.060362075398444,1.0,0
ACALDi,0.0,-14.311565331803898,-0.0,-23.14090812399104,0.39104172867454423,8.438301063512597,1.0,0
ACCOACr,0.0,15.332998301917293,0.0,-15.221902481476263,0.8064426686578763,29.74845811473568,0.0,0
ACCOAL,0.0,37.929176460482864,0.0,12.288214125760987,1.204165172086224,24.436797162635653,0.0,0
ACGK,0.0,-4.624798503884122,-0.0,22.149997571396398,-1.8157394237294788,-24.95905665155104,1.0,0
ACGS,0.0,-21.20722934183893,-0.0,-21.112157304286313,7.362375044539714,-7.4574470820923295,1.0,0
ACHBS,0.09165939089974154,-16.712227960390482,-1.5318326354270215,-16.395891967234604,3.1051524713300616,-3.4214884644859396,1.0,0
ACKr,19.2097400023878,-0.8810189010391003,-16.924144026150543,13.770928678595055,-0.1678952704368566,-14.484052309197299,1.0,0
ACLS,0.27566196503930634,-45.93283450430545,-12.661935419282091,-25.496766772917965,0.4494784127041065,-20.885546144091588,1.0,0
ACOATA,0.8768491642798704,-1.5316232826749,-1.3430025954050777,862.6465967961153,-866.7781428887974,2.5999228100072287,1.0,0
ACODA,0.0,-34.772049672098774,-0.0,-14.446185264472177,-8.049145812721147,-12.27671859490545,1.0,0
ACONT,15.872347041001664,-5.806945925282866,-92.16986097442017,6.534324972343256,0.26838328104451215,-12.609654178670635,1.0,0
ACOTA,0.0,22.88967456859048,0.0,4.611260365802821,-0.6887227258415045,18.967136928629163,0.0,0
ACS,0.04784928063345153,-47.43720496862888,-2.2698361330104846,-10.382905673473715,0.24802112786291985,-37.30232042301809,1.0,0
ADA,0.05703219044131416,-28.97396494929274,-1.652448686828025,-18.164937807786828,-0.1250114575063357,-10.684015683999576,1.0,0
ADCL,0.0166049621195184,-149.76828487671082,-2.4868966970830235,-143.10660858671585,6.579138813377359,-13.24081510337233,1.0,0
ADCS,0.0166049621195184,-20.433962714053077,-0.33930517681850275,-18.44940567942359,-1.8008853150475304,-0.18367171958195527,1.0,0
ADD,0.05680757031689558,-42.243718766429474,-2.399763024271104,-19.75974722062722,0.40011927799437785,-22.884090823796633,1.0,0
ADK1,1.5194590568603057,-2.2735616066899764,-3.454583774614953,0.28575245771480695,0.055872099188669644,-2.615186163593453,1.0,0
ADK3,-0.33748841114123723,10.788107563680153,-3.6408612808871785,3.1057159228698765,0.521239398610259,7.161152242200018,0.0,0
ADMDCr,0.0023246946967325753,-47.13183414679065,-0.10956712488832353,-26.609248016190577,0.6625767638664364,-21.18516289446651,1.0,0
ADNK1,0.09744948255636604,-14.24204698785188,-1.3878801095096174,-17.624538258493658,-1.4949086194394479,4.877399890081225,1.0,0
ADPT,0.040840389686479774,-31.69425966140954,-1.294405915396442,-22.84009206404926,0.6832215531360362,-9.537389150496317,1.0,0
ADSK,0.07739871733225671,-20.69456105045161,-1.6017324810590339,-12.135305504321195,-0.051192710134788655,-8.508062835995627,1.0,0
ADSL1r,0.21737554988703625,-10.01289193592305,-2.176557890530744,15.838926983031115,0.1394656541822279,-25.991284573136394,1.0,0
ADSL2r,0.16342902602407738,-1.4688002651466405,-0.24004459675682208,23.51254256924767,4.868916355432212,-29.850259189826524,1.0,0
ADSS,0.21737554988703625,-12.441586556186333,-2.7044967191181617,-4.927933521872319,1.2154368519173815,-8.729089886231396,1.0,0
AGMHE,0.00836890090823727,-0.5,-0.004184450454118635,0.0,0.0,-0.5,1.0,0
AGPR,0.0,-10.72166208080628,-0.0,-0.03823674457976267,2.0315475660178706,-12.714972902244387,1.0,0
AICART,0.19331795784580852,-0.5650954538953705,-0.10924309913500327,11.807916462323192,-12.55399267196994,0.18098075575137784,1.0,0
AIRC2,0.16342902602407738,-42.779735325582166,-6.99145047782771,-94.09389708852393,32.686020226235016,18.628141536706742,1.0,0
AIRC3,-0.16342902602407738,0.5524859397922199,-0.09029223903223957,-60.23267269188568,37.21216288273861,23.572995748939288,0.0,0
ALAALAr,0.009165939089974153,-9.279374525312988,-0.08505418169207667,-23.40931952150231,0.3186399984689805,13.811304997720342,1.0,0
ALAR,0.006905161768765078,-10.460508473229023,-0.0722315031911842,-0.04100690720269995,0.3053178937468459,-10.724819459773169,1.0,0
ALATAD2,0.0,34.3806163706836,0.0,-1.8992002243444404,1.5360380197806904,34.74377857524735,0.0,0
ALATAL,-0.24608212372750823,13.97964842264945,-3.4401415728094875,0.19007433106799,0.1846217948606217,13.604952296720839,0.0,0
ALATAL2,0.0,23.920098300199633,0.0,-1.9402071315471403,1.8413463162726025,24.01895911547417,0.0,0
ALDD2x,0.05218469016021566,-62.0446316236393,-3.237779877384335,-60.659877875262225,1.1173597076930406,-2.502113456070113,1.0,0
AMALT1,0.0,15.144363408317469,0.0,5.245327055294297,-2.4607333517253007,12.359769704748473,0.0,0
AMALT2,0.0,19.564846534846517,0.0,7.269847610243232,-2.928796458999031,15.223795383602315,0.0,0
AMALT3,0.0,15.248472771078633,0.0,5.245397348628217,-2.4607333517192718,12.463808774169689,0.0,0
AMALT4,0.0,18.83238680832367,0.0,5.245379241419073,-2.460733351719128,16.047740918623724,0.0,0
AMPN,0.09395869508596377,-47.25099232999612,-4.439641580843318,-18.03734156798805,1.5944422344925187,-30.80809299650059,1.0,0
ANPRT,0.017933359089079864,-63.18099302328844,-1.1330474354912812,-60.14069137059414,7.164340820749331,-10.204642473443627,1.0,0
ANS,0.017933359089079864,-174.365653548174,-3.126961877881497,-161.5567242687196,4.778254598279208,-17.587183877733626,1.0,0
APRAUR,3.320992423903679e-06,-14.241872478193686,-4.7297150602283545e-05,-22.818725974948848,-2.7947176408555006,11.371571137610662,1.0,0
ARGSL,0.09331988711169338,-25.430937543492263,-2.373212220703223,11.626420467918706,0.3285243714113477,-37.38588238282232,1.0,0
ARGSS,0.09331988711169338,-57.481891680851525,-5.364203642623651,-9.033846050218017,-0.06959571797764141,-48.37844991265587,1.0,0
ASAD,-0.8021260339764232,0.681063096103248,-0.546298440165002,-28.155787497540132,0.06376442159214335,28.773086172051237,0.0,0
ASNN,0.06187507681654215,-16.879078766987142,-1.0443942952997949,-17.82411562074128,4.583124726550436,-3.638087872796296,1.0,0
ASNS1,0.03313208626871592,-107.3865456908114,-3.5579402959273674,-44.81099585721603,-2.9473423650942863,-59.62820746850109,1.0,0
ASNS2,0.10479371706398741,-78.29117782496184,-8.204423537595375,-30.07775980400362,-3.6087709511537156,-44.6046470698045,1.0,0
ASP1DC,1.9593855301005212e-05,-68.67001371032973,-0.0013455103121582446,-24.839675090277353,-0.8403260874326293,-42.990012532619744,1.0,0
ASPCT,0.24129601089846578,-19.337240155920277,-4.665998911409189,-22.25984967214356,0.39469297200774456,2.527916544215538,1.0,0
ASPK,0.8021260339764232,-0.7621014893973843,-0.611301445177849,20.359247401798484,-1.9482776494899738,-19.173071241705895,1.0,0
ASPO3,5.948978393030141,-89.32198696518068,-531.3745704783798,-65.262564917286,-4.181080476205729,-19.878341571688956,1.0,0
ASPO4,-12.611173232924964,1.0000562816188356,-12.61188301016993,17.25193377450978,1.294221686473815,-17.54609917936476,0.0,0
ASPO5,6.594239467416353,-3.7108306365959054,-24.47010584073847,-1.9466808105566997,-3.3870417165623374,1.6228918905231318,1.0,0
ASPO6,0.06886200341765444,-88.20547178274019,-6.0740054993588775,-73.09390142346464,1.8439858166956107,-16.955555555555556,1.0,0
ASPT,0.128881371316347,-27.36160920526595,-3.526401715796659,12.947836214320091,-0.1754440986339887,-40.13400132095205,1.0,0
