reaction,v,drG,Gdiss,drG0_prime,drG_error,drG_conc,b,condition
2DGLCNRx,-5.120894832675627,4.173088799959469,-21.36994887200898,-12.032433201012395,-0.2975040065094099,16.503026007481274,0.0,0
2DGLCNRy,5.120894832675627,-22.163790508974145,-113.4984402899108,-11.923083939197,-0.12621901927931845,-10.114487550497827,1.0,0
2DGULRx,0.0,-98.31661842988746,-0.0,-99.03288190298281,-0.04453915717908785,0.7608026302744406,1.0,0
2DGULRy,0.0,-124.65349940575973,-0.0,-98.92353264116741,0.12674416311233472,-25.856710927704654,1.0,0
3HCINNMH,0.0,-220.4808779022669,-0.0,-239.97911353653302,-1.7052210279622244,21.203456662228334,1.0,0
3HPPPNH,0.0,-221.1818223999308,-0.0,-240.03233481464983,-1.7052210279622706,20.55573344268129,1.0,0
5DGLCNR,0.0,-9.42651410151349,-0.0,13.100336868389945,0.2728208416518356,-22.79967181155527,1.0,0
A5PISO,0.0,-12.18115592947699,-0.0,-2.1251345960229173,0.6852540839582062,-10.741275417412279,1.0,0
AACPS1,0.0,17.239433153626806,0.0,958.6397400897802,-909.3511698737963,-32.04913706235709,0.0,0
AACPS2,0.0,81625.75110986782,0.0,859.7047392678887,80794.2535095379,-28.20713893797074,0.0,0
AACPS3,0.0,70.24151332400595,0.0,1026.347413116814,-925.7073954031382,-30.398504389669938,0.0,0
AACPS4,0.0,46935.91880474612,0.0,846.7457647399506,46116.54342089229,-27.370380886117346,0.0,0
AACPS5,0.0,-45985.11116421667,-0.0,881.7573062379315,-46840.358728265805,-26.509742188798555,1.0,0
ABTA,0.0,7.219410888153649,0.0,6.4594074833783,0.00043319917464668123,0.7595702056007028,0.0,0
ABUTD,0.0,-125.21356110622429,-0.0,-94.4869472134381,3.2610350216500805,-33.987648914436285,1.0,0
ACACCT,0.0,-3.8842476360675455,-0.0,6.168167496795604,1.8950329328633053,-11.947448065726455,1.0,0
ACACT1r,0.0,-13.119993569410667,-0.0,24.903853133502253,-0.22750136395895026,-37.79634533895397,1.0,0
ACALDi,0.0,20.52050002014723,0.0,-23.134278283054527,-0.046160406393418896,43.70093870959518,0.0,0
ACCOACr,0.0,-39.98776957184123,-0.0,-41.13564484080871,1.1951694090145786,-0.04729414004710364,1.0,0
ACCOAL,0.0,45.93194624654619,0.0,12.68863079974517,-3.50554413331151,36.74885958011253,0.0,0
ACGK,0.0,13.433936052923986,0.0,11.0535666076089,2.691597654543031,-0.31122820922794503,0.0,0
ACGS,0.0,6.490006717934168,0.0,26.72059588901419,-5.913193880142732,-14.317395290937291,0.0,0
ACHBS,0.0,82.6450342133753,0.0,69.08535977362311,-5.829585438423738,19.389259878175924,0.0,0
ACKr,0.0,9.839065494596047,0.0,13.911867748018267,-0.512226981240941,-3.5605752721812785,0.0,0
ACLS,0.0,36.45931299861303,0.0,50.068908660189834,-7.64822147917052,-5.961374182406292,0.0,0
ACNML,0.0,5.315970021680094,0.0,7.714066530760192,-0.4205615572734054,-1.9775349518066925,0.0,0
ACOATA,0.0,48451.97163608434,0.0,872.4730880772904,47603.696951152466,-24.198403145419434,0.0,0
ACODA,0.0,-67.47736808942592,-0.0,-62.74910443474792,9.638397486879999,-14.366661141558001,1.0,0
ACONT,48.313271852942314,-0.5080792095599866,-24.546968974299684,6.503771872162815,-2.7424283644768854,-4.2694227172459165,1.0,0
ACOTA,0.0,72.58994689519378,0.0,76.94595504720718,0.504093873084738,-4.86010202509814,0.0,0
ACS,0.0,-26.218719387267154,-0.0,-10.655358437331188,-0.33281500493094285,-15.230545945005023,1.0,0
ADA,0.0,-30.526705510762234,-0.0,-18.217867928877524,0.10776840666988363,-12.416605988554593,1.0,0
ADCL,0.0,-199.380364548235,-0.0,-186.18326975752603,0.35555528150124616,-13.55265007221022,1.0,0
ADCS,0.0,-54.25287430005297,-0.0,-18.67133205622946,1.7493892001809357,-37.33093144400445,1.0,0
ADD,0.0,-42.42436167600668,-0.0,-19.94858888355509,-0.03304954632005064,-22.442723246131543,1.0,0
ADHEr,0.0,-37.700858546194745,-0.0,7.640949642602436,0.01947291382304428,-45.361281102620225,1.0,0
ADK1,0.0,21.224600906843786,0.0,0.2597399396659057,0.05306425278097038,20.91179671439691,0.0,0
ADK3,0.0,45.01670944516239,0.0,3.0031619208507436,0.25334234725242766,41.76020517705922,0.0,0
ADMDCr,0.0,-45.614880172584364,-0.0,-20.583335156251678,-0.4670468774345764,-24.56449813889811,1.0,0
ADNK1,10.779574367864193,-11.82537622289721,-127.47252242269344,-16.531058321315015,1.404809505064046,3.300872593353759,1.0,0
ADPT,0.0,-49.431370659525285,-0.0,-23.43003607757646,0.126052572399459,-26.127387154348284,1.0,0
ADSK,0.0,163.4954451315013,0.0,165.45177300651972,0.3288249022135723,-2.285152777231989,0.0,0
ADSL1r,0.0,3.915351681106749,0.0,15.791798486238463,0.04017469533069118,-11.916621500462405,0.0,0
ADSL2r,0.0,21.616692949061893,0.0,23.51241929490675,-1.6465738140649133,-0.24915253177993968,0.0,0
ADSS,0.0,28.77898924372161,0.0,-5.116118041719574,1.7325089866011467,32.16259829884004,0.0,0
