reaction,v,drG,Gdiss,drG0_prime,drG_error,drG_conc,b,condition
2DGLCNRx,0.0,-9.07898374988559,-0.0,-12.039020539845751,-0.13064232840673462,3.0906791183668965,1.0,0
2DGLCNRy,0.0,-26.359667311942555,-0.0,-11.923219467785316,-0.10683879766529358,-14.329609046491946,1.0,0
2DGULRx,-1.1457208035905457,2.433035297222059,-2.7875791558974194,-17.038615077037548,-1.053953022722002,20.52560339698161,0.0,0
2DGULRy,0.2610257645414075,-14.847647962706443,-3.8756186611071213,-16.922814004977,-1.0301491898522137,3.10531523212277,1.0,0
A5PISO,0.026029940797420194,-15.337684144490993,-0.3992390102506309,-2.415712501895541,-0.0031136957246573616,-12.918857946870794,1.0,0
AACPS1,-0.040707367545231035,157.29165519583557,-6.402929219854627,916.0656415520903,-720.7020397827728,-38.07194657348191,0.0,0
AACPS2,0.0,30863.254351621283,0.0,856.935760595811,30041.7625872629,-35.4439962374272,0.0,0
AACPS3,-0.02414704332938858,179.6988181452159,-4.339195147992447,963.4359864391417,-743.8127337777987,-39.92443451612712,0.0,0
AACPS4,0.0,109.88945884034251,0.0,879.1395249838242,-734.272472432931,-34.977593710550764,0.0,0
AACPS5,0.0,200.23882856730438,0.0,924.474508551345,-688.7266384896357,-35.50904149440498,0.0,0
ABTA,0.0,19.459848471794793,0.0,6.459418990191438,-0.0232837327092561,13.023713214312611,0.0,0
ABUTD,0.0,-55.860160427515765,-0.0,-60.16812069346224,4.4681619686801675,-0.1602017027336835,1.0,0
ACALDi,-2.1394955823935984,6.653076059241201,-14.234226838075159,-23.140905876757415,-0.11886961942577656,29.912851555424393,0.0,0
ACCOACr,0.0553672321609771,-21.275204920354824,-1.1779492100976479,-15.227831874030926,-0.5726670734807016,-5.474705972843196,1.0,0
ACCOAL,0.0,39.66187050705386,0.0,12.288346605334482,0.2532891045543302,27.120234797165057,0.0,0
ACGK,0.12813763117567276,-7.800748952884625,-0.9995694922187456,22.151322755435103,-7.425430779726703,-22.526640928593025,1.0,0
ACGS,0.12813763117567276,-48.04275198965491,-6.156084435114719,-21.10051161164,1.9639003435539308,-28.90614072156884,1.0,0
ACHBS,0.1710538966687613,-26.819241712556476,-4.587535800634169,-16.383815520392943,-2.3169056948008873,-8.118520497362645,1.0,0
ACKr,0.0,-16.463200545178573,-0.0,13.770975314346515,-0.014206283454733182,-30.219969576070355,1.0,0
ACLS,0.514437776865249,-54.02524279916625,-27.79262580020839,-25.486033451345804,-2.491490178505547,-26.0477191693149,1.0,0
ACOATA,0.7298239532308297,-4.243267401140201,-3.0968381893156507,862.6478769348228,-850.8021804103628,-16.088963925600183,1.0,0
ACODA,0.0,-55.87609428573202,-0.0,-14.457986507574532,-3.029237419352505,-38.388870358804986,1.0,0
ACONT,2.360373430933314,-5.826914288324566,-13.753693670487007,6.534314876205144,-0.010873617141401226,-12.35035554738831,1.0,0
ACOTA,0.0,-1.597744834042583,-0.0,4.6162768494294255,10.525123673661433,-16.73914535713344,1.0,0
ACS,0.020538950167386327,-32.007068596902435,-0.6573915869158949,-10.382995780737929,0.04587912683890494,-21.66995194300341,1.0,0
ADA,0.027619480504296943,-32.646126193031705,-0.9016690459292569,-18.164955300054515,0.21559596200717124,-14.69676685498436,1.0,0
ADCL,0.030988024758907096,-132.54547637883368,-4.107322503708434,-143.12911804220678,11.770477274709688,-1.186835611336587,1.0,0
ADCS,0.030988024758907096,-14.765429523975657,-0.4575514956648555,-18.449479118662623,0.48440855014548845,3.199641044541478,1.0,0
ADD,0.04237760967979079,-34.18632986424541,-1.4487349433715673,-19.759809672969055,0.779910448553661,-15.206430639830021,1.0,0
ADK1,2.5374256051727513,-2.212636494256168,-5.614400495465271,0.2857438567452846,-0.007859375201506591,-2.490520975799946,1.0,0
ADK3,-0.44379335603983333,8.317584108477151,-3.69128856564466,3.105682001677451,0.24651922638712342,4.965382880412577,0.0,0
ADMDCr,0.004338323466236699,-47.709533494654735,-0.20697938872306643,-26.605560360085747,1.202158584235132,-22.30613171880412,1.0,0
ADNK1,0.11703034628182059,-28.628572168441636,-3.350411714426816,-17.624176545211526,-1.3824258974555725,-9.621969725774537,1.0,0
ADPT,0.045873073321437884,-43.15794480104928,-1.9797875662611026,-22.840287190125764,-0.10087181589844363,-20.216785795025075,1.0,0
ADSK,0.14444076124478672,-31.92895071460683,-4.611841946965088,-12.107611389102885,-3.3244153577712297,-16.496923967732716,1.0,0
ADSL1r,0.29009340769597414,-20.22875705087104,-5.868229066341144,15.8389113849654,-0.12544920199228216,-35.942219233844156,1.0,0
ADSL2r,0.304989717330464,-6.29371737465555,-1.919519083054026,23.512542546380587,-0.20248332218028864,-29.60377659885585,1.0,0
ADSS,0.29009340769597414,-17.61766521765205,-5.110768538635519,-4.927995755551137,-0.48276564722368676,-12.206903814877226,1.0,0
AGMHE,0.015617964478452118,-0.5,-0.007808982239226059,0.0,0.0,-0.5,1.0,0
AGPR,-0.12813763117567276,17.295181378996766,-2.216163572658251,-0.039578238362651064,1.2918753750654304,16.042884242293987,0.0,0
AICART,0.3607681618963644,-2.948386930731102,-1.0636841335591232,11.807916474105468,-0.2862183278329571,-14.470085077003613,1.0,0
AIRC2,0.304989717330464,-46.17803850472903,-14.083826910432588,-94.1488718892673,33.75400942520206,14.216823959336203,1.0,0
AIRC3,-0.304989717330464,0.7416788621616135,-0.22620442652065065,-60.28753431556129,37.77521527905424,23.253997898668665,0.0,0
ALAALAr,0.01710538966687613,-31.37792159477407,-0.5367315758152977,-23.39031698752342,-12.94716676714324,4.959562159892592,1.0,0
ALAR,-0.22050633439973524,5.428598364183305,-1.1970403262144595,-0.04100706985019542,0.06271752704356004,5.40688790698994,0.0,0
ALATAD2,0.336912246500238,-2.518568008948639,-0.8485364058585174,-1.8988426899306319,-3.298336987601823,2.678611668583816,1.0,0
ALATAL,-0.08008387513793952,30.391423578302394,-2.433862971109,0.19007156606107856,0.12396324126982705,30.07738877097149,0.0,0
ALATAL2,-0.22050633439973524,2.9100282425289743,-0.6416796607597679,-1.9398497597808273,-3.2356215732639546,8.085499575573756,0.0,0
ALDD2x,2.3433731426494964,-67.40562466494225,-157.95653050333814,-60.660031178484076,-0.00016409983627596603,-6.7454293866219,1.0,0
AMALT1,0.0,15.31448817441136,0.0,5.255928024475338,-3.531908269577146,13.590468419513169,0.0,0
AMALT2,0.0,15.894012177640496,0.0,7.281804550524612,-4.31185787074117,12.924065497857054,0.0,0
AMALT3,0.0,-16.129917805727214,-0.0,5.255998317809258,-3.531908269577144,-17.854007853959327,1.0,0
AMALT4,0.0,25.736992747839732,0.0,5.255980210599205,-3.5319082695771336,24.01292080681766,0.0,0
AMPN,0.03413901098278773,-33.27215050831109,-1.1358783116241988,-18.03764184448687,1.1189343683889774,-16.3534430322132,1.0,0
ANPRT,0.03346706674036722,-61.40555519278722,-2.055063813866313,-60.11468846530738,7.469699678512185,-8.76056640599203,1.0,0
ANS,0.03346706674036722,-152.96396971377297,-5.119255383282351,-161.57930716344956,12.254884796362154,-3.639547346685566,1.0,0
APRAUR,6.1976049517667135e-06,-22.83003231692477,-0.00014149152133636705,-22.81598538290723,-0.06738022193954052,0.053333287922001205,1.0,0
ARGSL,0.17415269914464465,-18.287452130541283,-3.184809149012247,11.626420427309768,1.5319451617325264,-31.445817719583577,1.0,0
ARGSS,0.17415269914464465,-64.25912142218233,-11.19089944033651,-9.033846057347205,0.15063519874755116,-55.37591056358268,1.0,0
ASAD,-0.6358499529203493,1.3354667507957387,-0.8491564706201623,-28.15578749051724,1.3687959145346156,28.122458326778364,0.0,0
ASNN,0.034977461642826085,-18.039306395161404,-0.6309691474999453,-17.824032702748497,8.065934572410374,-8.281208264823281,1.0,0
ASNS1,0.03822032732679298,-111.39691719274778,-4.257626638302472,-44.811397866447635,-7.336844452155518,-59.248674874144626,1.0,0
ASNS2,0.13868228771313876,-88.02646518897177,-12.207711571707577,-30.07808837971629,-7.901352189029055,-50.04702462022642,1.0,0
ASP1DC,3.656586861897038e-05,-59.75641312278641,-0.0021850451513887254,-24.839738942734186,0.05134616025767258,-34.9680203403099,1.0,0
ASPCT,0.48226906191889174,-15.326959000831348,-7.391718139400249,-22.259849646046973,-0.9668613407575926,7.899751985973218,1.0,0
ASPK,0.6358499529203493,-1.436079908436156,-0.9131313421689893,20.359247402862593,-2.3953938837881807,-19.399933427510568,1.0,0
ASPO3,0.00014186908053073405,-101.59619002037707,-0.014413358063616634,-65.2567112968427,-13.557137522929644,-22.782341200604712,1.0,0
ASPO4,0.001084290731273228,-1.1872688094531867,-0.0012873445656198907,17.269847982230203,-8.335917968846587,-10.121198822836803,1.0,0
ASPO5,0.00013026077666629737,-35.578805775955104,-0.004634522873235259,-1.9399267199844417,-13.059624264030205,-20.579254791940457,1.0,0
ASPO6,0.0003355255700110685,-120.73504794862122,-0.04050969578327482,-73.08678496443784,-11.393037873630448,-36.25522511055293,1.0,0
ASPT,0.057866966540109366,-22.465894455212194,-1.3000331627333925,12.947833177465725,-0.20977512575720425,-35.203952506920714,1.0,0
