reaction,v,drG,Gdiss,drG0_prime,drG_error,drG_conc,b,condition
2DGLCNRx,0.0,32.437764676689525,0.0,-12.039022211122301,0.1599721412049604,44.316814746606866,0.0,0
2DGLCNRy,0.0,7.567330184881513,0.0,-11.923219472160895,0.14333111533802878,19.34721854170438,0.0,0
2DGULRx,-0.2950159164754338,5.707077332529938,-1.6836786496524936,-17.025536494255448,0.2710723651110172,22.46154146167437,0.0,0
2DGULRy,0.2950159164754338,-19.16335189203882,-5.65349382117107,-16.909733755293928,0.2544366064832282,-2.5080547432281186,1.0,0
A5PISO,0.02364715577710976,-15.472193571362027,-0.3658733715955941,-2.415787583912561,0.14627517059618356,-13.20268115804565,1.0,0
AACPS1,0.0,441.46249711458086,0.0,916.0607539117302,-442.21472629753407,-32.38353049961523,0.0,0
AACPS2,0.0,2569.5231394748043,0.0,856.9352863592305,1745.4379795258865,-32.85012641031267,0.0,0
AACPS3,0.0,566.608363407268,0.0,963.428712261493,-364.6328339743195,-32.18751487990551,0.0,0
AACPS4,0.0,395.1017440343975,0.0,879.1433678399478,-451.0523865838768,-32.989237221673534,0.0,0
AACPS5,0.0,463.48500150929544,0.0,924.4788795334414,-427.7990881896112,-33.19478983453479,0.0,0
ABTA,0.0,31.682448783883796,0.0,6.4594189808591125,0.016240299865732055,25.20678950315895,0.0,0
ABUTD,0.0,-94.30997757213521,-0.0,-60.15992354799789,1.7972277090043747,-35.94728173314169,1.0,0
ACALDi,-0.1400718533360071,7.473015034814978,-1.0467590659343795,-23.140907631294567,0.45017138884027474,30.16375127726927,0.0,0
ACCOACr,1.2987845603342265,-10.797632791733543,-14.023798758062076,-15.223202548807876,1.609020165781164,2.8165495912931693,1.0,0
ACCOAL,0.0,39.45522906185945,0.0,12.288243171393333,0.4735260482085053,26.69345984225761,0.0,0
ACGK,0.0,33.41099366665524,0.0,22.15028769356627,1.3594168997602836,9.901289073328684,0.0,0
ACGS,0.0,-64.6512061054309,-0.0,-21.109603538112026,2.1315787214026543,-45.673181288721544,1.0,0
ACHBS,0.15539559510672132,-16.55975042410184,-2.5733122719720862,-16.393243944819687,-0.9289005107390373,0.7623940314568856,1.0,0
ACKr,-4.223898211124744,7.053106583172986,-29.79160427953653,13.770938903302522,0.015009709869185706,-6.7328420299987215,0.0,0
ACLS,0.4673460590413378,-31.185392494360997,-14.574370281896927,-25.494413208189826,-1.0978554418297115,-4.593123844341459,1.0,0
ACOATA,0.0,-93380.87892250257,-0.0,862.6468728026585,-94213.24857092393,-30.277224381294218,1.0,0
ACODA,0.0,-45.01635435705261,-0.0,-14.44877313448049,-2.080711967843058,-28.486869254729065,1.0,0
ACONT,3.4517917248227294,-6.106070823499181,-21.07688473973598,6.53432275880391,-0.0022106087402740116,-12.638182973562817,1.0,0
ACOTA,0.0,20.773790959311505,0.0,4.612360908853361,3.719164871113737,12.442265179344407,0.0,0
ACS,0.05796291551081895,-24.411481541447426,-1.4149606420808336,-10.38292542914246,-0.019909365942240242,-14.008646746362725,1.0,0
ADA,0.1293249862345436,-23.80029129884416,-3.0779723446011493,-18.164941642898896,0.09014092912756055,-5.725490585072826,1.0,0
ADCL,0.028151375925231745,-156.273732448993,-4.399320589410689,-143.11154431781765,2.5426739790091446,-15.7048621101845,1.0,0
ADCS,0.028151375925231745,-17.518554548477173,-0.49317141476085935,-18.44942178069192,0.15381931862110676,0.7770479135936412,1.0,0
ADD,0.04347142311102414,-35.9794289863308,-1.5640769807578327,-19.75976091306137,-0.2577207611464196,-15.96194731212302,1.0,0
ADK1,2.6612009762561084,-3.7250133048924585,-9.913009043546804,0.2857505719848632,-0.010562001896849083,-4.000201874980473,1.0,0
ADK3,-0.46963285492347473,8.152122939873124,-3.828504769939765,3.1057084857793598,-0.1894267286588338,5.235841182752598,0.0,0
ADMDCr,0.003941192629518294,-51.41175984310976,-0.2026236489642288,-26.608439515423015,-1.263989608853187,-23.53933071883356,1.0,0
ADNK1,0.17780937895931753,-28.140060264660097,-5.00356663953698,-17.624458954258387,-0.35050247629702724,-10.165098834104683,1.0,0
ADPT,0.057865159496798824,-25.9884403800068,-1.5038252476621405,-22.840134844685508,0.1190747854673262,-3.267380320788618,1.0,0
ADSK,0.13121863049542337,-26.6727425056996,-3.4999607431549684,-12.129233593751223,2.7988071063559907,-17.342316018304366,1.0,0
ADSL1r,0.3437873021648779,-5.0342095737521895,-1.7306973278928652,15.838923563215758,0.20796107440763834,-21.081094211375586,1.0,0
ADSL2r,0.27707090759246533,-1.7560084164334917,-0.48653884568123534,23.512542564233854,-2.96389255201532,-22.304658428652026,1.0,0
ADSS,0.3437873021648779,-6.45918230324445,-2.220584858223532,-4.927947166365129,0.4005965720734981,-1.931831708952819,1.0,0
AGMHE,0.014188293466265859,-0.5,-0.007094146733132929,0.0,0.0,-0.5,1.0,0
AGPR,0.0,28.482537401944835,0.0,-0.038530890654215,4.54485951552364,23.97620877707541,0.0,0
AICART,0.32774338425770055,-1.8186152267566875,-0.5960391090798223,11.807916464906498,-2.03064446802572,-11.595887223637465,1.0,0
AIRC2,0.27707090759246533,-48.011588811132626,-13.30261448685677,-94.10595062409982,33.204502283083016,12.889859529884182,1.0,0
AIRC3,-0.27707090759246533,0.8361373409801658,-0.2316693319373252,-60.244701413828125,38.265695465300354,22.815143289507937,0.0,0
ALAALAr,0.015539559510672131,-13.707613474246223,-0.21301027533234035,-23.405153271741483,-3.016731810995358,12.714271608490618,1.0,0
ALAR,0.056513036937098755,-12.900988321694056,-0.7290740295489759,-0.04100694286256612,-0.03388148793553292,-12.826099890895957,1.0,0
ALATAD2,0.14160160420982695,-6.925012297409347,-0.9805928504859428,-1.8991220966419178,-1.6048676443121552,-3.4210225564552736,1.0,0
ALATAL,-0.504359316580226,8.32958560172442,-4.201104101482219,0.1900737248509472,0.017809922342417295,8.121701954531055,0.0,0
ALATAL2,0.04620361341009547,-19.82599043088222,-0.9160323973407343,-1.940129039504427,-1.6387389440265636,-16.24712244735123,1.0,0
ALDD2x,0.25235031342956377,-73.73450242468962,-18.606924797443355,-60.659911486399665,0.41116073034232414,-13.485751668632282,1.0,0
AMALT1,0.0,-10.733774682546109,-0.0,5.247651519320584,-1.2018485050810774,-14.779577696785616,1.0,0
