reaction,v,drG,Gdiss,drG0_prime,drG_error,drG_conc,b,condition
2DGLCNRx,0.0,12.007249938408581,0.0,-12.039020564410293,-0.5964560741070031,24.642726576925877,0.0,0
2DGLCNRy,0.0,-13.004519860523805,-0.0,-11.923219467849435,-0.4897672546653755,-0.5915331380089945,1.0,0
2DGULRx,-0.10087348605772838,5.532508105066164,-0.5580833792006609,-17.038422941969884,-0.3987617736780251,22.969692820714073,0.0,0
2DGULRy,0.10087348605772838,-19.479240207064628,-1.9649388654424758,-16.922621845408912,-0.2920514674349164,-2.264566894220799,1.0,0
A5PISO,0.029478951755141994,-17.63911175025227,-0.5199825242892449,-2.4157136054545845,-0.14695457080439667,-15.076443573993288,1.0,0
AACPS1,0.0,292.42276409563397,0.0,916.0655666675759,-607.2792269801307,-16.36357559181124,0.0,0
AACPS2,0.0,756.4411088186374,0.0,856.9357529276244,-85.00340887287166,-15.491235236115358,0.0,0
AACPS3,0.0,294.6236231418402,0.0,963.4358808620411,-654.3382315164199,-14.474026203781023,0.0,0
AACPS4,0.0,149.9138860977215,0.0,879.1395817875648,-714.1022151266225,-15.123480563220824,0.0,0
AACPS5,0.0,284.6907222067391,0.0,924.4745687862244,-624.2517376234755,-15.532108956009779,0.0,0
ABTA,0.0,30.341007524691783,0.0,6.4594189900542744,0.40051625168191407,23.481072282955594,0.0,0
ABUTD,0.0,-81.76982433717114,-0.0,-60.168000173662904,-6.325757820629022,-15.276066342879218,1.0,0
ACALDi,-0.437156616316468,0.818974548336378,-0.35802014240003865,-23.140905902545228,-0.8785663705020141,24.83844682138362,0.0,0
ACCOACr,0.07362785705611438,-23.908929490506143,-1.760363242891704,-15.227763898282774,-0.6832974223733679,-7.997868169850001,1.0,0
ACCOAL,0.0,35.87316012390097,0.0,12.288345085057244,-1.911873650174865,25.4966886890186,0.0,0
ACGK,0.3995322127608159,-1.8197426674055208,-0.7270458145637972,22.151307380740946,2.588570271877469,-26.559620320023935,1.0,0
ACGS,0.3995322127608159,-54.50172554578021,-21.775195006588255,-21.100645026779432,2.5159501964158935,-35.91703071541667,1.0,0
ACHBS,0.19371882581950456,-15.063995078129427,-2.9181794386860282,-16.383953863831096,-3.9007968654676226,5.220755651169291,1.0,0
ACKr,-4.358861294433118,17.991083189106945,-78.4206361579246,13.770974779175049,0.18053657918931876,4.039571830742577,0.0,0
ACLS,0.582601647975941,-32.21661032277031,-18.769450266244696,-25.48615637815834,-1.2754283370338761,-5.45502560757809,1.0,0
ACOATA,0.5890705300992153,-8.760791047166208,-5.160723826242657,862.6478544692484,-839.9714456336806,-31.437199882734035,1.0,0
ACODA,0.0,-59.515805435347225,-0.0,-14.457851307406742,-4.4753670150327665,-40.58258711290772,1.0,0
ACONT,1.1533639618694653,-6.427730056005959,-7.413512203222473,6.534314992063855,-0.007956991777337663,-12.954088056292477,1.0,0
ACOTA,0.0,-8.990308213299858,-0.0,4.616219619201445,-8.52375210300788,-5.082775729493424,1.0,0
ACS,-3.731689099946855,11.658750313168852,-43.50683146265419,-10.382994746706572,-0.43323852329203305,22.474983583167457,0.0,0
ADA,0.041152786531429675,-24.944846858198026,-1.0265499578146275,-18.164955099321105,-0.36414058450867515,-6.415751174368246,1.0,0
ADCL,0.035093990184692864,-155.070382640297,-5.442038486315149,-143.12886090424527,6.33237565165339,-18.273897387705116,1.0,0
ADCS,0.035093990184692864,-23.387117092565404,-0.820747257694753,-18.4494782759063,-2.2937398148774903,-2.6438990017816124,1.0,0
ADD,0.02532241789420338,-45.968377206363044,-1.1640304575378984,-19.75980895629374,-0.8221373011724786,-25.386430948896827,1.0,0
ADK1,0.05723842008729973,-5.540634978574468,-0.3171371924540323,0.2857439554463781,-0.0021640932104691757,-5.824214840810377,1.0,0
ADK3,0.06357236930722601,-4.568302225011316,-0.2904177961554417,3.1056823909420928,-0.40977889833350023,-7.264205717619909,1.0,0
ADMDCr,0.004913158625857,-50.0269164903755,-0.24579017627971617,-26.605602661293005,0.876981007414539,-24.29829483649704,1.0,0
ADNK1,0.16254240303648393,-5.593843710821179,-0.909236798967397,-17.62418069607304,0.3710245975205595,11.659312387731301,1.0,0
ADPT,0.10564069271493944,-31.780961652773307,-3.3573628041458985,-22.84028495094526,-0.7556863109938625,-8.184990390834184,1.0,0
ADSK,0.16357940517061387,-20.242508572464992,-3.3112575114448752,-12.107929138603822,2.532718050920355,-10.667297484781525,1.0,0
ADSL1r,0.279635402198593,-9.005267503007403,-2.5181916001093945,15.838911563962029,0.04402094710526683,-24.888200014074698,1.0,0
ADSL2r,0.3454013715867673,-5.694596968119093,-1.9669216034221815,23.51254254664309,0.24893068264597318,-29.456070197408156,1.0,0
ADSS,0.279635402198593,-13.341939623312575,-3.7308786526743565,-4.927995041384747,-0.8466285800586899,-7.567316001869138,1.0,0
AGMHE,0.017687371053085196,-0.5,-0.008843685526542598,0.0,0.0,-0.5,1.0,0
AGPR,-0.3995322127608159,14.47811699534411,-5.784474119759808,-0.039562877958587706,2.5375473911505395,11.980132482152158,0.0,0
AICART,0.4085705539289087,-2.760236143542702,-1.1277512101418365,11.807916473969954,-1.0530106506880657,-13.51514196682459,1.0,0
AIRC2,0.3454013715867673,-42.05446187619927,-14.525668813382644,-94.14824152207859,33.48631910399661,18.607460541882713,1.0,0
AIRC3,-0.3454013715867673,1.1638236428908684,-0.401986282539614,-60.28690524714307,38.57783857141801,22.872890318615923,0.0,0
ALAALAr,0.019371882581950453,-8.406135211992783,-0.16284266429472338,-23.390534995100438,13.884211913143186,1.1001878699644685,1.0,0
ALAR,0.0922911682754165,-6.844170084939731,-0.6316564530147444,-0.04100706798374176,-0.29670992089051484,-6.506453096065474,1.0,0
ALATAD2,0.053547403098564414,-7.385717800464352,-0.3954860082337072,-1.8988469470813811,8.667516563244721,-14.154387416627692,1.0,0
ALATAL,-0.6294409951253571,5.620054394698125,-3.5374926308574244,0.19007159779101812,-0.2684476756737917,5.698430472580899,0.0,0
ALATAL2,0.03330142464248424,-14.229901451382633,-0.47387599085319587,-1.9398540150651797,8.370793076375714,-20.660840512693166,1.0,0
ALDD2x,0.07428475780695575,-99.851103226676,-7.4174150199509645,-60.660029419243926,-2.0399984759928813,-37.15107533143918,1.0,0
AMALT1,0.0,35.841085233701804,0.0,5.255806525947605,-1.948763888223347,32.534042595977546,0.0,0
AMALT2,0.0,4.5800389218673665,0.0,7.281667493954956,-1.9454602770129306,-0.7561682950746587,0.0,0
AMALT3,0.0,41.73947003786635,0.0,5.25587681928198,-1.9487638882232616,38.43235710680763,0.0,0
AMALT4,0.0,4.291701884403821,0.0,5.255858712071927,-1.9487638882232403,0.9846070605551347,0.0,0
AMPN,0.23815271873188698,-50.29242546693099,-11.977277856570407,-18.037638398646322,-1.3196391570308883,-30.935147911253775,1.0,0
ANPRT,0.03790150939946828,-63.83876965050086,-2.4195857279589483,-60.114986931237354,5.97613184014407,-9.699914559407574,1.0,0
ANS,0.03790150939946828,-181.8580736133884,-6.8926954864270344,-161.57904918273172,4.038631405162036,-24.31765583581874,1.0,0
APRAUR,7.0187980369385715e-06,-28.428548271251657,-0.00019953423879927456,-22.816016874876595,2.495643665541486,-8.108175061916548,1.0,0
ARGSL,0.19722822483797386,-23.88160451677591,-4.710126465126251,11.626420427775543,0.05994731795798458,-35.567972262509436,1.0,0
ARGSS,0.19722822483797386,-43.08784738100568,-8.498139651045292,-9.033846057265123,0.26914134764786724,-34.323142671388425,1.0,0
ASAD,-0.350659149925451,2.36501463566578,-0.8293140217038126,-28.15578749059796,1.989482377171747,28.531319749091992,0.0,0
ASNN,0.09937997602388027,-34.62748523240874,-3.4412786521640486,-17.824033654278708,-7.805675322480553,-8.997776255649477,1.0,0
ASNS1,0.047903481792494575,-85.32567960394393,-4.087397139339753,-44.81139325316707,4.876737800971711,-45.39102415174857,1.0,0
ASNS2,0.21220696929012087,-54.38384028030343,-11.540629924241188,-30.07808460912645,6.211006642828874,-30.516762314005863,1.0,0
ASP1DC,4.1410910039633364e-05,-58.001082695298976,-0.0024018776176963613,-24.839738209991708,0.8059458707424199,-33.96729035604969,1.0,0
ASPCT,0.5648507799329393,-10.664994914016363,-6.024130695162974,-22.25984964634597,1.0097217424963585,10.585132989833248,1.0,0
ASPK,0.350659149925451,-2.934178388373862,-1.0288964993968084,20.35924740285077,-7.795528565924567,-15.497897225300065,1.0,0
ASPO3,0.2578588658575617,-86.79222342430097,-22.380144297446346,-65.25677808290493,2.064107006777377,-23.599552348173418,1.0,0
ASPO4,-0.6595427901982186,16.262502694484464,-10.725816402726332,17.26964166581911,8.799132663999611,-9.806271635334255,0.0,0
ASPO5,0.3597874684581113,-13.660374350166888,-4.914831505636663,-1.9400043667059208,9.8931877383863,-21.61355772184727,1.0,0
ASPO6,0.04381258951956241,-89.50169552702104,-3.9213010474302283,-73.08686676953951,7.144550528808502,-23.559379286290046,1.0,0
ASPT,0.05755234079397823,-19.309614698955116,-1.1113135257546762,12.947833212315288,0.047690266584169194,-32.30513817785457,1.0,0
ASPTA,-2.118745763856964,9.640812455607964,-20.42643055045883,2.8351233361653385,0.28799836805844947,6.517690751384176,0.0,0
AST,0.0,-36.928685151779035,-0.0,-7.243269157251689,-6.780634086211155,-22.904781908316192,1.0,0
ATPHYD,3.15,-48.06351382000797,-151.4000685330251,-32.20259350561332,-0.8501710934915736,-15.01074922090307,1.0,0
ATPPRT,0.06316918233244713,-92.73228645390361,-5.857822711111354,-133.96944005926434,66.80983198844112,-25.572678383080387,1.0,0
BETALDHx,0.0,-73.75517981723344,-0.0,-50.93423887230108,-0.9099704615605617,-21.9109704833718,1.0,0
BETALDHy,0.0,-48.74341001925986,-0.0,-51.05003996886205,-1.0166592819608837,3.3232892315630735,1.0,0
BPNT,0.16357940517061387,-24.563332772635025,-4.018055363955483,-16.388168265985087,-4.980182080608028,-3.1949824260419106,1.0,0
BSORx,0.0,10.981378579639127,0.0,50.19986467555708,-60.83388327015564,21.615397174237685,0.0,0
BSORy,0.0,-14.030394007870996,-0.0,50.31566577211805,-60.727197239291854,-3.6188625406971937,1.0,0
C120SN,0.029478951755141994,-41.7032250529046,-1.2293673593684036,-3152.670358231482,3207.7583399310242,-96.79120675244667,1.0,0
C140SN,0.009698575130679248,-66.88633294337433,-0.6487021252669424,-4016.5192922491933,4067.4524142893497,-117.8194549835307,1.0,0
C141SN,0.009506961941188562,-1310.473721974393,-12.458623799738275,-3994.269396116878,2794.3960766587406,-110.6004025162556,1.0,0
C160SN,0.06845012597862235,-131.51858582037949,-9.00246376793523,-4811.545197749318,4817.576987028588,-137.5503750996495,1.0,0
C161SN,0.013309746717663988,-206.42423350466106,-2.747454264334967,-4826.587194300626,4751.710212866543,-131.547252070578,1.0,0
C181SN,0.09506961941188562,-132.9542543326079,-12.639910358592076,-5615.258279708086,5635.168409583508,-152.86438420803006,1.0,0
CAT,0.06533070863030553,-151.28304759139024,-9.883428702897762,-192.0847450883411,3.1358698308436743,37.66582766610718,1.0,0
CBMK,-0.03132115539861722,35.02081646251268,-1.0968924346088118,24.180803321882877,-0.952037288899902,11.792050429529702,0.0,0
CBPS,0.7934001601553533,-43.98452933484705,-34.89733261862549,-22.755098827771917,-3.1364698779484392,-18.092960629126697,1.0,0
CDAPPAEC,0.06530932679211297,-78.57825486884641,-5.131892925983433,-86.55718704935589,28.64568295775122,-20.666750777241745,1.0,0
CHORM,0.2154770997340141,-67.07023315882296,-14.452099319547274,-60.66415679366594,-2.7117788900142017,-3.6942974751428146,1.0,0
CHORS,0.28847259931817526,-30.422733784572074,-8.776125093200374,-30.067089234420337,0.1640078282861417,-0.519652378437879,1.0,0
CITL,0.05244634442483274,-40.78120122055302,-2.1388249252715332,3.676211892110132,-0.7713900674711098,-43.686023045192044,1.0,0
CLPNSEC,0.004527124733825378,-371.30051967703366,-1.6809237663121155,-76.25498570548552,-261.2812256220991,-33.764308349449,1.0,0
CMPN,0.023107313349294105,-49.21159127250567,-1.1371476599511756,-19.86013010040344,0.5344155109222264,-29.885876683024467,1.0,0
CS,1.2058103062685237,-59.88889106342363,-72.2146420752691,-41.19533540880866,-0.39005654698421566,-18.303499107630753,1.0,0
CSND,0.023107313349294105,-57.50709732779839,-1.328834517761791,-24.40033806778891,-7.417079083970272,-25.68968017603921,1.0,0
CTPS2,0.16544555079578321,-38.20163355300576,-6.320290304475711,-19.909058871402976,3.8896155805686057,-22.182190262171385,1.0,0
CYSS,0.20517520667239142,-49.081757648879794,-10.07035976945314,-51.16766062238594,3.0898302757310887,-1.0039273022249446,1.0,0
CYSTL,0.10247445133930312,-30.131977150364378,-3.087757826252008,5.092292176926264,-6.01417552654679,-29.210093800743852,1.0,0
cytd,0.028776020839966186,-28.18697534444313,-0.8111089899273086,-14.03601750519175,-0.3041748227679051,-13.846783016483474,1.0,0
CYTDK2,0.11172411608188323,-1.9295766879130358,-0.2155802498692918,-7.658135661575216,4.5573353818505336,1.1712235918116463,1.0,0
CYTK1,0.1870376848414275,-3.7083371231456663,-0.6935987901246851,1.7563366004901582,0.8380794304435017,-6.302753154079326,1.0,0
CYTK2,0.08996508274641198,-1.2068015182587621,-0.10856999844864514,1.380558659031749,3.0776199620405422,-5.664980139331053,1.0,0
DAAD,0.0,21.62456864562544,0.0,20.603941386730526,0.12069632915013528,0.8999309297447802,0.0,0
DADA,0.0,-35.33927350421217,-0.0,-16.970913861927897,-0.8379536497556153,-17.53040599252866,1.0,0
DADK,0.0,19.549039562215654,0.0,6.293722246634616,2.2395564933956074,11.015760822185431,0.0,0
DAGKEC,0.008494657434595612,-58.25828993384607,-0.49488421571337227,-324.34356838023086,271.58304311383813,-5.497764667453367,1.0,0
DAPDC,0.2288128160041974,-39.07021879184339,-8.939766783661797,-21.227045679011383,0.4292704318409548,-18.27244354467296,1.0,0
DAPE,0.24818469858614786,-7.2066817671142935,-1.7885881421775485,-1.653011966054919,-0.520563660792309,-5.033106140267066,1.0,0
DASYNEC,0.1721705269044405,-9.00563403464983,-1.5505047568542238,33.26733520668449,-30.881939829732584,-11.391029411601739,1.0,0
DB4PS,1.4037596073877143e-05,-125.28068295668453,-0.0017586396232054018,-82.66685495960837,-0.4403038181533603,-42.17352417892281,1.0,0
DCTPD,0.004120607056294318,-65.8509611789942,-0.2713459352979267,-31.218196614200735,-5.311953218269952,-29.32081134652351,1.0,0
DCYTD,0.0031770073099611387,-42.92066024099529,-0.13635925133400045,-21.149483708643288,-5.311953218269931,-16.459223314082063,1.0,0
DDPA,0.28847259931817526,-63.992537202380284,-18.46009354373567,-73.76674813567433,0.9527252035377742,8.821485729756276,1.0,0
DGK1,0.15843416466242835,-3.9448964787573466,-0.6250063782916753,5.027642008166595,-1.0014584532053803,-7.971080033718561,1.0,0
DHAD1,0.582601647975941,-27.28596138184833,-15.896846067672723,-34.70584045635212,-0.5497648009374494,7.969643875441239,1.0,0
DHAD2,0.19371882581950456,-31.592559917443108,-6.120073611839422,-34.70308438918221,-0.5497648009244713,3.6602892726635723,1.0,0
DHAPT,0.07542039217380114,-34.0973474972387,-2.5716353203281197,-39.787490832909725,-1.4680462929537832,7.158189628624815,1.0,0
DHDPRy,0.24818469858614786,-30.556185296272965,-7.583577637697989,-33.80389007777859,1.6888562673088998,1.5588485141967254,1.0,0
DHDPS,0.24818469858614786,-75.6789811629349,-18.78236512922976,-125.8166685131913,16.609343835734123,33.52834351452228,1.0,0
DHFR,0.052430421335931135,-29.483255023133367,-1.5458194832175904,-19.505920523041254,-0.8720877719400519,-9.10524672815206,1.0,0
DHFS,0.035093990184692864,-33.11192728451548,-1.1620296511190502,-24.833297660469157,4.106592115150804,-12.385221739197128,1.0,0
DHNPA2,0.035093990184692864,-17.941761353570968,-0.6296479968383213,6.474001075327095,0.2076990657261497,-24.623461494624213,1.0,0
DHORD2,0.13615989295038033,-127.25507141850994,-17.32703690173732,-114.74976967675133,-4.519021588105641,-7.986280153652974,1.0,0
DHORD5,0.42869088698255897,-24.20034719915843,-10.374468306093114,-32.223349928027744,2.2160021696831302,5.807000559186185,1.0,0
DHORTS,-0.5648507799329393,3.0204374468049604,-1.7060964475664377,-9.808171622176928,-0.25033240978194904,13.078941478763838,0.0,0
DHPPDA2,7.0187980369385715e-06,-97.11254653493671,-0.0006816133509815194,-26.55002300056117,-55.136308213928714,-15.426215320446829,1.0,0
DHPS2,0.035093990184692864,-76.71212570746292,-2.6921345866246287,-79.9232892840032,0.07291726841693702,3.1382463081233354,1.0,0
DHQD,0.28847259931817526,-8.620257142440165,-2.48670798467078,-5.290238226517715,0.5640255437880359,-3.8940444597104857,1.0,0
DHQS,0.28847259931817526,-140.9168237959265,-40.650642448072205,-129.47436264500038,-6.887793231062261,-4.554667919863846,1.0,0
