reaction,v,drG,Gdiss,drG0_prime,drG_error,drG_conc,b,condition
2DGLCNRx,0.0,12.627121960334367,0.0,-12.032433201012395,-0.2128825833943644,24.872437744741127,0.0,0
2DGLCNRy,0.0,-5.906363817893855,-0.0,-11.923083939197,-0.024577006287110237,6.041297127590255,1.0,0
2DGULRx,0.0,-97.67170760507956,-0.0,-99.03288190298281,-0.5110146661986601,1.8721889641019072,1.0,0
2DGULRy,0.0,-116.20519338330777,-0.0,-98.92353264116741,-0.32270908909138996,-16.95895165304897,1.0,0
3HCINNMH,0.0,-195.129790023459,-0.0,-239.97911353653302,-0.20655662273166797,45.05588013580571,1.0,0
3HPPPNH,0.0,-214.6284639517581,-0.0,-240.03233481464983,-0.2065566227316893,25.61042748562341,1.0,0
5DGLCNR,0.0,0.5,0.0,13.100336868389945,-0.022607963963654498,-12.57772890442629,0.0,0
A5PISO,0.0,-0.5,-0.0,-2.1251345960229173,0.0010843877873192298,1.624050208235598,1.0,0
AACPS1,0.0,979.2439186890987,0.0,958.6397400897802,0.25368915945527704,20.35048943986324,0.0,0
AACPS2,0.0,860.5495140976155,0.0,859.7047392678887,0.17745511039246864,0.6673197193343476,0.0,0
AACPS3,0.0,1047.8753566654646,0.0,1026.347413116814,0.1774551103924118,21.350488438258044,0.0,0
AACPS4,0.0,847.6824674144882,0.0,846.7457647399506,0.26938295520328026,0.6673197193343476,0.0,0
AACPS5,0.0,882.7071189832913,0.0,881.7573062379315,0.2824930260253886,0.6673197193343476,0.0,0
ABTA,0.0,23.052864329580636,0.0,6.4594074833783,0.0,16.593456846202336,0.0,0
ABUTD,0.0,-95.30741879288716,-0.0,-94.4869472134381,1.0517173846528447,-1.8721889641019072,1.0,0
ACACCT,0.0,9.07851043513877,0.0,6.168167496795604,0.3500172720871042,2.5603256662560625,0.0,0
ACACT1r,0.0,50.87481819347545,0.0,24.903853133502253,-0.1966085553367023,26.167573615309898,0.0,0
ACALDi,0.0,-11.133520191775773,-0.0,-23.134278283054527,-3.561722408228137,15.562480499506892,1.0,0
ACCOACr,0.0,-11.871918090157259,-0.0,-41.13564484080871,-0.13807686762442373,29.401803618275874,1.0,0
ACCOAL,0.0,-0.5,-0.0,12.68863079974517,0.6604975726548759,-13.849128372400045,1.0,0
ACGK,0.0,12.229413439040332,0.0,11.0535666076089,-0.16353267494351797,1.33937950637495,0.0,0
ACGS,0.0,35.30858995789406,0.0,26.72059588901419,-1.5080111470954627,10.096005215975321,0.0,0
