reaction,v,drG,Gdiss,drG0_prime,drG_error,drG_conc,b,condition
2DGLCNRx,0.0,-21.61245098772766,-0.0,-12.03901976110319,-0.1361840932528402,-9.437247133371628,1.0,0
2DGLCNRy,0.0,-38.558145488142046,-0.0,-11.923219465745774,0.06694582323110865,-26.70187184562738,1.0,0
2DGULRx,0.0,21.0759928912683,0.0,-17.044709197872635,5.9368735242169635,32.18382856492397,0.0,0
2DGULRy,0.0,4.130308003623323,0.0,-16.928908902515104,6.140013053470209,14.919203852668218,0.0,0
A5PISO,0.012141572486239684,-15.793352552970319,-0.19175613482262768,-2.4156775169440152,-0.10755389099682588,-13.270121145029478,1.0,0
AACPS1,-0.00518478012258443,77.59521447072575,-0.4023141255954946,916.067898468274,-816.4064682869939,-22.06621571055439,0.0,0
AACPS2,0.0,29909.920153209376,0.0,856.9359733197089,29072.453704627464,-19.469524737796746,0.0,0
AACPS3,0.0,-232.6282022000198,-0.0,963.4393647602294,-1181.6204994507134,-14.447067509535827,1.0,0
AACPS4,0.0,99.76328004758432,0.0,879.137718906208,-760.5408381323796,-18.83360072624407,0.0,0
AACPS5,0.0,-375.0212094176791,-0.0,924.4724612271623,-1285.6622768339003,-13.831393810941108,1.0,0
ABTA,0.0,41.920699943071874,0.0,6.459418994540073,0.0292495980147649,35.432031350517036,0.0,0
ABUTD,0.0,-85.2000288829069,-0.0,-60.17194025839211,3.166555263951942,-28.19464388846675,1.0,0
ACALDi,-0.09112411320902412,2.7405976795594427,-0.24973453321256348,-23.14090505921945,0.8833803310677908,24.9981224077111,0.0,0
ACCOACr,0.04237227232086277,-24.14532981265159,-1.0230924900987195,-15.229989019393088,0.15726288728366278,-9.072603680542164,1.0,0
ACCOAL,-1.2358296050578665,10.225911548414357,-12.637484230233591,12.288394801047616,-4.302157872583013,2.2396746199497546,0.0,0
ACGK,0.0,33.82475080514165,0.0,22.151805238158886,-5.274612629112809,16.94755819609557,0.0,0
ACGS,0.0,-59.131953049681144,-0.0,-21.096275308527595,0.874355202841457,-38.910032943995006,1.0,0
ACHBS,0.0797874763381465,-4.326989441885605,-0.3452395677098575,-16.37942208264866,0.410677263905491,11.641755376857564,1.0,0
ACKr,0.0,-10.283652399837102,-0.0,13.77099228030761,-0.027910939627624032,-24.026733740517088,1.0,0
ACLS,0.23995765515300682,-17.298234184963277,-4.150843713311372,-25.48212866474961,-1.2091600093273875,9.39305448911372,1.0,0
ACOATA,0.23616168021398246,-6.246813587467955,-1.4752579927999676,862.6483288224298,-863.0403226739727,-5.854819735925048,1.0,0
ACODA,0.0,-40.58664418671224,-0.0,-14.462279399526011,-0.5689793421657896,-25.55538544502044,1.0,0
ACONT,3.6525594910552206,-5.2677595078128086,-19.240804986858052,6.534311203257175,0.055677205451564404,-11.857747916521548,1.0,0
ACOTA,0.0,24.12921509270899,0.0,4.618101360402989,-3.72934131773782,23.24045505004382,0.0,0
ACS,0.3529162596332091,-23.60293892731196,-8.329860922578005,-10.383028561518813,0.19048305059894055,-13.410393416392091,1.0,0
ADA,0.2836153850049529,-29.102794496018152,-8.254000265708212,-18.164961663694555,0.3043426963048539,-11.24217552862845,1.0,0
ADCL,0.014454252959919037,-151.47712542749255,-2.1894886885703615,-143.13730903602016,11.555039893291447,-19.894856284763843,1.0,0
ADCS,0.014454252959919037,-13.681468242271201,-0.1977554028368868,-18.449505835660887,-0.11565925661537868,4.883696850005064,1.0,0
ADD,0.0,-58.607251323808455,-0.0,-19.75983239296363,-1.002534425556945,-37.84488450528788,1.0,0
ADK1,2.4908202111828297,-7.646865687618913,-19.046967606921676,0.2857407277360835,-0.007212688691948799,-7.925393726663048,1.0,0
ADK3,-0.3208566305400655,6.21745876172779,-1.9949128688097868,3.1056696612390624,-1.1715758675689694,4.283364968057697,0.0,0
ADMDCr,0.002023595414373281,-51.12025666669501,-0.10344671697230917,-26.604218744768787,-1.3945257616527478,-23.121512160273486,1.0,0
ADNK1,-0.1373931696012015,0.7070487929158809,-0.09714367472141641,-17.62404495488977,1.9947007636680176,16.336392984137632,0.0,0
ADPT,0.089863407962492,-5.585043527301082,-0.5018910449821324,-22.84035817646918,1.2552286671313766,16.000085982036722,1.0,0
ADSK,0.06737387481288949,-32.72783225393425,-2.2050008731738133,-12.097536354428712,-10.946644607119547,-9.683651292385994,1.0,0
ADSL1r,0.371410228321124,-3.1570823879797736,-1.1725726905481673,15.838905710430595,-0.06962243497049414,-18.926365663439874,1.0,0
ADSL2r,0.14226135931946907,-5.813597417461729,-0.8270502711442604,23.51254253806144,0.4724004436850855,-29.798540399208253,1.0,0
ADSS,0.371410228321124,-3.4652555266321476,-1.2870313463374827,-4.92801839599656,0.5731439667016867,0.8896189026627255,1.0,0
AGMHE,0.007284943491743812,-0.5,-0.003642471745871906,0.0,0.0,-0.5,1.0,0
AGPR,0.0,22.110595207317036,0.0,-0.040066309241410636,-1.3657906628356287,23.516452179394076,0.0,0
AICART,0.16827901464712552,-2.6380789331443637,-0.44393332343087366,11.80791647839169,-0.06325703542889727,-14.382738376107156,1.0,0
AIRC2,0.14226135931946907,-36.093568373526445,-5.13472009950807,-94.1688719380528,35.04835680652419,23.02694675800216,1.0,0
AIRC3,-0.14226135931946907,1.0081835041995646,-0.14342555575089572,-60.307493190833156,38.657342347189626,22.658334347843095,0.0,0
ALAALAr,0.00797874763381465,-20.863205543273843,-0.16646225186218486,-23.38340378767873,0.7372117979631411,1.7829864464417486,1.0,0
ALAR,0.04836712300443871,-6.164104817875634,-0.2981400159384441,-0.04100712902089754,-0.0009539497431898525,-6.1221437391115465,1.0,0
ALATAD2,0.02254159589792783,-14.906605296210016,-0.336018672797077,-1.898712527371572,3.4653705078726826,-16.473263276711126,1.0,0
ALATAL,-0.24882591923954575,9.39946226036206,-2.338829837292008,0.19007056015897206,-0.03858275473700168,9.24797445494009,0.0,0
ALATAL2,0.02254159589792783,-21.07072458319701,-0.4749677588309608,-1.9397196563925263,3.46440208901819,-22.595407015822673,1.0,0
ALDD2x,0.16625463702320714,-59.13632239872097,-9.83168781528671,-60.66008694978518,1.3112623710243696,0.21250218003984145,1.0,0
AMALT1,0.0,-6.81371649839431,-0.0,5.259784570801344,-4.515509034447572,-7.557992034748082,1.0,0
AMALT2,0.0,11.827927989527048,0.0,7.286154390239972,-4.363972004770943,8.90574560405802,0.0,0
AMALT3,0.0,9.254649911481097,0.0,5.259854864135718,-4.515509034447588,8.510304081792967,0.0,0
AMALT4,0.0,13.767314899164864,0.0,5.259836756925665,-4.515509034447591,13.02298717668679,0.0,0
AMPN,0.1644052472888288,-52.8949614985947,-8.69620922550954,-18.037751084271576,-0.7113780559054064,-34.145832358417714,1.0,0
ANPRT,0.015610593196804894,-52.21499524139843,-0.8151070494865742,-60.10522878256256,-3.590296651670023,11.48053019283416,1.0,0
ANS,0.015610593196804894,-170.60289865700906,-2.6632124491303006,-161.5875248742612,11.439381945502362,-20.454755728250234,1.0,0
APRAUR,2.8908505919618302e-06,-22.05012812003148,-6.374362592862721e-05,-22.814988372040716,3.028674072851281,-2.2638138208420457,1.0,0
ARGSL,0.08123290163412743,-18.1415405906508,-1.4736899822918663,11.62642041253639,0.3315987599042316,-30.09955976309142,1.0,0
ARGSS,0.08123290163412743,-42.76906131867468,-3.4742549510838647,-9.0338460599408,0.033701167154696066,-33.76891642588858,1.0,0
ASAD,-0.7920655595381992,0.9564436838393888,-0.7575661016070221,-28.155787487962243,1.802908868304339,27.309322303497293,0.0,0
ASNN,0.11254259790116881,-29.434825776148198,-3.3126717616160057,-17.824002537405136,-1.7418903724829775,-9.868932866260085,1.0,0
ASNS1,0.06342820411339262,-80.44975138959526,-5.10278325201094,-44.81154411632809,2.5195871145907702,-38.157794387857926,1.0,0
ASNS2,0.11531487234412159,-56.045032855457414,-6.462825809249172,-30.078207914679467,2.3602558370253206,-28.327080777803268,1.0,0
ASP1DC,1.70560200776384e-05,-55.67431938132438,-0.0009495823091767215,-24.839762172086864,1.440068940802064,-32.27462615003958,1.0,0
ASPCT,0.2199694637350978,-11.841485477240719,-2.6047652102555894,-22.259849636553213,-0.08260190891278718,10.500966068225281,1.0,0
ASPK,0.7920655595381992,-1.0888442088211718,-0.8624359975098693,20.359247403250038,-5.929808102643298,-15.518283509427912,1.0,0
ASPO3,0.7020323642339379,-82.09334798868336,-57.63218717637477,-65.2545824908475,-2.299978601350631,-14.538786896485234,1.0,0
ASPO4,-1.5492526532501467,16.07605921477266,-24.90587739229301,17.276364966068286,3.088486851018434,-4.288792602314061,0.0,0
ASPO5,0.7721838470521016,-12.518383692461677,-9.666493678519352,-1.9374695905206636,2.8261205459073846,-13.407034647848398,1.0,0
ASPO6,0.07582564417655435,-95.91346209869079,-7.27270004883676,-73.08419600630228,2.9499725376621555,-25.779238630050664,1.0,0
ASPT,0.06975902471832537,-23.39638769353948,-1.6321091874331441,12.947832072666188,0.043286153998678856,-36.38750592020435,1.0,0
ASPTA,-1.809905752608235,0.851464266201374,-1.5410700735382163,2.83512554718277,0.14372478866240557,-2.1273860696438014,0.0,0
AST,0.0,-27.068477721317304,-0.0,-7.24382361289031,-12.614935005641861,-7.209719102785133,1.0,0
ATPHYD,3.15,-48.250253409040106,-151.98829823847632,-32.20263598440556,0.3480171473152787,-16.395634571949827,1.0,0
ATPPRT,0.02601765532765647,-43.05269510027034,-1.1201301820455183,-133.95500899475246,102.68428144626122,-11.781967551779104,1.0,0
BETALDHx,0.0,-72.65033944312236,-0.0,-50.93730057850502,4.686337445408945,-26.39937631002629,1.0,0
BETALDHy,0.0,-55.7046449427102,-0.0,-51.05310087386255,4.483207528922893,-9.134751597770542,1.0,0
BPNT,0.06737387481288949,-10.227705170351852,-0.6890801277704283,-16.402624914286207,7.623945865346256,-1.449026121411901,1.0,0
BSORx,0.0,79671.03921096888,0.0,50.19986603758099,79582.80011502164,38.03922990965657,0.0,0
BSORy,0.0,79654.09351646007,0.0,50.31566633293852,79583.00324492971,20.774605197409983,0.0,0
C120SN,0.012141572486239684,-10.831775445398762,-0.1315147867249802,-3152.6687966011145,3239.074917652062,-97.23789649634637,1.0,0
C140SN,0.009179357470450785,-110.78460930466008,-1.016931531031703,-4016.5190354821584,4024.122777031851,-118.38835085435267,1.0,0
C141SN,0.003915657126816441,-931.6144392672613,-3.6478827185619545,-3994.2696230983242,3176.5620783176273,-113.9068944865644,1.0,0
C160SN,0.028192731313093876,-465.72841717341726,-13.130156130242648,-4811.549096479957,4481.860351317213,-136.0396720106728,1.0,0
C161SN,0.005481919977543018,-68.66049324826054,-0.37639132960559696,-4826.58537108203,4893.23047109996,-135.30559326619004,1.0,0
C181SN,0.03915657126816441,-584.8139735741443,-22.899310034874397,-5615.256749606979,5185.506665333873,-155.06388930103822,1.0,0
CAT,0.060454417986205,-151.97472358985485,-9.187543463239054,-192.0850380116962,-4.462045258767894,44.57235968060926,1.0,0
CBMK,-0.061760682773634834,38.41808887982005,-2.372727400075874,24.180803323834425,0.220242102497485,14.017043453488137,0.0,0
CBPS,0.36296304814246344,-34.23687642400323,-12.426721025733055,-22.75516886221976,0.7275971667333501,-12.209304728516809,1.0,0
CDAPPAEC,0.2153640812542849,-63.85390434250724,-13.751837443223065,-86.55940726562221,40.18115767748933,-17.47565475437436,1.0,0
CHORM,0.08874911317322817,-60.49615228247832,-5.3689798654625145,-60.67359390951469,0.2852415486556065,-0.10779992161923246,1.0,0
CHORS,0.11881395932990002,-35.153009847298875,-4.176668282320543,-30.05400213888015,0.3835976414841902,-5.482605349902915,1.0,0
