reaction,v,drG,Gdiss,drG0_prime,drG_error,drG_conc,b,condition
2DGLCNRx,0.0,1.3753493367375995,0.0,-12.032433198513331,0.15218426756266012,13.25559826768827,0.0,0
2DGLCNRy,0.0,-1.8593635267565585,-0.0,-11.923083939196317,0.2828525113936369,9.780867901046122,1.0,0
2DGULRx,0.0,-95.00642715779188,-0.0,-99.03290138253465,3.3379285757161625,0.688545649026608,1.0,0
2DGULRy,0.0,-98.24113562702388,-0.0,-98.92355212321763,3.4686012138092934,-2.7861847176155408,1.0,0
3HCINNMH,0.0,-225.24118395707984,-0.0,-239.9791448545472,-0.8842099428614993,15.62217084032886,1.0,0
3HPPPNH,0.0,-226.1342694767377,-0.0,-240.03236613266378,-0.8842099428615313,14.782306598787613,1.0,0
5DGLCNR,0.0,19.85517631704994,0.0,13.10034840335004,-3.0342940802846208,9.78912199398452,0.0,0
A5PISO,0.0,-16.279695746785027,-0.0,-2.1251344835018244,-0.5040679502159868,-13.650493313067216,1.0,0
AACPS1,0.0,6947.784590317668,0.0,958.6397312613335,5979.078403228716,10.066455827618483,0.0,0
AACPS2,0.0,70346.48825324576,0.0,859.7046949543583,69475.06720333056,11.716354960837634,0.0,0
AACPS3,0.0,6.783896527904972,0.0,1026.3474898019376,-1027.3043881957587,7.740794921726092,0.0,0
AACPS4,0.0,-61.928918586701684,-0.0,846.7456172212005,-919.1113181613877,10.436782353485455,1.0,0
AACPS5,0.0,41759.554891545005,0.0,881.7573398394961,40865.86600581301,11.931545892497525,0.0,0
ABTA,0.0,21.160540339543324,0.0,6.459407483394898,0.1330621882216363,14.56807066792679,0.0,0
ABUTD,0.0,-109.9550485159547,-0.0,-94.486959375644,4.837400126272527,-20.305489266583223,1.0,0
ACACCT,0.0,29.95531796231525,0.0,6.16816748986389,3.8927332782861583,19.8944171941652,0.0,0
ACACT1r,0.0,40.16518472204417,0.0,24.903853118140887,0.2960786155320463,14.965252988371233,0.0,0
ACALDi,-2.8317131161859286,4.8507240253468,-13.735858845572738,-23.134278280417902,0.48156440295380065,27.5034379028109,0.0,0
ACCOACr,0.0,0.8142384741320967,0.0,-41.135652555842626,3.8052181832836496,38.14467284669107,0.0,0
ACCOAL,0.0,50.54600620301858,0.0,12.688630954755354,1.7734097407332214,36.08396550753,0.0,0
ACGK,0.0,18.543355512908487,0.0,11.053568632689803,5.903546892526659,1.586239987692025,0.0,0
ACGS,0.0,14.710362086503068,0.0,26.72061001266337,-5.665396544694122,-6.3448513814661816,0.0,0
ACHBS,0.0,100.5439484328225,0.0,69.0853751386748,5.622510327315638,25.83606296683206,0.0,0
ACKr,-5.597847950336176,16.524423696723872,-92.50121132119226,13.911867802584311,-0.4892082114402889,3.10176410557985,0.0,0
ACLS,0.0,62.399231050054915,0.0,50.06892263813194,5.121145557890571,7.209162854032407,0.0,0
ACNML,0.0,1.6680149069647658,0.0,7.7140665307437075,0.16662750211308186,-6.2126791258920235,0.0,0
ACOATA,0.0,-4580.143270269297,-0.0,872.4729679764896,-5452.064943510952,-0.55129473483521,1.0,0
ACODA,0.0,-87.29394169341845,-0.0,-62.74911874040228,6.0025644950028045,-30.54738744801897,1.0,0
ACONT,0.0,12.264975282085384,0.0,6.503771860351662,0.18730343363946744,5.573899988094254,0.0,0
ACOTA,0.0,76.50514602829898,0.0,76.94596028363048,-9.078770680025713,8.63795642469421,0.0,0
ACS,-14.905075596993498,4.358956936200954,-64.97058265811438,-10.655358542757995,0.33782468698463575,14.676490791974313,0.0,0
ADA,0.0,-41.376929208269694,-0.0,-18.217867949343372,-0.648887005543898,-22.510174253382424,1.0,0
ADCL,0.0,-216.1982262665121,-0.0,-186.18332386751655,-11.286798854800939,-18.72810354419462,1.0,0
ADCS,0.0,-15.42690142970857,-0.0,-18.671332142161134,1.011328566858614,2.23310214559395,1.0,0
ADD,0.0,-31.362916053562017,-0.0,-19.948588956626736,0.7972698816659403,-12.211596978601225,1.0,0
ADHEr,0.0,-22.770165430404056,-0.0,7.64094964020893,-0.39442541924916696,-30.01668965136382,1.0,0
ADK1,15.351748316868287,-0.7475558681742469,-11.476289541009006,0.2597399296014373,0.017788643952047156,-1.0250844417277314,1.0,0
ADK3,-4.956741796780601,2.953612044794199,-14.640292273906022,3.003161881160395,-3.4680364333707265,3.418486597004531,0.0,0
ADMDCr,0.0,-47.57786403079186,-0.0,-20.583330089585843,-2.5618304044086777,-24.43270353679733,1.0,0
ADNK1,2.9030509885303135,-0.7405017545101131,-2.1497143504390155,-16.531057898091603,-3.7030011504312768,19.493557294012767,1.0,0
ADPT,12.223490907761185,-5.262647023147032,-64.32791803819421,-23.430036305879185,-1.135492805408255,19.302882088140407,1.0,0
ADSK,0.0,160.37851213138487,0.0,165.45180174156235,-2.410752690771858,-2.6625369194056248,0.0,0
ADSL1r,0.0,6.724276022310299,0.0,15.791798467987064,-1.958014157222017,-7.109508288454748,0.0,0
ADSL2r,0.0,-15.14565009264578,-0.0,23.51241929488276,0.2277621175485649,-38.88583150507711,1.0,0
ADSS,0.0,-4.464308190015312,-0.0,-5.116118114533947,-6.399825685010387,7.051635609529022,1.0,0
AGDC,0.0,-140.98494362100715,-0.0,-106.18620856565428,3.456649775098157,-38.25538483045102,1.0,0
AGMHE,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0
AGMT,0.0,-212.62883829036537,-0.0,-132.5192233809155,-22.120071728141667,-57.98954318130821,1.0,0
AGPR,0.0,-51.26842544051638,-0.0,-47.84633367596018,-2.0002520595561286,-1.421839705000071,1.0,0
AICART,0.0,48.427654738457655,0.0,11.808094081459103,-0.11795166114966804,36.73751231814822,0.0,0
AIRC2,0.0,-504.67787220382974,-0.0,-501.18548944449446,-4.539167573685766,1.0467848143504952,1.0,0
AIRC3,0.0,-495.7145554650663,-0.0,-466.98213612848656,-4.994180815058257,-23.73823852152151,1.0,0
ALAALAr,0.0,29.565551590394563,0.0,26.226708425848585,1.810451505021085,1.5283916595248925,0.0,0
ALAR,0.0,1.7651300785350534,0.0,-0.04149858068632284,0.06453151164096327,1.742097147580413,0.0,0
ALATAD2,0.0,-63.008962076130814,-0.0,-57.554987140408,-1.6473656762128641,-3.8066092595099477,1.0,0
ALATAL,0.0,-1.8231155726097317,-0.0,0.18171588188903343,-0.04098192462315886,-1.9638495298756062,1.0,0
ALATAL2,0.0,-61.243847341621475,-0.0,-57.596485721094325,-1.5828495085976222,-2.0645121119295347,1.0,0
ALCD19,0.0,-38.69456387362288,-0.0,-33.4945832502039,1.1697505706457676,-6.369731194064748,1.0,0
ALDD2x,2.8317131161936273,-65.48167589721523,-185.42532050848448,-61.12341418963291,1.3246111354985572,-5.682872843080872,1.0,0
ALLTAH,0.0,-36.68406803194494,-0.0,5.53493667364944,0.7457634043617745,-42.964768109956154,1.0,0
alltn,0.0,-426.2412314720814,-0.0,-396.9545527192136,-19.88444434705362,-9.402234405814152,1.0,0
ALTRH,0.0,72.56169738530568,0.0,54.242218027023455,-5.418759163239287,23.73823852152151,0.0,0
AMALT1,0.0,122.47764140604298,0.0,111.51743400476175,-1.1756288355543312,12.135836236835555,0.0,0
AMALT2,0.0,122.73490341359846,0.0,110.61952098547545,-1.0631850402441323,13.178567468367145,0.0,0
AMALT3,0.0,121.9736278501569,0.0,111.51750429771528,-1.1756288355543312,11.631752387995956,0.0,0
AMALT4,0.0,136.47726624909973,0.0,111.51748619207046,-1.1756288355542992,26.135408892583563,0.0,0
AMANAPE,0.0,1.521008395239373,0.0,-2.1719503296044422,1.5318100617737,2.161148663070115,0.0,0
AMANK,0.0,2.7655374584836014,0.0,7.531140310233013,-3.717946880260806,-1.0476559714886058,0.0,0
AMPN,2.632469219376269,-52.177089602062686,-137.3545823340676,-18.945017160643147,2.4557308174563985,-35.68780325887594,1.0,0
ANPRT,0.0,-23.259876675082076,-0.0,-28.345015532956268,-4.618275169161869,9.703414027036061,1.0,0
ANS,0.0,-233.66033227011962,-0.0,-204.85536601225783,-10.275466794267796,-18.529499463593996,1.0,0
APRAUR,0.0,-80.48025043620059,-0.0,-85.80778581248387,0.6592139940580353,4.668321382225244,1.0,0
ARAI,0.0,19.765985197802934,0.0,4.899109200908924,0.2406865479714,14.62618944892261,0.0,0
ARGDC,0.0,39.151003246399,0.0,45.08792150560288,7.006457955011054,-12.94337621421494,0.0,0
ARGSL,0.0,-17.765172898171112,-0.0,11.626239848100113,-4.403114542400793,-24.988298203870432,1.0,0
ARGSS,0.0,-7.434505676355624,-0.0,-9.0337987266509,-0.8799499762726128,2.4792430265678895,1.0,0
ASAD,0.0,-23.168792292892395,-0.0,-28.15590667755805,-0.32098164659004524,5.308096031255701,1.0,0
ASNN,1.041941156648005,-66.86208703821822,-69.66636030450067,-17.573475424080584,-8.699914448319625,-40.58869716581801,1.0,0
ASNS1,7.610571827354329,-11.761993978264314,-89.51550000448967,-46.02625608058901,11.888947008116244,22.37531509420845,1.0,0
ASNS2,-6.568630671647902,0.8886588078940498,-5.837271502162917,-31.07101902789242,9.880800623885925,22.078877211900544,0.0,0
ASP1DC,0.0,-38.51285291840993,-0.0,-25.03269853618241,-0.6984899382733722,-12.781664443954153,1.0,0
ASPCT,0.0,-16.598286904653555,-0.0,-22.25968692681124,1.3162562159750237,4.345143806182662,1.0,0
ASPK,0.0,26.382034322342996,0.0,20.35921267752701,-0.7988560069533364,6.8216776517693205,0.0,0
ASPO3,-4.250115397006505,56.83209903080922,-241.54297913504072,84.98563981383995,-4.2957039240723205,-23.857836858958414,0.0,0
ASPO4,0.0,108.27687415796996,0.0,91.99507615836683,-5.492205057779138,21.774003057382266,0.0,0
ASPO5,-8.23929464018292,38.78056558689958,-319.52450618340384,13.977928198939026,9.417713175965773,15.384924211994779,0.0,0
ASPO6,12.489410036246216,-66.39366679037984,-829.2177283549571,-56.07394105448188,1.1806153440006852,-11.500341079898647,1.0,0
ASPT,0.0,0.7879825996795535,0.0,12.938578927461094,0.35085897438892566,-12.501455302170466,0.0,0
ASPTA,0.0,-0.815515124404758,-0.0,2.8529279451007596,-0.029437163385310328,-3.6390059061202074,1.0,0
AST,0.0,84.22901291934912,0.0,104.82193653188438,0.8171450462907082,-21.410068658825967,0.0,0
ATPHYD,3.15,-42.133116525204976,-132.71931705439567,-32.54466893136009,0.6583833368881991,-10.24683093073308,1.0,0
ATPPRT,0.0,13892.831140494858,0.0,-15.953019838226282,13915.434364429148,-6.650204096062225,0.0,0
BETALDHx,0.0,-119.28348652869371,-0.0,-104.6732628700201,3.5059091345477356,-18.116132793221354,1.0,0
BETALDHy,0.0,-116.04877366520006,-0.0,-104.78261212933711,3.3752408907162597,-14.641402426579209,1.0,0
BPNT,0.0,-297.33115060259667,-0.0,-288.0488937400837,-0.828608556306726,-8.453648306206226,1.0,0
BSORx,0.0,-41867.800400799766,-0.0,50.20292593017729,-41923.95895960697,5.955632877026801,1.0,0
BSORy,0.0,-41871.03511366179,-0.0,50.3122751894943,-41923.82829136167,2.480902510389569,1.0,0
BUTCT,0.0,68.22753498971409,0.0,37.72752741203203,2.764328692257145,27.735678885424896,0.0,0
C120SN,0.0,-44263.57893735634,-0.0,-3111.082341957168,-41091.70043363739,-60.79616176178388,1.0,0
C140SN,0.0,-3087.69621325733,-0.0,-4007.735152823385,997.2025859012582,-77.16364633520323,1.0,0
C141SN,0.0,26038.895854114016,0.0,-3999.3885900896275,30117.86076176949,-79.5763175658467,0.0,0
C160SN,0.0,-5.872251537280135,-0.0,-4891.376796809069,4979.011223165693,-93.50667789390445,1.0,0
C161SN,0.0,196.41541233926455,0.0,-4797.483803349591,5089.802685850498,-95.90347016164287,0.0,0
C181SN,0.0,52158.99064104665,0.0,-5596.04083694084,57867.30186034209,-112.2703823546035,0.0,0
CAT,6.244705018182756,-152.92972762109534,-955.0010375047761,-194.44351385982787,-0.6774072521851409,42.19119349091768,1.0,0
CBMK,0.0,55.461072427318584,0.0,24.180840543955355,10.684676534379438,20.595555348983797,0.0,0
CBPS,0.0,0.6773220903394019,0.0,-23.319065440101213,13.351225230657047,10.645162299783568,0.0,0
CDAPPAEC,0.0,-105.01470821563157,-0.0,-103.51676074546674,18.540262076189475,-20.038209546354306,1.0,0
CHORM,0.0,-421.5735530870871,-0.0,-417.6522768716893,7.260594228111611,-11.181870443509379,1.0,0
CHORS,0.0,72.97363186792796,0.0,64.38644822789774,4.799542761526162,3.7876408785040567,0.0,0
CHRPL,0.0,-270.84413222086465,-0.0,-230.12308722475703,-11.96135967763652,-28.759685318471103,1.0,0
CITL,2.8315784196163323,-44.92370468529678,-127.20499271610346,3.4614799881198905,0.2436624160618024,-48.62884708947847,1.0,0
CLPNSEC,0.0,1003.8753257352996,0.0,-78.69254749660104,1112.056928279877,-29.489055047976308,0.0,0
CMPN,0.0,-196.07543943037186,-0.0,-174.98695219868318,10.287643204837739,-31.376130436526413,1.0,0
CS,2.8315784196451204,-25.40870509784418,-71.94674102618254,-41.450615897334956,0.5993744559040834,15.442536343586692,1.0,0
CSND,0.0,26.643586024735427,0.0,48.727468807065634,-2.327997858919396,-19.75588492341081,0.0,0
CTPS2,0.0,15.011813669735307,0.0,13.700187385785284,0.23057870100077338,1.0810475829492496,0.0,0
CYNTAH,0.0,-78.61539918189985,-0.0,-56.66608467115233,-0.7450614212315934,-21.20425308951592,1.0,0
CYSS,1.2523270488188538,-46.00730340932799,-57.61619050271731,-53.478808588072326,4.300877834510963,3.170627344233374,1.0,0
CYSTL,0.0,148.84032685773073,0.0,164.79221380366582,0.3976126285691812,-16.349499574504268,0.0,0
cytd,0.0,-28.4962993048435,-0.0,-14.036137452064281,-0.15528546440801705,-14.304876388371202,1.0,0
CYTDK2,0.0,77.21242287349915,0.0,74.21551280318045,-12.235813658724545,15.232723729043236,0.0,0
CYTK1,0.0,2.6436400142923406,0.0,1.7563079906035455,2.077067398156092,-1.189735374467297,0.0,0
CYTK2,0.0,7.601122300723593,0.0,1.3805300520922401,-0.326205630094317,6.54679787872567,0.0,0
DAAD,0.0,-16.461870407792063,-0.0,21.155533708143025,-0.49339529503855317,-37.124008820896535,1.0,0
DADA,0.0,-36.9189924545265,-0.0,-17.159693861979576,-4.7434455586685615,-15.015853033878365,1.0,0
DADK,0.0,-2.5419922161186435,-0.0,14.969330470905447,-4.4755345577804455,-13.035788129243645,1.0,0
DAGKEC,0.0,-60.41640861663177,-0.0,-320.716451674994,260.8732604671279,-0.5732174087657143,1.0,0
DAPDC,0.0,-29.927721136292053,-0.0,-1.255229637736761,-0.5073416515750289,-28.165149846980263,1.0,0
DAPE,0.0,17.729821767134514,0.0,-1.653011965312885,0.21162140190228484,19.171212330545114,0.0,0
DASYNEC,0.0,-15.557338925584924,-0.0,0.4046967085532742,-15.16066834362111,-0.8013672905170885,1.0,0
DB4PS,0.0,-97.6028651466292,-0.0,-38.32234239408376,-3.8126603133052868,-55.46786243924015,1.0,0
DCTPD,0.0,-72.56146063862067,-0.0,-54.26841164838379,0.3222598972742823,-18.615308887511166,1.0,0
DCYTD,0.0,-57.7711986960292,-0.0,-44.199698744889304,0.3222598972742965,-13.893759848414188,1.0,0
DDGALK,0.0,1.7678822939177312,0.0,-0.41312185326410145,-5.067420828720364,7.248424975902196,0.0,0
DDGLK,0.0,-49.422772958446615,-0.0,-24.694318188451916,-0.38151850794107034,-24.346936262053628,1.0,0
DDPA,0.0,-63.23464961291349,-0.0,-72.57695332254866,1.325838316379027,8.01646539325614,1.0,0
DDPGALA,0.0,1.7496595369219037,0.0,14.044475514241185,0.6323299130000919,-12.927145890319373,0.0,0
