,lb,ub
2dhglcn_c,-16.11809565073385,-6.907755278982137
nadh_c,-16.118095650934656,-5.866369595860432
glcn_c,-16.118095650958324,-7.194092308513203
nad_c,-16.118095650957557,-3.8313554498449225
nadph_c,-16.118095303837286,-5.871112061728711
nadp_c,-16.1180956509468,-9.574070729182639
2dhguln_c,-16.118095650119827,-6.907755278983124
idon-L_c,-16.118095650958324,-6.907755278982137
o2_c,-9.210340371976182,-8.305726057581225
h2o_c,0.0,-0.0
pi_c,-3.912023009435776,-3.688879454113936
5dglcn_c,-16.118095650960647,-6.907755278982137
ru5p-D_c,-9.365269230493796,-5.756248465509178
ara5p_c,-16.118095650958324,-6.907755278982137
ACP_c,-16.118095651123042,-6.907755278982137
atp_c,-6.424852821259966,-3.1102384645236096
ttdca_c,-16.118095650958324,-6.907755278982137
amp_c,-16.11809565095676,-6.165935473783919
myrsACP_c,-16.118095650457747,-6.907755278982137
ppi_c,-16.11809575363882,-6.907755278982137
ttdcea_c,-16.118095800926866,-6.907755278982137
tdeACP_c,-16.1180956508406,-6.907755278982137
hdca_c,-16.118095651255466,-6.907755278982137
palmACP_c,-16.11809565142336,-6.907755278982137
hdcea_c,-16.118095651928485,-6.907755278982137
hdeACP_c,-16.118095647126175,-6.907755278982137
ocdcea_c,-16.118095650952633,-6.907755278982137
octeACP_c,-16.11809570551965,-6.907755278982137
dtdp_c,-7.1408770757995566,-6.393504870592016
g6p_c,-8.285746011693922,-5.24734113292577
4abut_c,-16.118095651030053,-6.907755278982137
akg_c,-9.935915489037269,-5.730975312438991
glu-L_c,-16.118095649919603,-0.9297733614393149
sucsal_c,-16.118095650958324,-6.907755278982137
4abutn_c,-16.118095650960974,-6.907755278982137
accoa_c,-16.118095650949144,-5.8025834068845255
ac_c,-14.543432072811813,-6.907755279030864
coa_c,-16.11809565099493,-2.359596640342451
acald_c,-16.118095650992437,-6.907755278982137
gtp_c,-16.118095650924744,-3.0779212416528523
co2tot_c,-8.51719319180489,-7.824046010856292
adp_c,-11.823736775524432,-5.905178999220536
malcoa_c,-16.118095650958324,-5.074389199180081
ppa_c,-16.118095650721877,-6.907755278982137
ppcoa_c,-11.665428085544507,-10.490219102169435
uacgam_c,-6.220037759421212,-3.0350214759529717
udcpp_c,-16.11809565188568,-6.907755278982137
ump_c,-16.118095651576624,-6.907755278982137
acglu_c,-16.118095650958324,-6.907755278982137
acg5p_c,-16.118095651081738,-6.907755278982137
2obut_c,-16.118095650964428,-6.907755278982137
pyr_c,-16.11809565095792,-4.101916917844184
2ahbut_c,-16.118095650958324,-6.907755278982137
actp_c,-16.118095650958324,-5.314772497558764
alac-S_c,-16.118095650918256,-6.907755278982137
udp_c,-6.022962034876917,-4.591931779915637
acACP_c,-16.118095650833546,-6.907755278982137
acorn_c,-16.118095650963035,-5.935568078019076
orn_c,-16.118095651218184,-8.363783931464543
amet_c,-16.118095650958324,-5.216644280462795
cit_c,-16.11809565098008,-2.8395205829965935
icit_c,-12.05626366341235,-7.744743695329414
acg5sa_c,-16.11809582335995,-6.907755278986401
pap_c,-16.118095650958324,-6.907755278982137
adn_c,-15.39007089181438,-14.183807133149948
ins_c,-16.118095650958317,-6.907755278982137
nh3_c,-9.903487552719719,-6.907755278982137
4adcho_c,-16.11809565087588,-6.907755278982137
4abz_c,-16.118095650958324,-6.907755278982137
chor_c,-16.118095650958324,-6.907755278982137
gln-L_c,-16.118095650999145,-4.112451709931454
ade_c,-12.731384411379208,-9.300098208125469
hxan_c,-16.11809565096329,-6.907755278982137
gdp_c,-16.118096271194716,-5.654671803789405
ametam_c,-16.118095650958324,-6.907755278982137
gmp_c,-11.349700080414722,-6.828097933170414
prpp_c,-16.118095651025065,-6.907755278982137
aps_c,-11.367426004060738,-10.31265379691013
paps_c,-16.118095650958324,-6.907755278982137
dcamp_c,-16.11809565096995,-6.907755278982137
fum_c,-16.11809565885671,-4.411670801939406
25aics_c,-16.11809565096054,-6.907755278982137
aicar_c,-16.118095650747144,-6.907755278982137
asp-L_c,-16.118095647440867,-3.491368271116265
imp_c,-7.970343854543687,-6.451986819158975
gam6p_c,-16.118095650812165,-5.220418384686345
adphep-DD_c,-15.92409767668517,-6.907755278982137
adphep-LD_c,-16.118095650958324,-7.101753253255289
ptrc_c,-16.118095650908977,-6.907755278982137
hcys-L_c,-7.050622587572745,-6.512768291418834
10fthf_c,-16.118095650962168,-6.907755278982137
fprica_c,-16.118095651094485,-6.907755278982487
thf_c,-16.118095651661612,-6.907755278982137
air_c,-16.118095650958317,-6.907755278982529
5caiz_c,-16.11809565095698,-6.907755278982137
5aizc_c,-16.118095650958324,-6.9077552798475015
ala-D_c,-16.118095651104795,-6.907755278982137
alaala_c,-16.118095651162584,-6.907755278982137
ala-L_c,-16.118095651120697,-4.505897442573834
pydx5p_c,-16.11809617921466,-6.907755278982137
pyam5p_c,-16.118095758478788,-6.907755278982137
glyc_c,-16.118095651001134,-6.907755278982137
malt_c,-16.118095650906263,-6.907755278982235
malttr_c,-16.118095651014087,-6.907755278982137
glc-D_c,-16.11809565095733,-6.907755278982137
maltttr_c,-16.118095651058816,-6.907755278982137
maltpt_c,-16.118095650955993,-6.907755284513047
malthx_c,-16.11809565096037,-6.907755278982137
malthp_c,-16.118095650958324,-6.9077552789829895
2dmmq8_c,-16.118095651081738,-6.907755278982137
mqn8_c,-16.11809565174032,-6.907755278982137
for_c,-16.11809565140983,-6.907755278982137
r5p_c,-16.118095650959965,-6.57103554282408
anth_c,-13.640814052738966,-11.153220291551564
pran_c,-16.118095650958324,-6.907755278982137
5apru_c,-16.11809565088955,-6.907755278982137
5aprbu_c,-16.118095650958324,-6.907755278982137
arab-L_c,-16.11809565095397,-6.907755278982137
arg-L_c,-16.118095650955617,-3.0259419859575054
argsuc_c,-16.118095650960335,-6.907755278982137
citr-L_c,-7.650724076287959,-5.143281048615324
aspsa_c,-16.11809565097488,-6.907755310912848
4pasp_c,-16.118095639512028,-6.9077552790546015
asn-L_c,-16.11809565110636,-5.7629321949709595
ala-B_c,-16.118095650958324,-6.907755278982137
cbp_c,-16.118095650959212,-6.907755278982137
cbasp_c,-16.11809565044569,-5.6535418601663565
q8_c,-16.118095650958324,-6.907755278982137
iasp_c,-16.11809565100974,-6.907755278982137
q8h2_c,-16.118095650958324,-6.907755278982137
mql8_c,-16.118095650958324,-6.907755278982137
succ_c,-16.118095651103367,-5.084356842876141
h2o2_c,-16.118095650958317,-6.907755278982137
oaa_c,-16.11809565104101,-6.907755278982137
succoa_c,-16.118095643639904,-4.604587257132716
sucarg_c,-16.118095650958324,-6.907755278982137
prbatp_c,-16.118095651208044,-6.907755278982137
betald_c,-16.118095779265424,-6.907755278982137
glyb_c,-16.118095651005085,-6.907755278982137
btnso_c,-16.118095651081738,-6.907755278982137
btn_c,-16.118095650958324,-6.907755278982137
cys-L_c,-16.118095650958324,-6.907755278982137
actACP_c,-16.118095650967653,-6.907755278982137
malACP_c,-16.118095653446602,-6.907755278982137
ddcaACP_c,-16.118095650958324,-6.907755278982137
cdpdag1_c,-16.118095650958324,-6.907755278982137
cmp_c,-8.28237495601323,-6.020514053238279
paEC_c,-16.118095650958317,-6.907755278982137
pphn_c,-16.11809565096315,-6.907755278982137
3psme_c,-16.11809565110918,-6.907755278982137
pgEC_c,-16.118095650958324,-6.907755278982137
clpnEC_c,-16.11809565096511,-6.907755278982137
csn_c,-11.008187613415982,-9.384514585191834
ura_c,-16.118095650956377,-6.907755278982137
utp_c,-6.067768598034222,-3.3526521617575558
ctp_c,-16.118095651408773,-4.359456901172543
so3_c,-16.118095650958324,-6.907755278982137
acser_c,-16.118095651062724,-6.907755278982137
h2s_c,-16.118095740195642,-6.907755278982137
cyst-L_c,-16.118095650909744,-6.907755278982137
cytd_c,-14.01473080310601,-10.863813188483988
uri_c,-16.11809573999323,-6.907755278982137
cdp_c,-16.11809565096585,-6.907755278982137
dcmp_c,-16.118095650963113,-6.907755278982137
dcdp_c,-16.11809565088388,-6.907755278982137
fad_c,-16.118095650958324,-6.473445542655036
fadh2_c,-16.11809565097451,-6.907755278982137
dad-2_c,-12.535104502193901,-11.022628297602601
din_c,-16.118095650957237,-6.907755278982137
damp_c,-16.118095650943907,-9.421955963572639
