,lb,ub
2DGLCNRx,-100.0,100.0
2DGLCNRy,-100.0,100.0
2DGULRx,-100.0,100.0
2DGULRy,-100.0,100.0
A5PISO,0.02817525405600171,0.029478951950638044
AACPS1,-100.0,100.0
AACPS2,-10.0,9.990913480566938
AACPS3,-100.0,100.0
AACPS4,-14.000000000000002,13.987278872793715
AACPS5,-100.0,99.90913480566937
ABTA,-100.0,100.0
ABUTD,-100.0,99.971824745944
ACALDi,-100.0,100.0
ACCOACr,-100.0,100.0
ACCOAL,-100.0,100.0
ACGK,-100.0,100.0
ACGS,-100.0,100.0
ACHBS,0.1851516695108728,0.1937188271041929
ACKr,-100.0,100.0
ACLS,0.5568362668207454,0.5826016518380221
ACOATA,-100.0,100.0
ACODA,-100.0,100.0
ACONT,-100.0,100.0
ACOTA,-100.0,100.0
ACS,-100.0,100.0
ADA,-100.0,100.0
ADCL,0.03354196911431018,0.03509399041742256
ADCS,0.03354196911431018,0.03509399041742256
ADD,-100.0,100.0
ADK1,-100.0,100.0
ADK3,-100.0,100.0
ADMDCr,0.004695875676006267,0.004913158658439443
ADNK1,-100.0,100.0
ADPT,-100.0,100.0
ADSK,0.15634515559611373,0.1635794062539048
ADSL1r,-100.0,100.0
ADSL2r,0.33012609757714984,0.34540137060648135
ADSS,-100.0,100.0
AGMHE,0.016905152433601026,0.017687371170382826
AGPR,-100.0,100.0
AICART,0.3905016419828229,0.4085705533576487
AIRC2,0.3301260975771072,0.3454013706066803
AIRC3,-0.3454013706066014,-0.33012609757759037
ALAALAr,0.018515166951086837,0.019371882710419286
ALAR,-100.0,100.0
ALATAD2,-100.0,100.0
ALATAL,-100.0,100.0
ALATAL2,-100.0,100.0
ALDD2x,-100.0,100.0
AMALT1,-100.0,100.0
AMALT2,-100.0,100.0
AMALT3,-100.0,100.0
AMALT4,-100.0,100.0
AMPN,-100.0,100.0
ANPRT,0.036225326643432254,0.03790150965082035
ANS,0.036225326643432254,0.03790150965082035
APRAUR,6.7083938120049424e-06,7.0187980867331135e-06
ARGSL,-99.8114941335777,100.0
ARGSS,-99.8114941335777,100.0
ASAD,-100.0,99.66484864461003
ASNN,-100.0,100.0
ASNS1,-100.0,100.0
ASNS2,-100.0,100.0
ASP1DC,3.957952356126171e-05,4.141090870746211e-05
ASPCT,0.4732656874187724,0.5765682096581476
ASPK,-99.66484864461003,100.0
ASPO3,-100.0,100.0
ASPO4,-100.0,100.0
ASPO5,-100.0,100.0
ASPO6,-100.0,100.0
ASPT,-100.0,100.0
ASPTA,-100.0,100.0
AST,-100.0,99.8114941335777
ATPHYD,3.15,100.0
ATPPRT,0.060375544405715686,0.06316918275136629
BETALDHx,-100.0,100.0
BETALDHy,-100.0,100.0
BPNT,0.15634515559617057,0.16357940625395884
BSORx,-100.0,100.0
BSORy,-100.0,100.0
C120SN,0.02817525405600171,0.029478951950638044
C140SN,-99.99073034141558,100.0
C141SN,0.009086519433060047,0.009506962004081743
C160SN,-99.93457706008196,100.0
C161SN,0.012721127206287488,0.013309746805716104
C181SN,0.0908651943306249,0.0950696200408293
CAT,-88.76690251417575,100.0
CBMK,-100.0,100.0
CBPS,-100.0,100.0
CDAPPAEC,-100.0,100.0
CHORM,0.20594769036172678,0.21547710116299715
CHORS,0.27571498611943923,0.28847260123124596
CITL,-100.0,100.0
CLPNSEC,0.00432691401574312,0.004527124763847985
CMPN,-100.0,100.0
CS,-100.0,100.0
CSND,-100.0,100.0
CTPS2,-100.0,100.0
CYSS,-99.84365484440389,100.0
CYSTL,0.09794254981372022,0.10247445201888464
cytd,-100.0,100.0
CYTDK2,-100.0,100.0
CYTK1,-100.0,100.0
CYTK2,-100.0,100.0
DAAD,-100.0,100.0
DADA,-100.0,100.0
DADK,-100.0,100.0
DAGKEC,-99.9887298983776,100.0
DAPDC,0.21869363862515456,0.22881281752161442
DAPE,0.2372088055762414,0.2481847002320337
DASYNEC,-100.0,100.0
DB4PS,1.3416787624009885e-05,1.4037596201887936e-05
DCTPD,-100.0,100.0
DCYTD,-100.0,100.0
DDPA,0.2757149861194408,0.2884726012312626
DGK1,-100.0,100.0
DHAD1,0.556836266820862,0.5826016518378339
DHAD2,0.1851516695108728,0.19371882710419186
DHAPT,-100.0,100.0
DHDPRy,0.2372088055762414,0.2481847002320337
DHDPS,0.2372088055762414,0.2481847002320337
DHFR,0.050111701856735635,0.05243042168363479
DHFS,0.033541969114281756,0.035093990417426224
DHNPA2,0.033541969114281756,0.035093990417426224
DHORD2,-99.52673431258125,100.0
DHORD5,-99.52673431258125,100.0
DHORTS,-0.5765682096581476,-0.473265687418722
DHPPDA2,6.7083938120049424e-06,7.018798214630806e-06
DHPS2,0.033541969114281756,0.035093990417426224
DHQD,0.2757149861194408,0.28847260123124374
DHQS,0.2757149861194408,0.28847260123124374
DKGLCNR1,-100.0,100.0
DKGLCNR2x,-100.0,100.0
DKGLCNR2y,-100.0,100.0
DKMPPD,-4.3740801926529755,14.40874946723493
DKMPPD2,-14.403836308577453,4.378776068328563
DMPPS,-100.0,100.0
DMSOR1,-100.0,100.0
DMSOR2,-100.0,100.0
DNMPPA,0.033541969114281756,0.035093990417426224
DNTPPA,0.0335419691142802,0.03509399041742617
DPCOAK,3.9579523530619554e-05,4.1410908806938096e-05
DPR,3.9579523530619554e-05,4.1410908806938096e-05
DRPA,-100.0,99.77643673829878
DTMPK,-99.98343026725755,100.0
DURIK1,-100.0,100.0
DURIPP,-100.0,100.0
DUTPDP,-100.0,100.0
EDA,-100.0,100.0
EDD,-100.0,100.0
EDTXS1,0.005635050811200342,0.005895790390127609
EDTXS2,0.005635050811200342,0.005895790390127609
ENO,-100.0,100.0
ETHAAL,-100.0,99.9220820057475
F6PA,-100.0,100.0
FAO1,-100.0,99.99073034141557
FAO2,-100.0,99.93457706008193
FBA,-100.0,100.0
FBP,-100.0,100.0
FMNAT,6.70839392569178e-06,7.018798072522259e-06
FRD2,-100.0,100.0
FRD3,-100.0,100.0
FRUK,-100.0,100.0
FTHFD,-100.0,100.0
fum,-100.0,100.0
G1PACT,0.04830043552457436,0.05053534620109379
G1PP,-100.0,100.0
G3PD2,-100.0,100.0
G3PD5,-100.0,100.0
G3PD6,-100.0,100.0
G3PD7,-100.0,100.0
G5SADs,-99.85912372972,100.0
G5SD,-100.0,100.0
G6PDA,-100.0,99.95169956447542
G6PDH2r,-100.0,100.0
GALU,-99.98671738023074,100.0
GAPD,-91.28830358451268,100.0
GARFT,-99.66987390242276,100.0
GART,-99.6698739024227,100.0
GCALDD,0.0335419691142802,0.03509399041742256
GF6PTA,-99.95169956447542,100.0
GHMT2,-100.0,100.0
GK1,-100.0,100.0
GLCP,-25.10808949048567,24.896690735127994
GLCS1,-25.0,25.0
GLGC,-100.0,100.0
GLNS,-100.0,100.0
GLU5K,-100.0,100.0
GLUDC,-100.0,100.0
GLUDy,-100.0,100.0
GLUN,-100.0,100.0
GLUPRT,0.33012609757751576,0.34540137060650977
GLUR,-0.019371882710419286,-0.018515166951086837
GLUSy,-100.0,100.0
GLXCL,-99.98322901544286,100.0
GLYATi,-100.0,100.0
GLYCDx,-100.0,100.0
GLYCK,-99.98322901544286,100.0
GLYCL,-100.0,100.0
GLYCLTDx,-100.0,100.0
GLYCLTDy,-100.0,100.0
GLYCTO2,-100.0,100.0
GLYCTO3,-100.0,100.0
GLYCTO4,-100.0,100.0
