,lb,ub
glc__D_e,-16.11809565095769,-4.605170185988091
gln__L_c,-16.118095485961657,-4.605170189928818
glu__L_c,-16.118095588297304,-4.605170185988091
glu__L_e,-16.11809565095832,-4.605170185988091
glx_c,-16.11809565095832,-4.605170185988091
h2o_c,0.0,-0.0
h2o_e,0.0,-0.0
h_c,0.0,-0.0
h_e,0.0,-0.0
icit_c,-16.118095644560313,-4.605170185988091
lac__D_c,-16.11809565095832,-4.605170185988091
lac__D_e,-16.11809565095832,-4.605170185988091
mal__L_c,-16.11809565095832,-4.605170185988091
nad_c,-16.11809562825555,-4.605170185988091
nadh_c,-16.11809564895051,-4.605170185988091
nadp_c,-16.118095643429257,-4.605170186866615
nadph_c,-16.11809565095832,-4.605170185988091
nh4_c,-16.118095634395008,-4.605170185988091
13dpg_c,-16.118095362076208,-4.605170235300266
nh4_e,-16.11809565095832,-4.605170185988091
o2_c,-16.11809561839381,-4.605170185988091
2pg_c,-16.118095644821814,-4.605170185988091
o2_e,-16.11809565095832,-4.605170185988091
3pg_c,-16.11809565095832,-4.605170185988091
oaa_c,-16.118095650046477,-4.605170185988091
pep_c,-16.118095650925056,-4.605170187298622
6pgc_c,-16.11809565059994,-4.605170185988091
pi_c,-16.118095646183228,-4.605170185988091
6pgl_c,-16.11809565095832,-4.605170185988091
pi_e,-16.11809565095832,-4.605170185988091
ac_c,-16.11809565160047,-4.605170185988091
pyr_c,-16.11809562684466,-4.605170185988091
pyr_e,-16.11809564458788,-4.605170185988091
q8_c,-16.11809565073893,-4.605170185988091
q8h2_c,-16.11809565095832,-4.605170185988091
r5p_c,-16.118095733598025,-4.605170185988091
ru5p__D_c,-16.118095620498853,-4.605170185989324
ac_e,-16.118095650958317,-4.605170185988091
acald_c,-16.11809565095832,-4.605170186776448
s7p_c,-16.118095650334176,-4.605170185988091
acald_e,-16.11809565095832,-4.605170185988092
accoa_c,-16.118095644828635,-4.605170185988091
succ_c,-16.11809564734481,-4.605170185988091
succ_e,-16.11809565095832,-4.605170185988091
succoa_c,-16.118095650957393,-4.605170185988091
acon_C_c,-16.11809565095832,-4.605170581401222
xu5p__D_c,-16.11809564848049,-4.605170185988091
actp_c,-16.11809565095832,-4.605170185988091
adp_c,-16.118095650316032,-4.605170185988091
akg_c,-16.118095649138628,-4.605170185988092
akg_e,-16.11809565095832,-4.605170185988091
amp_c,-16.11809565095832,-4.605170185988091
atp_c,-16.118095650957642,-4.605170186866615
cit_c,-16.11809565095832,-4.605170185988091
co2_c,-16.1180956273834,-4.605170185988091
co2_e,-16.11809565095832,-4.605170185988091
coa_c,-16.11809565095832,-4.605170240921017
dhap_c,-16.11809565063138,-4.605170185988091
e4p_c,-16.118095650958917,-4.605170185988091
etoh_c,-16.11809565095832,-4.605170185988091
etoh_e,-16.11809565095832,-4.605170185988091
f6p_c,-16.11809563178549,-4.605170185988091
fdp_c,-16.11809565095832,-4.605170185988091
for_c,-16.11809565095832,-4.605170185988091
for_e,-16.11809565095832,-4.6051701864738765
fum_c,-16.11809565095832,-4.605170185988091
g3p_c,-16.118095546855116,-4.605170185988091
g6p_c,-16.118095650365838,-4.605170185988091
biomass_c,0.0,-0.0
biomass_e,0.0,-0.0
charge_e,0.0,-0.0
charge_c,0.0,-0.0
