,0
0,2.220446049250313e-16
1,2.220446049250313e-16
2,2.220446049250313e-16
3,2.220446049250313e-16
4,2.220446049250313e-16
5,0.0
6,0.0
7,0.0
8,0.0
9,2.220446049250313e-16
10,2.220446049250313e-16
11,2.220446049250313e-16
12,2.220446049250313e-16
13,2.220446049250313e-16
14,2.220446049250313e-16
15,2.220446049250313e-16
16,2.220446049250313e-16
17,2.220446049250313e-16
18,2.220446049250313e-16
19,2.220446049250313e-16
20,2.220446049250313e-16
21,2.220446049250313e-16
22,2.220446049250313e-16
23,2.220446049250313e-16
24,2.220446049250313e-16
25,2.220446049250313e-16
26,2.220446049250313e-16
27,2.220446049250313e-16
28,2.220446049250313e-16
29,2.220446049250313e-16
30,2.220446049250313e-16
31,2.220446049250313e-16
32,2.220446049250313e-16
33,2.220446049250313e-16
34,2.220446049250313e-16
35,2.220446049250313e-16
36,2.220446049250313e-16
37,2.220446049250313e-16
38,2.220446049250313e-16
39,2.220446049250313e-16
40,2.220446049250313e-16
41,2.220446049250313e-16
42,2.220446049250313e-16
43,2.220446049250313e-16
44,2.220446049250313e-16
45,2.220446049250313e-16
46,2.220446049250313e-16
47,2.220446049250313e-16
48,2.220446049250313e-16
49,2.220446049250313e-16
50,2.220446049250313e-16
51,2.220446049250313e-16
52,2.220446049250313e-16
53,2.220446049250313e-16
54,2.220446049250313e-16
55,2.220446049250313e-16
56,2.220446049250313e-16
57,2.220446049250313e-16
58,2.220446049250313e-16
59,2.220446049250313e-16
60,2.220446049250313e-16
61,2.220446049250313e-16
62,2.220446049250313e-16
63,2.220446049250313e-16
64,2.220446049250313e-16
65,2.220446049250313e-16
66,2.220446049250313e-16
67,2.220446049250313e-16
68,2.220446049250313e-16
69,2.220446049250313e-16
70,2.220446049250313e-16
71,2.220446049250313e-16
