,lb,ub
PFK,0.0,176.61000000001764
PFL,0.0,39.99999979515293
PGI,-50.0,9.999999788593401
PGK,-19.999999991507217,-0.0
PGL,0.0,59.999999934978284
ACALD,-19.99999955661636,-0.0
AKGt2r,-9.999999969993603,-0.0
PGM,-19.999999923205696,-0.0
PIt2r,-1.3597856032904498e-10,2.9313680870954744
ALCD2x,-19.99999999829503,-0.0
ACALDt,-19.999999999424066,-0.0
ACKr,-19.99999998245918,-0.0
PPC,0.0,166.6099996463742
ACONTa,0.0,20.000000010130165
ACONTb,0.0,19.99999998710931
ATPM,8.39,175.00000000000102
PPCK,0.0,166.60999894741994
ACt2r,-19.999999999231274,-0.0
PPS,0.0,166.60999998629774
ADK1,0.0,166.60999999752607
AKGDH,0.0,19.99999987277565
ATPS4r,-31.609999316395395,149.99999934666033
PTAr,0.0,19.99999999880471
PYK,0.0,176.60999994429315
BIOMASS_Ecoli_core_w_GAM,0.0,0.7968488023009297
PYRt2,-19.9999999865432,1.5916157281026244e-12
CO2t,-60.000000140631315,11.104242422199993
RPE,-0.5681316398790013,39.99999999792888
CS,0.0,20.000000010130165
RPI,-19.999999999751672,-0.0
SUCCt2_2,0.0,222.14666632837302
CYTBD,0.0,119.99999879981654
D_LACt2,-20.0,1.5916157281026244e-12
ENO,0.0,20.000000000001023
SUCCt3,0.0,222.14666663197093
ETOHt2r,-19.999999566098793,-0.0
SUCDi,-1.1368683772161603e-12,20.000000091210975
SUCOAS,-19.99999987277565,-0.0
TALA,-0.14140059849204614,19.99999999810458
THD2,-1.5916157281026244e-12,333.219999949544
TKT1,-0.14140059760505483,20.000000000000057
TKT2,-0.4267310411397201,19.999999995692075
TPI,-9.999999998771907,9.999999998386576
EX_ac_e,0.0,19.999999999749154
EX_acald_e,0.0,19.999999924125433
EX_akg_e,0.0,9.99999999661013
EX_co2_e,-11.104242423078388,60.00000096695116
EX_etoh_e,0.0,19.99999999910983
EX_for_e,0.0,39.99999996733144
EX_glc__D_e,-9.999999875409294,-0.47942879380265585
EX_glu__L_e,0.0,9.999999806385144
EX_h_e,2.2737367544323206e-13,81.28167188355337
EX_h2o_e,-9.999999725076691,60.000000155962084
EX_lac__D_e,-1.5916157281026244e-12,19.99999987033721
EX_nh4_e,-9.999999997739694,-2.2737367544323206e-13
EX_o2_e,-59.999999907656324,-0.0
EX_pi_e,-2.9313681036450743,-2.2737367544323206e-13
EX_pyr_e,-1.5916157281026244e-12,19.99999957116808
EX_succ_e,0.0,16.38416666445624
FBA,-9.9999999942986,9.999999832336261
FBP,0.0,166.60999999762134
FORt2,0.0,666.4399996673984
FORt,-666.439995298963,-0.0
FRD7,0.0,15.041141248985817
FUM,-15.041142812042649,20.0
G6PDH2r,0.0,59.99999999848445
GAPD,0.0,19.999999961791374
GLCpts,0.4794287301581901,10.0
GLNS,0.0,166.60999997782145
GLUDy,-10.0,166.6100000000025
GLUN,0.0,166.60999999825992
GLUSy,0.0,166.60999999844663
GLUt2r,-10.0,-0.0
GND,0.0,59.999999998159225
H2Ot,-60.0,9.999999999997485
ICDHyr,0.0,19.999999863430237
ICL,0.0,19.99999993116995
LDH_D,-19.99999975773564,1.5916157281026244e-12
MALS,0.0,19.999999992595182
MDH,-68.30499957272062,39.99999999320784
ME1,0.0,98.30499999886354
ME2,0.0,98.30499999953473
NADH16,0.0,120.00000000324273
NADTRHD,0.0,378.2199984024967
NH4t,2.2737367544323206e-13,9.99999999786143
O2t,0.0,60.00000041695921
PDH,0.0,39.999999997273825
biomass_ce,0.0,0.796848915009312
biomass_EX,0.0,0.7968489138062124
charge_ce,0.0,78.04075301676319
